matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,8,11.5437,10.7605,10.7984,8.65909,10.7784,11.2321,11.273,5.91232
144,144649,144649,2148786,8,41.0884,45.692,44.615,44.2074,38.9306,47.9204,43.6255,32.597
2cubes_sphere,101492,101492,1647264,8,48.8083,52.0624,50.574,52.1918,52.6664,52.519,51.4592,50.7969
333SP,3712815,3712815,22217266,8,11.1727,15.3564,13.1155,16.0103,13.3721,13.4502,13.0567,6.52743
3dtube,45330,45330,3213618,8,52.6707,60.1266,54.714,59.3767,59.9255,58.5716,60.4644,53.8783
3elt,4720,4720,27444,8,22.7763,32.5431,22.9813,20.5044,22.8723,23.1619,22.1257,22.7846
3elt_dual,9000,9000,26556,8,21.2693,34.5641,27.7547,34.3714,20.3914,32.4672,20.9784,35.1879
494_bus,494,494,1666,8,6.01043,6.1308,6.84033,6.41059,6.44342,6.09977,6.43871,6.12523
598a,110971,110971,1483868,8,42.7337,48.5471,44.1521,43.4745,49.398,48.8858,45.1953,30.2846
662_bus,662,662,2474,8,7.46731,8.45284,8.56397,7.93892,8.81393,8.84742,7.4742,8.28842
685_bus,685,685,3249,8,11.0066,10.5745,10.1334,9.42583,10.0278,10.8462,10.4743,7.80909
ACTIVSg70K,69999,69999,238627,8,28.8921,32.5659,28.8892,32.4735,33.3319,32.0528,30.2521,30.0909
AS365,3799275,3799275,22736152,8,11.2436,14.8158,13.3639,15.4939,11.3784,11.3081,14.3716,6.00477
Alemdar,6245,6245,42581,8,33.3152,34.5872,33.7308,25.9709,36.0434,,32.8256,32.8238
Andrews,60000,60000,760154,8,34.9343,44.9342,45.3539,45.8193,47.1187,37.0462,44.5627,42.4273
BenElechi1,245874,245874,13150496,8,35.4661,35.4957,35.5615,35.4321,35.5187,35.4351,35.5246,35.4763
Binaryalphadigs_10NN,1404,1404,19392,8,31.6865,26.8309,32.5917,21.2108,30.836,25.6933,30.7993,22.2402
Bump_2911,2911419,2911419,127729899,8,28.2712,31.5048,28.3963,33.6343,33.4965,33.1164,32.7068,33.2509
CO,221119,221119,7666057,8,33.0933,32.6828,31.3533,33.4141,32.4933,34.5133,32.8272,33.7774
Chem97ZtZ,2541,2541,7361,8,14.5565,8.39046,14.9234,15.0683,14.4779,15.107,14.8165,7.14267
Cube_Coup_dt0,2164760,2164760,127206144,8,32.4622,34.8273,33.1003,34.495,34.8685,34.9209,34.2639,33.6754
