matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,64,15.5717,15.5251,15.7323,16.0,16.3948,14.9474,13.7668,13.8891
144,144649,144649,2148786,64,68.6189,71.627,78.5735,73.5371,91.2348,90.3981,70.2073,35.5299
2cubes_sphere,101492,101492,1647264,64,65.3858,102.497,92.2014,108.552,107.264,104.354,86.5231,91.1298
333SP,3712815,3712815,22217266,64,42.8268,41.0752,36.0318,41.5429,31.8642,31.7154,45.3002,19.853
3dtube,45330,45330,3213618,64,254.106,370.966,314.551,26.6486,445.85,326.727,351.614,302.294
3elt,4720,4720,27444,64,37.6509,40.4108,35.1557,40.3834,40.6832,41.1753,32.5633,34.0595
3elt_dual,9000,9000,26556,64,23.0446,27.4996,21.98,26.6192,26.2019,24.6058,21.5967,23.5878
494_bus,494,494,1666,64,10.4385,10.5999,10.0395,9.7856,9.87167,10.0018,8.31376,8.95398
598a,110971,110971,1483868,64,60.1326,65.3919,72.6223,53.0465,85.1558,80.9556,67.0594,28.6107
662_bus,662,662,2474,64,13.2023,12.0317,12.2361,12.8849,12.3995,12.7393,11.0013,8.71652
685_bus,685,685,3249,64,16.8049,15.8241,16.1886,14.3277,14.5894,15.5048,13.985,14.1708
ACTIVSg70K,69999,69999,238627,64,29.4489,35.1454,32.7045,30.1228,36.1066,29.9112,25.6073,32.3471
AS365,3799275,3799275,22736152,64,42.857,30.5078,36.825,33.8397,21.8347,22.856,45.5032,16.9506
Alemdar,6245,6245,42581,64,44.6148,31.6014,42.0426,34.0312,40.5295,,33.5566,20.0298
Andrews,60000,60000,760154,64,50.4486,51.4234,56.0159,49.7136,70.9466,64.6817,44.8861,25.9487
BenElechi1,245874,245874,13150496,64,345.737,260.078,313.54,276.967,348.091,283.46,299.421,293.061
Binaryalphadigs_10NN,1404,1404,19392,64,37.4913,32.1779,34.3269,32.8917,31.6317,30.4614,28.6536,31.6964
Bump_2911,2911419,2911419,127729899,64,140.244,198.353,168.492,224.354,276.7,239.275,193.023,200.804
CO,221119,221119,7666057,64,74.2674,132.499,118.876,75.5531,136.294,119.294,70.2409,71.3152
Chem97ZtZ,2541,2541,7361,64,20.7225,21.8088,19.9279,20.0641,19.2981,19.3974,21.358,14.9341
Cube_Coup_dt0,2164760,2164760,127206144,64,183.814,292.546,209.958,282.37,331.88,327.988,257.753,253.038
Cube_Coup_dt6,2164760,2164760,127206144,64,183.491,300.395,204.609,284.973,332.518,324.969,255.993,253.762
CurlCurl_0,11083,11083,113343,64,53.9251,62.6867,59.8595,64.4183,65.2839,60.611,57.579,57.6708
CurlCurl_1,226451,226451,2472071,64,47.5617,65.4546,60.4609,75.3228,75.0669,75.9369,60.6532,55.5638
CurlCurl_2,806529,806529,8921789,64,46.5796,84.542,65.0148,77.1575,84.4676,81.1812,64.3004,63.1451
CurlCurl_3,1219574,1219574,13544618,64,42.6172,79.5299,68.1327,84.5487,88.9531,86.9787,63.0085,60.2852
CurlCurl_4,2380515,2380515,26515867,64,47.3023,81.9005,64.1168,81.6387,91.824,87.1073,60.9129,65.2248
Dubcova1,16129,16129,253009,64,4.45655,78.0218,108.411,2.52923,2.30814,,101.398,51.9509
Dubcova2,65025,65025,1030225,64,104.769,87.9333,105.812,98.8213,117.149,102.193,122.325,52.2365
Dubcova3,146689,146689,3636649,64,133.404,125.469,135.067,127.568,153.37,135.635,149.756,65.4804
EX1,560,560,8736,64,23.2853,22.9361,24.8067,23.5352,22.6932,23.8424,22.5191,26.0941
EX2,560,560,8736,64,21.0656,23.6003,24.0066,23.334,23.9805,20.7329,24.2304,24.1259
EX3,2600,2600,71760,64,49.9545,54.1243,47.1173,58.6091,48.0407,47.0182,48.6372,56.2672
EX4,2600,2600,71760,64,50.1263,55.2901,48.172,58.1332,47.7604,46.294,49.6835,55.1436
EX5,6545,6545,295680,64,80.1406,87.9472,77.3506,91.4498,77.6687,,82.4296,94.7365
EX6,6545,6545,295680,64,80.1082,86.8014,79.168,90.3776,79.5031,,85.298,88.5493
Ecoli_10NN,336,336,4560,64,23.6912,19.741,22.1167,20.4119,19.5748,19.1572,17.3534,15.8132
Emilia_923,923136,923136,41005206,64,143.794,211.02,172.748,212.571,262.107,260.16,198.43,203.099
Erdos02,6927,6927,16944,64,15.4729,19.8757,15.6633,21.3984,19.8466,12.4149,12.1829,13.5486
Erdos971,472,472,2628,64,,11.5252,12.3253,11.8137,11.4662,12.0377,11.6776,11.0153
Erdos972,5488,5488,14170,64,15.989,19.5537,15.6965,18.9994,19.1301,12.8927,18.7322,13.2223
Erdos981,485,485,2762,64,,12.775,12.7709,12.3895,11.2696,11.7501,10.8072,11.4121
Erdos982,5822,5822,14750,64,15.2137,18.9326,16.0058,19.0397,18.8625,13.1123,18.1837,12.8863
Erdos991,492,492,2834,64,12.5368,12.0165,12.1863,12.6858,12.1213,11.5417,11.6378,10.7914
Erdos992,6100,6100,15030,64,15.2452,19.9722,16.2173,17.9857,19.068,13.2259,18.1676,12.6408
F1,343791,343791,26837113,64,213.692,188.687,252.644,189.823,286.131,211.849,285.815,99.7154
F2,71505,71505,5294285,64,289.289,260.39,336.197,255.334,392.048,249.351,350.435,127.566
