matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,3.20482,3.35036,3.30928,3.63579,3.28261,2.7117,3.63579,3.35036
144,144649,144649,2148786,1,15.5725,15.6731,16.1097,15.3074,14.6744,15.8809,16.026,12.5734
2cubes_sphere,101492,101492,1647264,1,18.3608,18.6742,19.1988,18.4855,18.6381,18.611,19.1541,18.4961
333SP,3712815,3712815,22217266,1,3.71069,4.27335,3.36157,4.06158,4.1423,4.07034,4.4107,3.18927
3dtube,45330,45330,3213618,1,16.9731,18.9302,10.8619,17.7273,17.8652,15.9742,18.4118,13.5636
3elt,4720,4720,27444,1,10.535,9.39867,10.8047,9.61271,10.912,9.08745,10.7834,9.78386
3elt_dual,9000,9000,26556,1,10.1146,10.1553,7.39718,8.4708,8.86673,10.0213,9.69194,8.88157
494_bus,494,494,1666,1,1.42994,1.46141,1.42396,1.30158,1.38256,1.52845,1.37631,1.50767
598a,110971,110971,1483868,1,14.9334,15.0379,14.9763,15.1291,14.8134,15.1422,15.333,12.8467
662_bus,662,662,2474,1,2.16058,2.25936,1.74228,2.19915,1.89576,2.17007,2.10536,2.15118
685_bus,685,685,3249,1,2.76488,2.83755,2.27205,2.92713,2.67402,2.65216,2.43383,2.9945
ACTIVSg70K,69999,69999,238627,1,5.17299,5.372,5.40057,5.43198,5.40792,5.44121,5.41528,5.44128
AS365,3799275,3799275,22736152,1,3.46251,4.35451,3.41737,4.21708,4.42729,4.48726,4.48685,2.28016
Alemdar,6245,6245,42581,1,12.673,11.861,11.6805,11.4005,12.8063,,11.861,12.9622
Andrews,60000,60000,760154,1,14.2708,14.0951,14.5385,13.8435,14.4035,14.809,14.7888,14.1727
BenElechi1,245874,245874,13150496,1,6.0954,5.66602,5.86027,6.14902,5.81106,5.84349,5.89114,5.97374
Binaryalphadigs_10NN,1404,1404,19392,1,9.16865,9.30073,10.4824,11.4745,10.8944,11.0491,10.2603,10.4541
Bump_2911,2911419,2911419,127729899,1,5.33711,5.72945,5.38028,5.87323,5.69431,5.66691,5.78635,5.81663
CO,221119,221119,7666057,1,6.26406,5.73202,7.11106,5.99973,6.0243,5.63071,5.98647,6.55651
Chem97ZtZ,2541,2541,7361,1,5.51365,5.43241,5.27668,5.39256,5.2393,3.51359,4.99057,3.74611
Cube_Coup_dt0,2164760,2164760,127206144,1,5.55882,5.9683,5.59088,5.82685,5.62972,5.96666,5.89459,5.96426
Cube_Coup_dt6,2164760,2164760,127206144,1,5.50501,5.71216,5.44408,5.8438,5.91191,5.93949,5.83191,5.93896
CurlCurl_0,11083,11083,113343,1,16.0315,17.5999,16.5344,15.9177,15.5158,16.5464,15.3895,17.6532
CurlCurl_1,226451,226451,2472071,1,19.0723,21.0495,18.8915,20.9434,19.9439,20.6005,19.573,21.8728
CurlCurl_2,806529,806529,8921789,1,4.82636,4.8392,4.85182,5.21621,5.14215,4.91969,5.13612,5.52592
CurlCurl_3,1219574,1219574,13544618,1,4.65358,4.88572,4.83817,4.93942,4.82478,5.10061,5.13786,5.15305
CurlCurl_4,2380515,2380515,26515867,1,4.07672,4.96795,4.20058,4.8472,5.06128,4.95595,5.17676,4.90719
Dubcova1,16129,16129,253009,1,20.1121,19.7973,18.1045,20.112,21.049,,18.6105,13.654
Dubcova2,65025,65025,1030225,1,22.2578,22.8584,22.6769,23.0783,23.5208,23.4649,24.0006,15.8702
Dubcova3,146689,146689,3636649,1,17.6232,19.3042,19.0175,18.3751,20.1783,19.6267,18.5051,12.2875
EX1,560,560,8736,1,6.40014,6.49515,6.71995,5.82396,4.80006,4.5618,6.47078,5.47709
EX2,560,560,8736,1,6.02502,4.88044,6.10914,5.45996,6.66859,6.30761,5.82396,6.69417
EX3,2600,2600,71760,1,17.2917,17.6098,17.3333,17.3101,16.8233,16.9247,17.1674,17.354
EX4,2600,2600,71760,1,15.9465,17.2706,17.1469,16.8649,17.1674,16.2904,17.5237,17.479
EX5,6545,6545,295680,1,20.3777,20.6408,20.4623,20.5833,20.4481,,14.0,20.0938
EX6,6545,6545,295680,1,20.3008,19.3883,20.6337,20.441,20.4192,,20.8144,19.0203
Ecoli_10NN,336,336,4560,1,2.69822,4.10803,4.22205,3.79997,3.19991,3.73761,4.05362,3.98273
Emilia_923,923136,923136,41005206,1,5.55799,5.72514,5.41108,5.52068,5.53258,5.60076,5.83248,5.89848
Erdos02,6927,6927,16944,1,3.88179,6.3461,3.58603,5.5373,6.61867,4.60434,4.10271,3.7654
Erdos971,472,472,2628,1,,2.08568,2.17186,2.27541,1.67926,1.7697,1.69547,2.26548
Erdos972,5488,5488,14170,1,3.90351,6.59065,3.9692,6.91214,7.28335,4.94593,4.73119,3.49879
Erdos981,485,485,2762,1,,2.4335,2.27331,2.15784,2.59336,2.36074,2.68144,2.11645
Erdos982,5822,5822,14750,1,4.16029,6.55551,5.00846,6.06997,5.43177,4.50382,5.52413,3.85123
Erdos991,492,492,2834,1,2.40172,1.87679,2.1969,2.14701,2.71196,2.36165,1.90843,2.42228
Erdos992,6100,6100,15030,1,3.88373,6.72483,4.68219,5.9173,7.19137,4.46659,4.54089,3.76218
F1,343791,343791,26837113,1,5.32148,5.73835,5.93895,5.83154,5.78082,5.73908,5.96576,5.63731
F2,71505,71505,5294285,1,8.90687,9.05953,9.02089,8.00528,8.90849,8.58355,9.13064,8.22907
