matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,0.884285,0.805319,0.807822,0.764262,0.783609,0.767073,0.818003,0.839689
144,144649,144649,2148786,1,0.898353,0.936569,0.902955,0.832337,0.907445,0.956903,0.878611,0.876787
2cubes_sphere,101492,101492,1647264,1,1.33277,1.34823,1.40232,1.40142,1.35154,1.28598,1.27208,1.43084
333SP,3712815,3712815,22217266,1,0.387887,0.403082,0.364522,0.349097,0.400572,0.4715,0.360154,0.375345
3dtube,45330,45330,3213618,1,0.680222,0.688277,0.671409,0.681288,0.722346,0.703453,0.668034,0.728094
3elt,4720,4720,27444,1,1.99383,1.82844,1.95178,1.86974,1.81953,1.82735,1.91997,1.81496
3elt_dual,9000,9000,26556,1,1.92987,1.78744,1.87291,1.7768,1.78246,1.8093,1.85175,1.76429
494_bus,494,494,1666,1,1.11325,1.05943,1.19128,1.1211,1.1044,1.12489,1.09427,1.0468
598a,110971,110971,1483868,1,1.19558,1.31035,1.04183,1.33151,1.30087,1.26229,1.32132,0.767868
662_bus,662,662,2474,1,1.15178,1.06963,1.14539,1.1923,1.11821,1.05143,1.19892,1.16179
685_bus,685,685,3249,1,1.16998,1.08266,1.18403,1.13068,1.12499,1.12694,1.16682,1.09082
ACTIVSg70K,69999,69999,238627,1,0.667285,0.646834,0.633704,0.660789,0.668039,0.663532,0.639584,0.678889
AS365,3799275,3799275,22736152,1,0.364838,0.349005,0.347086,0.346014,0.329044,0.354458,0.37713,0.328171
Alemdar,6245,6245,42581,1,1.8726,1.3197,1.40103,1.3103,1.22151,,1.38694,1.51788
Andrews,60000,60000,760154,1,0.895499,1.19785,1.51276,1.51169,1.47612,1.05407,1.53788,1.464
BenElechi1,245874,245874,13150496,1,0.320498,0.331352,0.366299,0.361987,0.329431,0.364154,0.340463,0.36314
Binaryalphadigs_10NN,1404,1404,19392,1,1.53466,1.51358,1.54851,1.52615,1.52548,1.53807,1.57071,1.55442
Bump_2911,2911419,2911419,127729899,1,0.372428,0.513545,0.387126,0.328925,0.41037,0.544104,0.366563,0.320446
CO,221119,221119,7666057,1,0.374429,0.380464,0.379546,0.381662,0.36067,0.369214,0.370001,0.405044
Chem97ZtZ,2541,2541,7361,1,1.52655,1.45676,1.50545,1.50811,1.50499,1.49463,1.54108,1.68601
Cube_Coup_dt0,2164760,2164760,127206144,1,0.313347,0.444744,0.358895,0.316604,0.367871,0.470947,0.42469,0.368406
Cube_Coup_dt6,2164760,2164760,127206144,1,0.401227,0.336325,0.363609,0.35414,0.339085,0.35101,0.321761,0.493357
CurlCurl_0,11083,11083,113343,1,2.05285,2.11635,2.02454,2.15166,1.97214,2.04365,2.04927,2.36896
CurlCurl_1,226451,226451,2472071,1,0.722232,0.751918,0.700006,0.7547,0.757535,0.755578,0.770099,0.747108
CurlCurl_2,806529,806529,8921789,1,0.337937,0.37865,0.384939,0.374147,0.332292,0.323599,0.382474,0.363095
CurlCurl_3,1219574,1219574,13544618,1,0.408281,0.398859,0.40295,0.513433,0.37175,0.38579,0.370971,0.378332
CurlCurl_4,2380515,2380515,26515867,1,0.388054,0.409722,0.367803,0.370043,0.421766,0.376305,0.311919,0.366137
Dubcova1,16129,16129,253009,1,2.11638,2.16697,2.11929,2.21175,2.1672,,2.19177,2.17757
Dubcova2,65025,65025,1030225,1,2.03113,1.98398,1.97897,2.07762,2.0537,2.02134,2.10543,2.04154
Dubcova3,146689,146689,3636649,1,0.525759,0.542704,0.507195,0.527601,0.514611,0.54788,0.512583,0.56941
EX1,560,560,8736,1,1.82494,1.87506,1.91058,1.86685,1.85224,1.84052,1.885,1.89174
EX2,560,560,8736,1,1.84832,1.83548,1.86504,1.84713,1.85439,1.79294,1.83375,1.86346
EX3,2600,2600,71760,1,1.95024,1.9455,1.97907,1.95173,1.86237,1.95013,1.96476,1.95175
EX4,2600,2600,71760,1,1.94675,1.93899,1.97773,1.95478,1.94833,1.94735,1.96584,1.94683
EX5,6545,6545,295680,1,1.9019,1.9306,1.80959,1.93663,1.87233,,1.91414,1.86674
EX6,6545,6545,295680,1,1.44051,1.90294,1.9186,1.78744,1.8978,,1.82802,1.91477
Ecoli_10NN,336,336,4560,1,1.67033,1.67961,1.66214,1.68076,1.69201,1.62041,1.73846,1.72078
Emilia_923,923136,923136,41005206,1,0.294859,0.414258,0.415472,0.425109,0.380852,0.375198,0.403787,0.385562
Erdos02,6927,6927,16944,1,0.971031,0.912589,0.923732,0.900679,0.692485,0.696468,1.09716,0.674629
Erdos971,472,472,2628,1,,1.20413,1.19022,1.21836,1.18647,1.18379,1.31334,1.12068
Erdos972,5488,5488,14170,1,0.978928,0.874641,0.906183,0.874829,0.696383,0.771768,1.10634,0.774085
Erdos981,485,485,2762,1,,1.15032,1.24556,1.12368,1.24419,1.24667,1.28555,1.11371
Erdos982,5822,5822,14750,1,0.953859,0.881807,0.895268,0.865276,0.704109,0.74117,1.09389,0.753974
Erdos991,492,492,2834,1,1.31386,1.20312,1.27288,1.22257,1.19198,1.24407,1.28176,1.14457
Erdos992,6100,6100,15030,1,0.969521,0.876792,0.912183,0.87728,0.706397,0.718073,1.09118,0.721625
F1,343791,343791,26837113,1,0.374813,0.380331,0.378187,0.355577,0.381212,0.354748,0.341933,0.339671
F2,71505,71505,5294285,1,0.395432,0.378844,0.386184,0.378139,0.361226,0.389466,0.317683,0.37486
Fashion_MNIST_norm_10NN,10000,10000,158304,1,1.62491,1.66888,1.63307,1.64414,1.65804,1.65447,1.67384,1.59769
Fault_639,638802,638802,28614564,1,0.305443,0.346748,0.351883,0.331805,0.376345,0.37994,0.502364,0.455304
Flan_1565,1564794,1564794,117406044,1,0.428061,0.396133,0.408026,0.340072,0.312994,0.351096,0.348467,0.479099
G1,800,800,38352,1,1.89084,1.75669,1.76356,1.76717,1.7655,1.76153,1.76705,1.71706
G10,800,800,38352,1,1.89927,1.7536,1.76843,1.75428,1.75964,1.76015,1.76807,1.76096
G11,800,800,3200,1,1.83699,1.80342,1.82911,1.80781,1.78272,1.7953,1.82443,1.83914
G12,800,800,3200,1,1.8338,1.82801,1.82704,1.82911,1.83118,1.81557,1.83014,1.84494
G13,800,800,3200,1,1.82237,1.82655,1.83533,1.83914,1.82911,1.83118,1.81972,1.82087
G14,800,800,9388,1,1.38548,1.47588,1.37765,1.41814,1.33618,1.42276,1.55071,1.47588
G15,800,800,9322,1,1.35288,1.42516,1.35308,1.42354,1.41726,1.39601,1.56239,1.47165
G16,800,800,9344,1,1.35725,1.4392,1.39493,1.42865,1.34805,1.38039,1.5541,1.47428
G17,800,800,9334,1,1.39554,1.41134,1.38889,1.43823,1.38425,1.40192,1.55398,1.46702
G18,800,800,9388,1,1.35157,1.43458,1.381,1.43671,1.36622,1.3936,1.56453,1.46277
