matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,1.85964,1.73131,1.67148,1.76072,1.75806,1.66381,1.99106,1.79577
144,144649,144649,2148786,1,1.92109,1.92327,1.92527,1.93258,1.94,1.94283,1.9087,1.91521
2cubes_sphere,101492,101492,1647264,1,2.30457,2.29968,2.38877,2.32144,2.31263,2.30652,2.40426,2.25892
333SP,3712815,3712815,22217266,1,1.44066,1.575,1.35851,1.57168,1.56628,1.57236,1.65656,1.39428
3dtube,45330,45330,3213618,1,2.40255,2.42054,2.42869,2.44563,2.41241,2.44187,2.42369,2.44111
3elt,4720,4720,27444,1,2.56141,2.51501,2.36504,2.37017,2.33528,2.37567,2.39245,2.55497
3elt_dual,9000,9000,26556,1,2.45559,2.2755,2.37372,2.27614,2.24925,2.26605,2.29695,2.27255
494_bus,494,494,1666,1,1.9497,1.98211,1.97992,1.93966,2.19088,2.19964,1.99426,2.07163
598a,110971,110971,1483868,1,1.87184,1.89011,1.85231,1.86644,1.92727,1.90294,1.92107,1.88638
662_bus,662,662,2474,1,2.09788,1.97358,2.14229,1.94255,2.04617,2.1954,1.8025,1.84411
685_bus,685,685,3249,1,2.42389,2.32766,2.15911,2.39765,2.35239,2.23305,2.25252,2.24672
ACTIVSg70K,69999,69999,238627,1,0.85659,0.784262,0.76111,0.777534,0.820536,0.781041,0.746992,0.788132
AS365,3799275,3799275,22736152,1,1.22575,1.28139,1.06203,1.28074,1.29025,1.28486,1.3592,0.722956
Alemdar,6245,6245,42581,1,2.57069,1.71094,1.88054,1.63908,1.50418,,1.75007,1.95765
Andrews,60000,60000,760154,1,1.89036,1.79436,1.82815,1.83241,1.81343,1.81548,1.87054,1.81423
BenElechi1,245874,245874,13150496,1,2.58065,2.5983,2.59354,2.5923,2.59951,2.59249,2.5942,2.58611
Binaryalphadigs_10NN,1404,1404,19392,1,2.36809,2.25328,2.38867,2.27048,2.36513,2.37518,2.37823,2.06005
Bump_2911,2911419,2911419,127729899,1,2.41335,2.54237,2.43055,2.54053,2.54178,2.53853,2.53944,2.54105
CO,221119,221119,7666057,1,2.5881,2.67588,2.64425,2.6683,2.70236,2.66243,2.64041,2.67415
Chem97ZtZ,2541,2541,7361,1,1.68041,1.89551,1.87261,1.93887,1.92389,1.91863,1.82747,2.33461
Cube_Coup_dt0,2164760,2164760,127206144,1,2.44466,2.51772,2.47787,2.52999,2.51885,2.52776,2.52613,2.53734
Cube_Coup_dt6,2164760,2164760,127206144,1,2.4447,2.5187,2.47067,2.53118,2.51962,2.52324,2.52748,2.52403
