matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,0.958852,0.912353,0.617275,0.794189,0.799605,0.82491,1.04958,0.91337
144,144649,144649,2148786,1,1.76003,1.80087,1.84189,1.8141,1.80879,1.78112,1.83966,1.61807
2cubes_sphere,101492,101492,1647264,1,2.11805,2.11293,2.14277,2.12108,2.1221,2.12147,2.17078,2.11293
333SP,3712815,3712815,22217266,1,1.04578,1.22588,0.879561,1.19467,1.25096,1.24225,1.31494,0.980744
3dtube,45330,45330,3213618,1,2.10638,2.20204,2.21118,2.32304,2.16818,2.21141,2.10801,2.25697
3elt,4720,4720,27444,1,1.76489,1.69182,1.7082,1.63192,1.61459,1.6309,1.73361,1.64365
3elt_dual,9000,9000,26556,1,1.64679,1.59765,1.64832,1.51762,1.512,1.55544,1.5702,1.50382
494_bus,494,494,1666,1,0.923756,1.33013,1.39183,0.548749,1.23636,1.3092,1.34084,1.16301
598a,110971,110971,1483868,1,1.74076,1.76174,1.70142,1.74908,1.76618,1.75318,1.77595,1.61605
662_bus,662,662,2474,1,0.916289,0.59073,0.930084,0.566329,1.01207,1.02654,1.10719,1.395
685_bus,685,685,3249,1,1.17081,1.5665,1.07922,1.17912,1.39474,0.997701,1.12988,1.1125
ACTIVSg70K,69999,69999,238627,1,0.671019,0.648879,0.636958,0.64476,0.651115,0.65446,0.639772,0.662461
AS365,3799275,3799275,22736152,1,0.974986,0.991775,0.628867,0.998336,1.06618,1.041,1.1872,0.362189
Alemdar,6245,6245,42581,1,1.90707,1.29118,1.35498,1.17434,1.16515,,1.38344,1.55846
Andrews,60000,60000,760154,1,1.63921,1.74576,1.7422,1.74804,1.7316,1.75221,1.72897,1.69811
BenElechi1,245874,245874,13150496,1,2.43008,2.40495,2.44216,2.41034,2.42159,2.40339,2.45281,2.44927
Binaryalphadigs_10NN,1404,1404,19392,1,1.69187,1.75161,1.8216,1.80543,1.75558,1.78794,1.87182,1.73043
Bump_2911,2911419,2911419,127729899,1,2.06306,2.36713,2.18049,2.3758,2.36843,2.35642,2.39942,2.4092
CO,221119,221119,7666057,1,2.11142,2.15398,2.16773,2.27476,2.25719,2.07159,2.30191,2.27011
Chem97ZtZ,2541,2541,7361,1,1.07014,1.25368,1.10317,1.00361,1.09817,1.2431,1.03262,1.12425
Cube_Coup_dt0,2164760,2164760,127206144,1,2.15019,2.40307,2.32366,2.42749,2.40266,2.40223,2.4524,2.45513
Cube_Coup_dt6,2164760,2164760,127206144,1,2.15818,2.39383,2.32499,2.43029,2.40178,2.40184,2.44693,2.45297
CurlCurl_0,11083,11083,113343,1,2.15066,2.15413,1.98449,2.18135,2.03426,1.99921,2.0645,2.29742
