matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,2.15639,2.30338,2.17376,2.30995,2.23982,2.22132,2.29042,2.12248
144,144649,144649,2148786,1,2.28583,2.26038,2.27757,2.25819,2.26579,2.25915,2.28068,2.01677
2cubes_sphere,101492,101492,1647264,1,2.6287,2.64279,2.7366,2.66257,2.63215,2.66055,2.72057,2.65459
333SP,3712815,3712815,22217266,1,1.30886,1.51831,1.11059,1.50132,1.54413,1.52918,1.74822,1.22153
3dtube,45330,45330,3213618,1,2.61528,2.6953,2.69186,2.69473,2.67794,2.65718,2.63809,2.6765
3elt,4720,4720,27444,1,2.46013,2.28605,2.3761,2.33366,2.29657,2.30525,2.34865,2.26988
3elt_dual,9000,9000,26556,1,2.29029,2.12618,2.24007,2.13215,2.12874,2.15815,2.23629,2.10846
494_bus,494,494,1666,1,2.06953,2.12232,2.06953,2.0956,2.10888,2.08248,2.05704,2.03192
598a,110971,110971,1483868,1,2.19945,2.19533,2.1992,2.18825,2.18707,2.19201,2.23204,1.91709
662_bus,662,662,2474,1,2.09664,2.24907,2.17018,2.25936,2.12366,2.23889,2.24907,2.20887
685_bus,685,685,3249,1,2.27214,2.31243,2.38893,2.44277,2.39776,2.31243,2.36274,2.40675
ACTIVSg70K,69999,69999,238627,1,0.834117,0.806358,0.784011,0.797785,0.800864,0.808585,0.795352,0.822467
AS365,3799275,3799275,22736152,1,1.15348,1.26494,0.809349,1.26963,1.31113,1.30465,1.48848,0.4329
Alemdar,6245,6245,42581,1,2.64478,1.857,1.9586,1.80653,1.69473,,1.99625,2.25415
Andrews,60000,60000,760154,1,2.13975,2.14662,2.16876,2.11532,2.14424,2.1559,2.14501,2.07382
BenElechi1,245874,245874,13150496,1,2.92427,2.97103,2.99205,2.96595,2.97451,2.9748,3.02439,3.06406
Binaryalphadigs_10NN,1404,1404,19392,1,2.63299,2.65826,2.68383,2.66372,2.69146,2.64377,2.68775,2.71217
Bump_2911,2911419,2911419,127729899,1,2.4676,2.86126,2.59709,2.86946,2.66483,2.87106,2.92166,2.95515
CO,221119,221119,7666057,1,2.77294,2.73836,2.77418,2.77113,2.76816,2.64977,2.85163,2.76643
Chem97ZtZ,2541,2541,7361,1,2.06191,2.05041,2.0912,2.05327,1.98679,2.01924,2.10012,2.21349
Cube_Coup_dt0,2164760,2164760,127206144,1,2.59394,2.91942,2.81631,2.98101,2.92839,2.91011,2.99218,2.99206
Cube_Coup_dt6,2164760,2164760,127206144,1,2.60216,2.9126,2.80801,2.94949,2.91768,2.94383,2.98016,3.01709
CurlCurl_0,11083,11083,113343,1,2.85427,2.88584,2.70311,2.91479,2.70893,2.67252,2.72292,3.0985
CurlCurl_1,226451,226451,2472071,1,2.75301,2.82177,2.65714,2.88431,2.81741,2.80169,2.82532,2.93136
CurlCurl_2,806529,806529,8921789,1,2.4593,2.70042,2.48301,2.70491,2.66838,2.65472,2.79182,2.89544
CurlCurl_3,1219574,1219574,13544618,1,2.22434,2.66026,2.35794,2.664,2.63053,2.63014,2.78742,2.87323
CurlCurl_4,2380515,2380515,26515867,1,1.8066,2.60805,2.09276,2.61191,2.59055,2.57364,2.81783,2.90544
Dubcova1,16129,16129,253009,1,3.22879,3.19373,3.10856,3.13458,3.25119,,3.09622,3.03203
Dubcova2,65025,65025,1030225,1,3.38432,3.37511,3.35221,3.42521,3.44284,3.4379,3.51173,3.42533
Dubcova3,146689,146689,3636649,1,3.04573,3.10221,3.02174,3.09841,3.12076,3.07813,3.08377,3.15397
EX1,560,560,8736,1,2.85917,2.87367,2.99179,2.90713,2.80451,2.8226,3.00203,2.96139
EX2,560,560,8736,1,2.85449,2.8135,2.91685,2.9024,2.81804,2.79516,2.791,2.86889
EX3,2600,2600,71760,1,3.15359,3.21859,3.22293,3.21644,3.19715,3.19076,3.23682,3.15977
EX4,2600,2600,71760,1,3.15075,3.1473,3.26701,3.22227,3.20643,3.21074,3.26107,3.17172
EX5,6545,6545,295680,1,3.13036,3.13551,3.16147,3.16487,3.14067,,3.01728,3.01313
EX6,6545,6545,295680,1,3.12838,3.14518,3.1307,3.16316,3.11864,,3.12621,3.15643
Ecoli_10NN,336,336,4560,1,2.95156,3.00984,2.98041,2.94191,3.00005,3.02987,3.01982,2.97081
Emilia_923,923136,923136,41005206,1,2.64693,2.85414,2.74655,2.97006,2.90186,2.89501,2.9863,3.01649
Erdos02,6927,6927,16944,1,1.59398,1.4702,1.79777,1.51016,1.45629,1.65307,1.86401,1.70206
Erdos971,472,472,2628,1,,2.4792,2.53901,2.49096,2.53901,2.50284,2.44457,2.50284
Erdos972,5488,5488,14170,1,1.89567,1.69497,1.90843,1.71228,1.85337,1.4861,2.03885,1.97905
Erdos981,485,485,2762,1,,2.52237,2.53395,2.49965,2.55744,2.51089,2.47707,2.54564
Erdos982,5822,5822,14750,1,1.91187,1.68958,1.89589,1.69433,1.78464,1.69639,1.88859,1.93316
Erdos991,492,492,2834,1,2.54165,2.508,2.54178,2.49694,2.51903,2.4642,2.54165,2.57634
Erdos992,6100,6100,15030,1,1.90372,1.5763,1.922,1.55832,1.58955,1.76822,1.84985,1.86708
F1,343791,343791,26837113,1,2.51197,2.58921,2.48895,2.58183,2.60596,2.55317,2.61111,2.51198
F2,71505,71505,5294285,1,2.5868,2.59955,2.58167,2.62166,2.62275,2.60834,2.60653,2.59869
Fashion_MNIST_norm_10NN,10000,10000,158304,1,2.21078,2.34993,2.36945,2.32167,2.18484,2.25776,2.32629,2.2131
Fault_639,638802,638802,28614564,1,2.58492,2.79977,2.69843,2.74531,2.79043,2.79275,2.83629,2.8879
Flan_1565,1564794,1564794,117406044,1,2.49305,2.62416,2.51696,2.68277,2.62312,2.5876,2.64847,2.62146
G1,800,800,38352,1,3.2188,3.01035,3.03899,3.04975,3.04743,3.01509,3.06817,3.033
G10,800,800,38352,1,3.24742,3.03658,3.04743,3.01983,3.03417,3.0414,3.07309,3.00434
G11,800,800,3200,1,2.38796,2.22998,2.37917,2.23769,2.37917,2.37907,2.37045,2.23007
G12,800,800,3200,1,2.23787,2.37917,2.37917,2.39702,2.39702,2.37928,2.30216,2.38796
G13,800,800,3200,1,2.39712,2.38806,2.38806,2.38817,2.39691,2.38796,2.39691,2.40593
G14,800,800,9388,1,2.56154,2.61868,2.58946,2.65953,2.65949,2.61139,2.80661,2.63339
G15,800,800,9322,1,2.60027,2.60755,2.60027,2.67873,2.58583,2.74994,2.84642,2.57155
G16,800,800,9344,1,2.59193,2.6812,2.63214,2.66593,2.65829,2.74821,2.7686,2.62843
G17,800,800,9334,1,2.60726,2.64755,2.60726,2.56079,2.70942,2.70553,2.75338,2.63303
G18,800,800,9388,1,2.57199,2.64822,2.62234,2.65572,2.71331,2.60784,2.81927,2.63339
G19,800,800,9322,1,2.55041,2.69424,2.56804,2.62956,2.63337,2.70205,2.76208,2.58591
G2,800,800,38352,1,3.23099,3.04008,3.01983,3.03778,2.99625,3.04624,3.04855,3.03417
G20,800,800,9344,1,2.61005,2.63954,2.59915,2.67352,2.65078,2.77683,2.69244,2.61737
G21,800,800,9334,1,2.58523,2.60692,2.64419,2.69381,2.62192,2.63667,2.81991,2.59284
G22,2000,2000,39980,1,2.86287,2.83144,2.87926,2.85154,2.85663,2.83948,2.93098,2.80562
G23,2000,2000,39980,1,2.81054,2.83145,2.87316,2.88144,2.87212,2.85266,2.91612,2.85878
G24,2000,2000,39980,1,2.84545,2.88248,2.84049,2.84951,2.8496,2.86491,2.88353,2.73742
G25,2000,2000,39980,1,2.86286,2.85063,2.85368,2.8486,2.83647,2.84859,2.956,2.85368
G26,2000,2000,39980,1,2.85572,2.81747,2.88352,2.8856,2.80856,2.81947,2.93205,2.85062
G27,2000,2000,39980,1,2.85674,2.87316,2.87316,2.82544,2.85368,2.8405,2.895,2.84557
G28,2000,2000,39980,1,2.83044,2.86287,2.83646,2.85673,2.87925,2.87006,2.91293,2.85764
G29,2000,2000,39980,1,2.84759,2.88872,2.81441,2.86904,2.85062,2.82543,2.88247,2.85878
G2_circuit,150102,150102,726674,1,2.06061,2.5097,2.27865,2.60031,2.58404,2.58989,2.53811,2.54198
G3,800,800,38352,1,3.25156,3.02699,3.04624,3.02819,3.04743,3.04502,3.07306,3.04129
