matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,2.68483,2.68473,2.67155,2.2386,2.72998,2.46888,2.70811,1.53476
144,144649,144649,2148786,1,24.0011,25.9154,24.619,25.6192,21.5659,25.0915,25.5543,20.7989
2cubes_sphere,101492,101492,1647264,1,25.5109,27.3493,28.9955,28.9014,27.8612,28.9639,28.1516,27.0194
333SP,3712815,3712815,22217266,1,4.95396,4.78163,4.77204,4.76265,4.51631,5.1175,4.83861,4.68861
3dtube,45330,45330,3213618,1,24.0477,26.1173,23.4837,26.653,26.3544,22.9007,26.0964,20.6156
3elt,4720,4720,27444,1,11.3452,11.7355,11.751,11.2661,11.9557,12.6237,12.4238,11.6212
3elt_dual,9000,9000,26556,1,9.2837,10.7973,10.1242,10.3189,11.1392,10.7169,12.0,10.8927
494_bus,494,494,1666,1,1.15252,1.11699,1.25688,1.10628,1.14194,1.14459,1.18492,1.14185
598a,110971,110971,1483868,1,23.9469,24.7361,22.4601,23.4106,25.5636,25.3248,25.5037,14.9804
662_bus,662,662,2474,1,1.52063,1.76522,1.58074,1.69052,1.75589,1.6266,1.45399,1.65214
685_bus,685,685,3249,1,2.27994,2.27214,2.27362,2.04594,2.41571,1.95603,2.1263,1.67429
ACTIVSg70K,69999,69999,238627,1,10.4067,10.7224,10.5319,10.8467,11.1365,10.9825,11.0881,10.8342
AS365,3799275,3799275,22736152,1,4.71977,4.79517,4.77189,4.78632,4.74832,4.89833,4.70853,4.59261
Alemdar,6245,6245,42581,1,15.0997,14.8132,14.5008,14.1469,15.8795,,16.2524,10.7044
Andrews,60000,60000,760154,1,18.1013,22.4146,22.5428,23.2062,23.1349,15.6081,24.1849,22.8048
BenElechi1,245874,245874,13150496,1,5.08124,5.12345,5.56146,5.1723,5.06962,5.18273,5.16327,5.16151
Binaryalphadigs_10NN,1404,1404,19392,1,9.40656,9.66667,9.32102,9.0896,8.64387,9.3519,9.48962,8.73498
Bump_2911,2911419,2911419,127729899,1,4.97193,5.25192,4.96856,4.72144,4.95862,4.98206,4.94968,4.65549
CO,221119,221119,7666057,1,5.63508,6.13727,5.80185,6.30702,5.88636,5.76807,5.59347,6.44709
Chem97ZtZ,2541,2541,7361,1,4.42775,3.19556,4.61638,4.41831,4.45568,4.44378,4.46401,2.72828
Cube_Coup_dt0,2164760,2164760,127206144,1,4.54854,5.51998,4.8612,4.6164,4.68948,5.50112,5.37615,4.41817
Cube_Coup_dt6,2164760,2164760,127206144,1,4.62551,4.78928,4.41807,5.03311,4.40378,4.39612,4.61002,5.57514
