matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,2.30864,2.69241,2.72059,2.28142,2.7117,2.52491,2.70286,2.71805
144,144649,144649,2148786,1,1.92989,1.94975,1.93248,1.94965,1.94772,1.94296,1.94574,1.91417
2cubes_sphere,101492,101492,1647264,1,2.47002,2.31528,2.55805,2.36873,2.3244,2.34296,2.41924,2.35221
333SP,3712815,3712815,22217266,1,1.44609,1.57654,1.35045,1.57612,1.58553,1.57341,1.65268,1.39441
3dtube,45330,45330,3213618,1,2.41627,2.4653,2.46347,2.46549,2.45459,2.45123,2.44176,2.47378
3elt,4720,4720,27444,1,2.68952,2.42778,2.72427,2.64498,2.44338,2.40937,2.46134,2.52093
3elt_dual,9000,9000,26556,1,2.47504,2.26281,2.43021,2.30731,2.30763,2.33829,2.39374,2.29556
494_bus,494,494,1666,1,2.35686,2.31043,2.37327,2.34912,1.88549,2.36777,2.31342,2.32696
598a,110971,110971,1483868,1,1.88396,1.94318,1.88969,1.92599,1.92972,1.93105,2.0315,1.91019
662_bus,662,662,2474,1,1.5333,2.45568,2.56661,2.47053,2.59038,2.63863,2.41989,2.60883
685_bus,685,685,3249,1,2.75342,2.60537,2.77478,2.83279,2.81281,2.56844,2.61268,2.55715
ACTIVSg70K,69999,69999,238627,1,0.840708,0.79699,0.767048,0.816555,0.811619,0.810012,0.756309,0.80098
AS365,3799275,3799275,22736152,1,1.22742,1.28771,1.05355,1.27782,1.29115,1.29221,1.3547,0.717342
Alemdar,6245,6245,42581,1,2.82769,1.7983,2.01552,1.84182,1.64729,,2.0139,1.94632
Andrews,60000,60000,760154,1,1.82362,1.83194,1.82568,1.828,1.83672,1.82954,1.87762,1.82145
BenElechi1,245874,245874,13150496,1,2.5792,2.59619,2.59417,2.60027,2.59529,2.59453,2.59302,2.59988
Binaryalphadigs_10NN,1404,1404,19392,1,2.69157,2.84444,2.8062,2.54322,2.79321,2.51435,2.69218,2.68905
Bump_2911,2911419,2911419,127729899,1,2.41944,2.54232,2.43169,2.54166,2.54211,2.53588,2.54345,2.54127
CO,221119,221119,7666057,1,2.60304,2.70491,2.66302,2.67833,2.71319,2.67902,2.64672,2.68502
Chem97ZtZ,2541,2541,7361,1,2.06798,2.01256,1.79103,1.97905,2.06595,1.9267,1.78406,2.40128
Cube_Coup_dt0,2164760,2164760,127206144,1,2.43292,2.51766,2.48135,2.53091,2.51723,2.52741,2.52334,2.53318
Cube_Coup_dt6,2164760,2164760,127206144,1,2.41966,2.51613,2.47459,2.52898,2.51848,2.52269,2.52776,2.52461
CurlCurl_0,11083,11083,113343,1,2.98455,3.10252,2.79123,3.08786,2.79766,2.65381,2.91893,3.38402
CurlCurl_1,226451,226451,2472071,1,2.68848,2.93133,2.60874,2.91359,2.84695,2.84086,2.8564,3.02225
CurlCurl_2,806529,806529,8921789,1,2.62447,2.83351,2.57594,2.84483,2.80939,2.75633,2.80539,2.91329
CurlCurl_3,1219574,1219574,13544618,1,2.59543,2.81218,2.58662,2.80781,2.78485,2.78062,2.80442,2.87879
CurlCurl_4,2380515,2380515,26515867,1,2.27704,2.79417,2.359,2.78479,2.77449,2.75204,2.81168,2.88963
Dubcova1,16129,16129,253009,1,3.28988,3.39619,3.20216,3.30383,3.29265,,3.30791,3.32887
Dubcova2,65025,65025,1030225,1,3.23503,3.28149,3.14312,3.31954,3.27109,3.26255,3.27026,3.2905
Dubcova3,146689,146689,3636649,1,2.85172,2.90953,2.79914,2.94193,2.95689,2.94009,2.85681,2.95166
EX1,560,560,8736,1,3.31661,3.26893,3.23986,3.22788,3.24743,3.29767,3.18594,3.28669
EX2,560,560,8736,1,3.15036,3.3275,3.27121,3.26865,3.28554,3.24715,3.31047,3.29246
EX3,2600,2600,71760,1,2.98777,3.06518,3.05627,3.07267,3.04444,2.97767,3.0955,3.0719
EX4,2600,2600,71760,1,3.01413,3.01463,3.10758,3.02167,3.05158,3.04802,3.09131,3.0514
EX5,6545,6545,295680,1,2.66315,2.65665,2.64361,2.66026,2.6225,,2.68389,2.65533
EX6,6545,6545,295680,1,2.63215,2.66042,2.67448,2.62785,2.62562,,2.65993,2.6513
Ecoli_10NN,336,336,4560,1,3.01308,3.08864,3.0421,3.10775,3.06064,3.17475,3.18456,3.07072
Emilia_923,923136,923136,41005206,1,2.52043,2.55337,2.50569,2.54855,2.55025,2.56034,2.56311,2.55588
Erdos02,6927,6927,16944,1,1.87547,1.86916,1.82565,1.56753,1.47366,1.50422,1.95293,1.60098
Erdos971,472,472,2628,1,,2.61641,2.57111,2.61096,2.56294,2.55655,2.6292,2.57993
Erdos972,5488,5488,14170,1,1.81633,2.0629,1.95263,1.84072,1.65164,1.97931,1.96448,1.90902
Erdos981,485,485,2762,1,,2.6432,2.61178,2.34163,2.61063,2.56103,2.47707,2.51009
Erdos982,5822,5822,14750,1,1.88561,2.08172,1.92825,1.94566,1.39665,1.74021,1.9901,1.8823
Erdos991,492,492,2834,1,2.50245,2.64377,2.59862,2.61425,2.57553,2.49886,2.66111,2.62893
Erdos992,6100,6100,15030,1,1.91428,1.58822,1.71566,1.82757,1.55076,1.56584,1.9633,1.84191
F1,343791,343791,26837113,1,2.28724,2.28826,2.2587,2.28882,2.29331,2.28712,2.30017,2.25269
F2,71505,71505,5294285,1,2.31151,2.335,2.28674,2.33486,2.32664,2.32397,2.31603,2.30573
Fashion_MNIST_norm_10NN,10000,10000,158304,1,2.12717,2.13955,2.11343,2.1263,2.11833,2.14283,2.18051,2.13341
Fault_639,638802,638802,28614564,1,2.49875,2.52026,2.47671,2.51362,2.51443,2.51701,2.52699,2.52697
Flan_1565,1564794,1564794,117406044,1,2.36268,2.38869,2.34704,2.39198,2.38363,2.3905,2.3886,2.39327
G1,800,800,38352,1,2.73454,2.579,2.61109,2.57993,2.57263,2.5796,2.63561,2.58078
