matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,1.73286,1.67558,1.72548,1.67897,1.69656,1.75151,1.56528,1.75535
144,144649,144649,2148786,1,1.83232,1.81249,1.83973,1.8135,1.81292,1.82569,1.84153,1.577
2cubes_sphere,101492,101492,1647264,1,2.11384,2.11145,2.1656,2.12881,2.12114,2.12288,2.15741,2.11144
333SP,3712815,3712815,22217266,1,1.03699,1.1906,0.793544,1.15784,1.22086,1.2082,1.41555,0.997755
3dtube,45330,45330,3213618,1,2.13256,2.2131,2.1673,2.30173,2.18887,2.26478,2.10918,2.193
3elt,4720,4720,27444,1,1.87677,1.74021,1.73801,1.75641,1.76149,1.74913,1.79613,1.69921
3elt_dual,9000,9000,26556,1,1.72559,1.57907,1.67329,1.62407,1.60639,1.63411,1.68182,1.58619
494_bus,494,494,1666,1,1.55417,1.52568,1.40289,1.56147,1.36893,1.57608,1.56805,0.866142
598a,110971,110971,1483868,1,1.77532,1.75002,1.75085,1.75264,1.77279,1.76386,1.78755,1.57534
662_bus,662,662,2474,1,1.71438,1.70859,1.50124,1.33439,1.69092,1.70264,1.72105,1.42308
685_bus,685,685,3249,1,1.8961,1.9306,1.89071,0.86824,1.91852,1.81202,1.90224,1.85816
ACTIVSg70K,69999,69999,238627,1,0.679616,0.651828,0.641495,0.649073,0.655839,0.652784,0.640408,0.662691
AS365,3799275,3799275,22736152,1,0.896938,0.945186,0.697662,0.98283,1.02764,1.00655,1.18474,0.410421
Alemdar,6245,6245,42581,1,2.02955,1.40934,1.45696,1.2749,1.26391,,1.48392,1.66238
Andrews,60000,60000,760154,1,1.69692,1.73878,1.75647,1.74026,1.73451,1.75534,1.73188,1.70395
BenElechi1,245874,245874,13150496,1,2.38693,2.38649,2.38015,2.38281,2.37425,2.37556,2.40634,2.40733
Binaryalphadigs_10NN,1404,1404,19392,1,1.94036,1.95702,1.95997,1.96794,1.95013,1.95997,1.98302,1.92783
Bump_2911,2911419,2911419,127729899,1,2.03466,2.34743,2.15019,2.36048,2.35922,2.34485,2.39359,2.39334
CO,221119,221119,7666057,1,2.0717,2.15379,2.18346,2.23476,2.20749,2.07352,2.2668,2.25186
Chem97ZtZ,2541,2541,7361,1,1.59883,1.55491,1.50869,1.46795,1.45344,1.4088,1.48421,1.70453
Cube_Coup_dt0,2164760,2164760,127206144,1,2.15188,2.38896,2.30981,2.40108,2.38712,2.38132,2.43738,2.443
Cube_Coup_dt6,2164760,2164760,127206144,1,2.15238,2.38121,2.30389,2.41191,2.39255,2.38439,2.43669,2.43873
CurlCurl_0,11083,11083,113343,1,2.29066,2.30047,2.14069,2.32766,2.1599,2.11805,2.19917,2.41461
CurlCurl_1,226451,226451,2472071,1,2.18439,2.31203,2.12562,2.33235,2.28958,2.28754,2.27647,2.39816
CurlCurl_2,806529,806529,8921789,1,1.78849,2.16148,1.88596,2.16713,2.12546,2.11065,2.25711,2.33192
CurlCurl_3,1219574,1219574,13544618,1,1.66834,2.15411,1.85802,2.1492,2.11357,2.09855,2.27813,2.3493
CurlCurl_4,2380515,2380515,26515867,1,1.40577,2.10687,1.59238,2.12039,2.08373,2.07689,2.29068,2.37071
Dubcova1,16129,16129,253009,1,2.56863,2.51766,2.48618,2.51691,2.4658,,2.61167,2.37154
Dubcova2,65025,65025,1030225,1,2.6941,2.70167,2.678,2.75502,2.74443,2.63987,2.8116,2.42233
Dubcova3,146689,146689,3636649,1,2.49185,2.56778,2.43607,2.54821,2.54395,2.50732,2.44952,2.54121
EX1,560,560,8736,1,2.1878,2.17992,2.38553,2.28243,1.95502,2.23,2.30958,2.34366
EX2,560,560,8736,1,2.00899,1.92889,2.27385,2.20193,2.16909,2.14776,2.23858,2.19334
EX3,2600,2600,71760,1,2.39299,2.36064,2.42703,2.40181,2.36103,2.399,2.3998,2.37593
EX4,2600,2600,71760,1,2.34943,2.34787,2.44693,2.35831,2.40785,2.3502,2.41559,2.40825
EX5,6545,6545,295680,1,2.51083,2.52869,2.53761,2.53815,2.51394,,2.56686,2.53979
EX6,6545,6545,295680,1,2.4259,2.52729,2.53772,2.53347,2.51608,,2.54669,2.53303
Ecoli_10NN,336,336,4560,1,2.31065,2.35171,2.31652,1.40895,2.20391,2.18291,2.1269,2.29838
Emilia_923,923136,923136,41005206,1,2.09268,2.30598,2.2064,2.35688,2.32403,2.32689,2.4055,2.39806
Erdos02,6927,6927,16944,1,1.35077,1.25646,1.3395,1.2749,1.15355,1.22854,1.52224,1.35131
Erdos971,472,472,2628,1,,1.77807,1.76025,1.94305,1.92811,1.90783,1.89398,1.95754
Erdos972,5488,5488,14170,1,1.42786,1.30895,1.40304,1.31502,1.40096,1.32053,1.56712,1.44239
Erdos981,485,485,2762,1,,1.35458,1.00416,1.80765,1.82545,1.76148,1.90092,1.95544
Erdos982,5822,5822,14750,1,1.37012,1.34256,1.37908,1.25881,1.35745,1.21871,1.54564,1.38818
Erdos991,492,492,2834,1,1.92396,1.98515,1.90454,1.98466,1.98466,1.94378,1.87991,1.97076
Erdos992,6100,6100,15030,1,1.42323,1.30958,1.35883,1.3073,1.33222,1.32691,1.52457,1.40258
F1,343791,343791,26837113,1,2.02602,2.0456,2.00777,2.02041,2.04203,2.0567,2.1052,1.82027
F2,71505,71505,5294285,1,2.07057,2.11784,2.09284,2.05477,2.0958,2.08611,2.08749,1.95334
Fashion_MNIST_norm_10NN,10000,10000,158304,1,1.80509,1.8339,1.92542,1.86342,1.8815,1.86024,1.90913,1.85044
Fault_639,638802,638802,28614564,1,2.04529,2.23564,2.17753,2.19578,2.2075,2.18851,2.27037,2.26822
Flan_1565,1564794,1564794,117406044,1,2.23152,2.31764,2.22695,2.32968,2.31825,2.31197,2.3473,2.33574
G1,800,800,38352,1,2.40294,2.30869,2.30453,2.22743,2.25959,2.27514,2.28123,2.27852
G10,800,800,38352,1,2.48958,2.2771,2.25693,2.267,2.27304,2.30939,2.29282,2.28462
G11,800,800,3200,1,1.45855,1.72186,1.88402,1.86801,1.87349,1.87906,1.86263,1.88402
G12,800,800,3200,1,1.87899,1.87349,1.73108,1.87848,1.28773,1.8731,1.87848,1.8901
G13,800,800,3200,1,1.8901,1.87899,1.86206,1.87848,1.87912,1.88402,1.88958,1.37076
G14,800,800,9388,1,2.19962,1.99363,2.21259,2.23361,2.21514,2.17643,2.22837,1.97662
G15,800,800,9322,1,2.19963,2.03583,2.07229,2.20484,2.22586,2.1611,2.14151,2.20742
G16,800,800,9344,1,2.20974,2.17148,2.02734,2.19164,1.95709,2.15872,1.94708,2.00343
G17,800,800,9334,1,2.18953,2.14158,2.20507,2.16389,1.93691,2.16138,2.17171,2.22079
G18,800,800,9388,1,2.17136,2.12468,2.19704,2.2022,2.21514,2.26326,2.22308,2.20738
G19,800,800,9322,1,2.02057,2.01818,2.2312,2.16134,1.96504,2.12904,2.20742,2.18162
G2,800,800,38352,1,2.46717,2.31078,2.27304,2.26968,2.32056,2.27373,2.29969,2.25368
G20,800,800,9344,1,2.05406,2.17885,2.14875,2.15898,2.05406,2.02954,2.15622,2.14631
G21,800,800,9334,1,2.15638,2.1844,2.1715,2.17398,2.22052,2.13912,2.12935,1.99914
G22,2000,2000,39980,1,2.1955,2.14819,2.14588,2.18649,2.11183,2.14301,2.19068,2.15752
G23,2000,2000,39980,1,2.14876,2.13443,2.12591,2.19069,2.15403,2.13671,2.2187,2.01431
G24,2000,2000,39980,1,2.21495,2.20579,2.13614,2.17341,2.16923,2.17041,1.92536,2.10793
G25,2000,2000,39980,1,2.19791,2.1787,2.15985,2.14473,2.17571,2.18172,2.22364,2.11573
G26,2000,2000,39980,1,2.14876,2.11126,2.17751,2.14992,2.13786,2.14883,2.22922,2.1973
G27,2000,2000,39980,1,2.13727,2.15985,2.12366,2.12536,2.13614,2.1096,2.14998,2.139
G28,2000,2000,39980,1,2.16454,2.16805,2.13158,2.13386,2.21625,2.13842,2.18047,2.14531
G29,2000,2000,39980,1,2.13216,2.17691,2.1937,2.1581,2.15927,2.17276,2.16044,2.171
G2_circuit,150102,150102,726674,1,1.62735,2.06696,1.8341,2.07896,2.04814,1.97866,2.03861,2.12339
G3,800,800,38352,1,2.49696,2.29488,2.30169,2.3073,2.28933,1.94898,2.33256,2.23197
G30,2000,2000,39980,1,2.15519,2.18947,2.16512,2.18047,2.14014,2.14359,2.24116,2.16161
G31,2000,2000,39980,1,2.2058,2.17875,2.12479,2.12931,2.15636,2.1961,2.17756,2.18883
G32,2000,2000,8000,1,2.00875,1.96927,1.94035,1.99871,2.0189,1.95693,1.95456,1.96924
G33,2000,2000,8000,1,2.02402,1.96898,1.85463,1.96921,1.8334,1.95696,1.95217,1.96417
G34,2000,2000,8000,1,1.99103,2.00124,1.97385,1.82711,1.96898,2.02889,1.95935,2.02632
G35,2000,2000,23556,1,1.91605,1.90605,1.88682,1.8411,1.8786,1.86228,2.01033,1.81759
G36,2000,2000,23532,1,1.91185,1.89643,1.86399,1.87969,1.89263,1.9103,1.94022,1.91652
G37,2000,2000,23570,1,1.8371,1.89791,1.89029,1.87301,1.85671,1.88801,2.01583,1.92432
G38,2000,2000,23558,1,1.89008,1.86753,1.95696,1.90392,1.89625,1.89539,1.99424,1.94557
G39,2000,2000,23556,1,1.87862,1.8922,1.87406,1.94952,1.88689,1.88539,2.01118,1.95267
G3_circuit,1585478,1585478,7660826,1,1.15545,1.80915,0.921869,1.78519,1.77863,1.74802,1.95759,1.63725
G4,800,800,38352,1,2.41427,2.24905,2.28523,2.26835,2.24111,2.30939,2.26226,2.22808
G40,2000,2000,23532,1,1.87671,1.90173,1.86629,1.88046,1.82638,1.922,1.93783,1.91177
G41,2000,2000,23570,1,1.88718,1.88492,1.8903,1.90403,1.86044,1.89645,2.008,1.93458
G42,2000,2000,23558,1,1.87273,1.93209,1.92098,1.86761,1.83196,1.91388,2.00621,1.88178
G43,1000,1000,19980,1,2.19984,2.20348,2.21568,2.34463,2.36688,2.21691,2.20348,2.31881
G44,1000,1000,19980,1,2.23316,2.22444,2.14665,2.18661,2.19742,2.16058,2.33929,2.23678
G45,1000,1000,19980,1,2.20714,2.21077,2.18781,2.34329,2.16632,2.21092,2.21581,2.19381
G46,1000,1000,19980,1,2.12939,2.12939,2.16879,2.18538,2.31076,2.21201,2.07714,2.19621
G47,1000,1000,19980,1,2.26735,2.1305,2.20955,2.21337,2.21938,2.21568,2.3242,2.19984
G48,3000,3000,12000,1,,2.02664,1.8831,1.88163,2.05427,2.018,2.02994,1.92709
