matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,2.74829,2.75787,2.67586,2.86508,2.88538,2.81517,2.73921,2.81539
144,144649,144649,2148786,1,14.2284,13.15,14.4238,13.1083,12.9358,14.363,15.4923,10.6373
2cubes_sphere,101492,101492,1647264,1,16.0713,16.6464,17.0824,16.4142,16.4749,16.3104,18.6944,15.7227
333SP,3712815,3712815,22217266,1,3.69211,4.28674,3.33357,4.11637,4.13616,4.07393,4.43399,3.19642
3dtube,45330,45330,3213618,1,16.5215,18.6815,10.8976,17.5032,17.5953,14.9979,18.8161,13.7181
3elt,4720,4720,27444,1,8.35432,9.43082,8.30385,8.48344,9.14793,8.93945,8.853,7.8862
3elt_dual,9000,9000,26556,1,5.75429,7.57666,6.01496,7.92724,6.85316,7.53362,9.53536,7.37673
494_bus,494,494,1666,1,1.37116,1.27667,1.29651,1.48746,1.49421,1.31691,1.46793,1.49414
598a,110971,110971,1483868,1,13.0043,12.9566,13.3825,13.1472,13.3585,12.7114,14.6641,10.0536
662_bus,662,662,2474,1,1.68864,2.22879,1.88852,1.86009,1.81242,1.95578,1.88869,2.07029
685_bus,685,685,3249,1,2.42452,2.37147,2.38903,2.44277,2.3207,2.30441,2.48011,2.64137
ACTIVSg70K,69999,69999,238627,1,4.53625,5.03327,4.3501,5.25373,5.24449,5.29929,5.45801,5.23477
AS365,3799275,3799275,22736152,1,3.41015,4.35713,3.3632,4.20111,4.41273,4.43705,4.47379,2.17842
Alemdar,6245,6245,42581,1,9.90248,9.09848,9.18588,8.96446,9.46237,,10.3602,9.70954
Andrews,60000,60000,760154,1,11.7787,11.0079,11.9024,11.1475,11.8865,12.02,12.0286,11.4549
BenElechi1,245874,245874,13150496,1,6.10709,5.66055,5.87866,6.14375,5.7997,5.82779,5.89507,5.96916
Binaryalphadigs_10NN,1404,1404,19392,1,9.27845,9.60009,9.04051,9.64791,9.72025,9.69593,9.59982,9.60037
Bump_2911,2911419,2911419,127729899,1,5.35197,5.72597,5.3479,5.86887,5.69985,5.66022,5.77755,5.84529
CO,221119,221119,7666057,1,6.17249,5.67105,6.9699,5.99441,5.93461,5.55756,6.00351,6.54722
Chem97ZtZ,2541,2541,7361,1,4.48857,4.79546,4.34275,5.49329,4.52989,4.60059,4.51582,3.27162
Cube_Coup_dt0,2164760,2164760,127206144,1,5.57113,5.96685,5.58066,5.82617,5.6277,5.95205,5.89429,5.92774
Cube_Coup_dt6,2164760,2164760,127206144,1,5.50426,5.7125,5.44566,5.83872,5.90898,5.94002,5.81637,5.93052
CurlCurl_0,11083,11083,113343,1,13.8055,14.402,11.9813,13.993,13.8986,13.4612,16.1331,16.7791
CurlCurl_1,226451,226451,2472071,1,15.2295,18.6824,15.2761,19.1358,17.5025,18.0344,20.0297,21.6335
CurlCurl_2,806529,806529,8921789,1,4.59068,4.80501,4.71104,5.1928,5.08935,4.87295,5.13411,5.52468
CurlCurl_3,1219574,1219574,13544618,1,4.54762,4.86105,4.7728,4.95016,4.8304,5.09245,5.14538,5.15698
CurlCurl_4,2380515,2380515,26515867,1,4.0229,4.96272,4.38389,4.84535,5.05004,4.92873,5.19757,4.89827
Dubcova1,16129,16129,253009,1,18.1043,16.4553,15.9421,16.6126,18.4134,,19.1087,11.5109
Dubcova2,65025,65025,1030225,1,21.5571,19.64,18.3003,20.2679,21.1543,21.0853,23.9198,13.0606
Dubcova3,146689,146689,3636649,1,16.0373,18.0918,16.9968,18.1463,19.454,18.5283,17.9462,10.402
