matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,2.68204,2.54242,2.68576,2.25717,2.63935,2.58546,2.63247,1.50367
144,144649,144649,2148786,1,24.2647,25.7486,24.923,25.9414,19.7279,25.444,25.8479,20.2283
2cubes_sphere,101492,101492,1647264,1,25.2919,27.4956,28.873,28.2715,28.1058,28.8935,27.8692,27.2207
333SP,3712815,3712815,22217266,1,4.76997,4.85169,4.71526,4.77972,4.47536,5.09254,4.83341,4.59656
3dtube,45330,45330,3213618,1,24.0919,25.8323,23.473,26.8054,25.5672,24.1755,24.6258,21.5782
3elt,4720,4720,27444,1,11.1835,11.5699,11.9894,10.839,12.1086,11.9294,13.0378,11.9557
3elt_dual,9000,9000,26556,1,9.9219,10.4757,10.3491,11.0467,10.5822,10.4632,11.5334,10.7101
494_bus,494,494,1666,1,1.12035,1.09176,1.14386,1.15812,1.16254,1.12915,1.13605,1.09352
598a,110971,110971,1483868,1,23.9811,24.5631,22.7781,23.9052,25.3509,25.364,25.9926,14.6196
662_bus,662,662,2474,1,1.54142,1.61916,1.56676,1.59966,1.666,1.61756,1.46134,1.59354
685_bus,685,685,3249,1,2.12557,2.146,2.17901,2.07007,2.13811,2.02428,2.17756,1.64634
ACTIVSg70K,69999,69999,238627,1,10.0921,10.2744,10.2538,10.6265,10.6083,10.5317,10.5918,10.5419
AS365,3799275,3799275,22736152,1,4.60579,4.81881,4.74514,4.78861,4.71442,4.79277,4.78771,4.48569
Alemdar,6245,6245,42581,1,15.5517,14.8886,15.025,14.8156,15.1181,,16.8502,10.7178
Andrews,60000,60000,760154,1,16.3798,22.306,22.5214,23.231,23.3326,12.4433,23.9558,22.6712
BenElechi1,245874,245874,13150496,1,5.08258,5.13023,5.56071,5.18786,5.05634,5.13673,5.15677,5.12796
Binaryalphadigs_10NN,1404,1404,19392,1,9.26091,9.97999,9.22757,9.94484,9.53825,9.86124,10.3038,9.16008
Bump_2911,2911419,2911419,127729899,1,4.93854,5.21738,4.93332,4.71358,4.95434,4.94774,4.92898,4.64101
CO,221119,221119,7666057,1,5.53665,6.18467,5.84343,6.33699,5.95612,5.88913,5.68535,6.40611
Chem97ZtZ,2541,2541,7361,1,4.67059,3.38747,4.20751,4.68999,4.68999,4.67993,4.46938,2.78144
Cube_Coup_dt0,2164760,2164760,127206144,1,4.53473,5.52045,4.84306,4.60728,4.68899,5.50057,5.37357,4.41792
Cube_Coup_dt6,2164760,2164760,127206144,1,4.62041,4.77985,4.41943,5.01925,4.40421,4.39385,4.60398,5.58542
CurlCurl_0,11083,11083,113343,1,21.4321,25.3534,23.2473,23.804,24.1954,23.1547,24.7823,25.5162
CurlCurl_1,226451,226451,2472071,1,24.1165,31.5203,21.2598,29.6791,30.2416,31.0297,32.8403,30.821
CurlCurl_2,806529,806529,8921789,1,5.05553,5.66356,5.4641,5.6024,4.90335,4.81428,5.58682,4.90564
CurlCurl_3,1219574,1219574,13544618,1,5.47446,5.5859,5.08429,5.73726,5.02283,5.4182,4.99749,5.41609
CurlCurl_4,2380515,2380515,26515867,1,4.9733,5.43138,4.97263,5.01158,5.22321,5.05762,4.5726,4.88612
Dubcova1,16129,16129,253009,1,28.0917,27.8507,29.4469,29.3273,30.7554,,32.0142,18.7943
Dubcova2,65025,65025,1030225,1,31.339,32.9947,31.7222,33.5922,35.5312,32.3482,36.8879,19.133
Dubcova3,146689,146689,3636649,1,17.6509,21.3418,21.7178,22.9713,23.2474,22.812,20.755,10.1816
EX1,560,560,8736,1,5.06149,5.03365,4.66155,4.77091,4.90244,4.90084,5.13281,4.6904
EX2,560,560,8736,1,4.92173,5.1209,4.92141,5.33194,4.75941,4.75429,5.32041,5.25281
EX3,2600,2600,71760,1,19.0698,19.636,19.2335,19.1611,19.0369,18.2988,19.9833,18.7019
EX4,2600,2600,71760,1,18.734,18.7098,19.2233,18.9964,19.0952,18.6922,19.463,19.2131
EX5,6545,6545,295680,1,27.6027,27.9934,27.93,27.8877,27.6428,,28.6734,28.1037
EX6,6545,6545,295680,1,27.3537,27.7333,27.5669,27.8339,27.4222,,28.5006,28.3613
Ecoli_10NN,336,336,4560,1,2.79836,3.00984,3.02987,2.93519,3.11467,1.6031,3.24565,2.8861
Emilia_923,923136,923136,41005206,1,4.56365,5.43083,5.30008,4.74336,5.1384,5.0579,5.35794,5.18372
Erdos02,6927,6927,16944,1,4.19404,6.18143,3.13897,6.61491,7.5308,3.52228,2.66625,2.90811
Erdos971,472,472,2628,1,,1.70759,1.85005,1.79511,1.70927,1.66958,1.92458,1.52349
Erdos972,5488,5488,14170,1,3.87,6.47168,3.78622,6.44086,6.76068,3.89714,5.92885,3.31968
Erdos981,485,485,2762,1,,1.76489,1.95964,1.80052,1.84433,1.7982,1.7366,1.77108
Erdos982,5822,5822,14750,1,3.99079,6.49086,3.87034,5.73596,6.70769,3.69575,6.19886,3.12334
Erdos991,492,492,2834,1,1.9097,1.84033,1.86129,2.01489,1.81265,1.78973,1.94246,1.90068
Erdos992,6100,6100,15030,1,4.11325,6.99083,3.66676,6.55032,7.00867,4.58785,5.60712,3.14014
F1,343791,343791,26837113,1,3.88846,5.20245,4.65599,4.93102,5.1058,4.98317,4.79846,2.80907
F2,71505,71505,5294285,1,6.33427,9.1591,8.76894,8.02946,8.91412,8.89247,8.77579,3.55849
Fashion_MNIST_norm_10NN,10000,10000,158304,1,17.9057,21.3637,22.3167,22.5233,22.4193,22.1899,23.8716,22.309
Fault_639,638802,638802,28614564,1,4.52351,4.62117,4.38925,4.64785,5.28145,5.01789,5.7182,5.58408
Flan_1565,1564794,1564794,117406044,1,4.39801,4.69566,4.68396,4.61899,4.42337,5.00916,4.61578,5.67265
G1,800,800,38352,1,15.6445,14.4619,14.6803,14.2074,14.4809,12.9742,15.0046,15.4864
G10,800,800,38352,1,15.7827,14.6803,14.6888,14.4777,14.4239,14.5109,15.565,13.4258
G11,800,800,3200,1,2.08945,2.14916,2.21301,1.99317,2.20378,1.98382,2.13257,2.05455
G12,800,800,3200,1,1.93181,1.04951,2.21372,2.02146,2.07455,1.85992,2.09359,2.19481
G13,800,800,3200,1,2.01575,2.02667,2.10312,2.03057,2.02339,2.13614,2.19709,1.6842
G14,800,800,9388,1,5.25802,5.20979,4.95803,5.31451,5.25083,5.07727,4.65441,4.56949
G15,800,800,9322,1,4.99161,5.13633,5.04316,4.9417,5.38829,5.35299,4.46463,4.61609
G16,800,800,9344,1,5.49982,5.38723,4.86156,5.80364,5.33637,4.89984,5.66659,4.56826
G17,800,800,9334,1,5.11179,5.42516,4.89206,5.28986,5.35666,4.96492,5.32005,4.57222
G18,800,800,9388,1,5.26523,5.25357,4.8809,5.37365,5.53216,4.73781,4.78249,4.51348
G19,800,800,9322,1,4.89997,5.10522,5.18321,5.61263,5.42002,5.03334,4.75366,4.61955
G2,800,800,38352,1,15.3439,14.5603,14.9082,14.4669,14.3829,13.2226,14.917,14.61
G20,800,800,9344,1,5.26272,5.33495,4.88434,5.28368,5.25393,5.09098,5.54197,4.51304
G21,800,800,9334,1,5.39704,5.40322,4.92194,5.53298,3.21408,5.26451,5.23939,4.43318
G22,2000,2000,39980,1,15.0642,14.8348,14.8377,14.8486,15.242,15.2046,15.4123,15.3329
G23,2000,2000,39980,1,15.1325,15.1985,14.7723,15.1844,14.3711,13.8915,15.2073,15.1442
G24,2000,2000,39980,1,15.1928,14.9153,15.3418,12.3623,14.9238,14.2915,15.2916,15.093
G25,2000,2000,39980,1,15.9473,15.0526,12.4628,14.9537,14.968,15.5228,14.9179,14.9909
G26,2000,2000,39980,1,15.5593,14.6933,14.4539,15.1643,14.8676,14.4284,15.8806,15.216
G27,2000,2000,39980,1,15.1526,15.0269,15.2194,15.1757,15.553,14.6151,15.3503,15.2302
G28,2000,2000,39980,1,14.8624,14.5649,14.9377,15.2512,14.8489,15.3589,15.7092,15.1295
G29,2000,2000,39980,1,15.5322,15.4072,14.8733,15.4927,15.0837,15.1952,14.9348,15.0217
G2_circuit,150102,150102,726674,1,17.5108,28.5906,20.5432,27.6534,28.0943,29.039,30.8848,24.9472
G3,800,800,38352,1,15.6508,14.7592,14.2974,14.599,14.5829,14.1756,14.4752,14.8337
G30,2000,2000,39980,1,16.0791,14.7501,15.2248,14.9458,14.7285,14.2987,15.1583,14.9791
G31,2000,2000,39980,1,15.4213,14.9824,15.324,15.4933,15.019,14.594,15.1239,13.4119
G32,2000,2000,8000,1,4.6648,4.31845,4.80489,4.95812,4.71004,4.70456,4.84708,5.41098
G33,2000,2000,8000,1,4.82648,4.94136,4.83497,4.76325,4.79048,4.39074,4.66607,5.09864
G34,2000,2000,8000,1,5.0047,4.48561,4.76325,5.08261,4.79767,5.00306,5.07604,4.88394
G35,2000,2000,23556,1,7.55962,10.6829,7.27492,10.3862,10.4787,9.45844,9.3754,5.7821
G36,2000,2000,23532,1,7.02028,11.0223,7.1178,9.34182,10.9858,9.16187,8.18788,5.87936
G37,2000,2000,23570,1,7.77126,11.0011,7.09084,10.324,10.7826,9.78185,7.45287,5.59388
G38,2000,2000,23558,1,7.61546,11.2529,7.13773,10.36,10.5452,8.84139,7.72402,5.75709
G39,2000,2000,23556,1,7.62083,10.9642,7.25015,10.7762,10.7687,9.13891,9.02176,5.81066
G3_circuit,1585478,1585478,7660826,1,4.94969,4.49902,5.03209,5.03965,5.09197,5.14452,5.61312,4.50255
G4,800,800,38352,1,15.6571,15.3837,14.6601,14.1336,14.6126,14.0206,14.9261,14.9726
G40,2000,2000,23532,1,8.29762,8.76918,7.07198,9.65598,10.8391,10.0158,8.30802,5.50906
G41,2000,2000,23570,1,7.80331,11.3451,7.08117,10.6774,10.6292,9.76345,6.89383,5.77613
G42,2000,2000,23558,1,7.47398,10.9143,6.92261,10.172,10.703,9.03965,7.76075,5.69728
G43,1000,1000,19980,1,7.32275,10.1118,9.98005,9.86929,10.091,10.1237,9.44458,9.77541
G44,1000,1000,19980,1,10.4199,10.3203,9.92752,9.99516,9.92063,10.7826,9.85201,6.96029
G45,1000,1000,19980,1,10.2592,9.76762,9.98237,9.70576,9.72005,9.8909,10.2253,9.82578
G46,1000,1000,19980,1,10.4146,9.75596,10.0349,10.1602,9.48687,9.83028,10.4746,10.6873
G47,1000,1000,19980,1,11.1125,9.73659,9.47796,10.0708,10.1141,9.67566,9.84494,9.67566
G48,3000,3000,12000,1,,6.83141,6.21109,6.73412,6.4312,6.42759,7.34156,6.83957
G49,3000,3000,12000,1,,6.65542,6.35076,6.42759,6.31729,6.60426,6.15545,7.23566
G5,800,800,38352,1,16.2438,12.0432,14.5796,14.2412,15.1293,13.9281,14.5993,14.9055
G50,3000,3000,12000,1,5.41155,6.42398,6.6705,6.69085,6.25139,6.4308,7.09228,6.97849
G51,1000,1000,11818,1,5.52888,6.7109,4.31946,5.77352,6.57273,5.89865,4.99709,4.75751
G52,1000,1000,11832,1,5.87934,6.24876,5.64896,6.48313,6.45842,6.31869,6.0942,4.76538
G53,1000,1000,11828,1,5.78812,6.32836,5.44811,7.15808,6.84279,6.39689,6.70904,4.80318
G54,1000,1000,11832,1,5.7506,6.62686,5.14431,6.88685,6.46211,6.53356,6.8235,4.93307
G55,5000,5000,24996,1,10.2823,9.97649,9.8819,9.63275,9.94461,9.63967,10.587,9.95844
G56,5000,5000,24996,1,8.81855,9.83303,9.80205,9.71469,9.61549,10.0184,10.4895,9.71864
G57,5000,5000,20000,1,9.24195,9.72042,9.16798,9.34755,8.67101,9.19103,9.99004,10.4437
G58,5000,5000,59140,1,9.17323,16.5308,8.48435,15.7307,16.3594,13.1116,13.0797,6.54018
G59,5000,5000,59140,1,9.1826,16.1606,8.53452,15.6373,16.1012,13.2246,13.1685,6.59563
G6,800,800,38352,1,14.9872,14.3024,14.8883,15.0341,14.8708,14.6158,14.8077,14.7536
G60,7000,7000,34296,1,11.6158,11.0455,11.6003,11.6514,11.1025,11.5591,11.7777,11.5047
G61,7000,7000,34296,1,11.8162,11.3563,11.4261,11.3846,11.2227,12.1942,12.0718,11.5184
G62,7000,7000,28000,1,11.7032,11.8266,11.1089,11.8821,11.4825,12.1186,12.587,13.2044
G63,7000,7000,82918,1,9.12645,17.8856,8.64273,15.1144,18.8601,15.109,11.8421,6.61386
G64,7000,7000,82918,1,9.13546,18.3629,8.55445,14.9685,18.8406,15.4137,11.8201,6.65953
G65,8000,8000,32000,1,12.3408,13.0453,12.341,11.916,11.7174,12.6859,13.9613,14.4176
G66,9000,9000,36000,1,12.1477,13.2402,13.6132,12.4137,12.1601,13.6988,14.6701,14.6136
G67,10000,10000,40000,1,13.0633,14.7981,14.157,13.7151,13.3758,14.1742,16.3032,15.5611
G7,800,800,38352,1,15.153,14.5135,14.2838,14.917,14.4803,14.1573,14.3965,15.0135
G8,800,800,38352,1,15.4399,14.8739,15.0108,14.6165,14.2043,14.388,15.2403,14.6321
G9,800,800,38352,1,15.543,14.5687,14.6974,14.748,14.6777,14.3447,14.5577,13.7342
GAP-road,23947347,23947347,57708624,1,2.95338,3.9059,3.56564,3.92922,3.45941,3.48655,4.29655,3.06048
GD06_theory,101,101,380,1,0.259391,0.26667,0.266289,0.265737,0.260988,0.283164,0.25763,0.251497
GD96_c,65,65,250,1,0.177434,0.184984,0.194114,0.183624,0.177302,0.184921,0.188252,0.162074
GD97_a,84,84,332,1,0.237823,0.233625,0.228185,0.244648,0.224627,0.119036,0.238849,0.244375
GD97_b,47,47,264,1,,0.193049,0.182632,0.181507,0.192426,0.181754,0.177542,0.173454
GD98_c,112,112,336,1,0.237549,0.227172,0.224521,0.217205,0.227727,0.240178,0.216148,0.239639
GD99_b,64,64,252,1,0.18261,0.176534,0.158642,0.173799,0.166988,0.169591,0.183012,0.179939
G_n_pin_pout,100000,100000,1002396,1,18.9417,19.6954,19.4527,19.6152,19.5081,19.499,20.3609,19.373
Ga10As10H30,113081,113081,6115633,1,2.81092,4.20909,3.49145,2.91504,3.99195,3.69687,3.34598,4.68688
Ga19As19H42,133123,133123,8884839,1,2.54835,3.91639,3.56013,3.27939,3.86928,3.78118,3.77563,3.92367
Ga3As3H12,61349,61349,5970947,1,1.31477,2.1674,2.04665,1.34119,3.62439,2.87586,1.60734,5.94954
Ga41As41H72,268096,268096,18488476,1,2.10392,3.13092,3.63502,3.43729,3.34111,3.41643,3.33539,3.89004
GaAsH6,61349,61349,3381809,1,3.26879,4.80848,3.76289,9.09555,5.03018,10.1307,5.32322,13.7034
Ge87H76,112985,112985,7892195,1,2.26356,4.43453,4.1543,2.92441,3.95639,4.86408,2.55906,4.76223
Ge99H100,112985,112985,8451395,1,2.14126,2.90294,3.9251,3.69615,3.90669,5.23489,3.54968,4.68082
Geo_1438,1437960,1437960,63156690,1,5.44629,5.13666,5.15697,4.40784,4.42582,4.43405,4.42932,5.04098
Glass_10NN,214,214,2986,1,1.99732,1.87799,1.87086,2.00732,1.89716,1.89954,2.02236,1.92955
H2O,67024,67024,2216736,1,27.385,30.3829,29.3834,11.4469,31.1764,28.7068,29.9792,16.3804
HTC_336_4438,226340,226340,904522,1,8.26817,11.403,15.6073,15.6864,19.3456,17.519,11.0873,11.1016
