matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,1.66151,1.60588,1.61228,1.63468,1.65803,1.67873,1.63829,1.71456
144,144649,144649,2148786,1,1.82162,1.78258,1.83104,1.77746,1.78945,1.77683,1.85331,1.61993
2cubes_sphere,101492,101492,1647264,1,2.11445,2.10841,2.14749,2.12459,2.09873,2.12898,2.17703,2.10431
333SP,3712815,3712815,22217266,1,1.03262,1.18443,0.804637,1.14989,1.20703,1.20091,1.33391,0.941797
3dtube,45330,45330,3213618,1,2.11484,2.18585,2.24253,2.30657,2.21226,2.23211,2.19197,2.23759
3elt,4720,4720,27444,1,1.96,1.82667,1.87229,1.86523,1.84454,1.82973,1.87485,1.8128
3elt_dual,9000,9000,26556,1,1.83804,1.69146,1.78726,1.7045,1.70613,1.73461,1.75821,1.67435
494_bus,494,494,1666,1,1.56147,1.52551,1.554,1.52567,1.50498,1.56147,1.57617,1.53905
598a,110971,110971,1483868,1,1.77561,1.75168,1.74857,1.75307,1.76026,1.75006,1.78149,1.60419
662_bus,662,662,2474,1,1.68529,1.69106,1.64066,1.70257,1.66875,1.71508,1.73858,1.67387
685_bus,685,685,3249,1,1.8581,1.91273,1.84765,1.81155,1.92421,1.83767,1.87969,1.87426
ACTIVSg70K,69999,69999,238627,1,0.678135,0.651123,0.638212,0.640081,0.652371,0.653025,0.64223,0.663207
AS365,3799275,3799275,22736152,1,0.889564,0.944393,0.659996,0.96248,1.01567,1.00526,1.18377,0.391511
Alemdar,6245,6245,42581,1,2.13938,1.47541,1.5315,1.31516,1.34109,,1.55559,1.74749
Andrews,60000,60000,760154,1,1.70617,1.74888,1.75137,1.74384,1.73308,1.7566,1.72954,1.69802
BenElechi1,245874,245874,13150496,1,2.38449,2.38232,2.37027,2.38355,2.38304,2.36882,2.40838,2.40947
Binaryalphadigs_10NN,1404,1404,19392,1,2.05467,2.0678,2.08002,2.06783,2.04277,2.06782,2.10944,1.92391
Bump_2911,2911419,2911419,127729899,1,2.0348,2.34681,2.16813,2.36298,2.35508,2.33258,2.38232,2.38325
CO,221119,221119,7666057,1,1.98678,2.10598,2.12431,2.28435,2.22057,2.03114,2.27677,2.23316
Chem97ZtZ,2541,2541,7361,1,1.62188,1.59552,1.6307,1.62906,1.58675,1.61461,1.62532,1.76819
Cube_Coup_dt0,2164760,2164760,127206144,1,2.13564,2.38662,2.30778,2.40482,2.3853,2.38524,2.44154,2.44143
Cube_Coup_dt6,2164760,2164760,127206144,1,2.13846,2.37524,2.29848,2.41353,2.38685,2.38509,2.43736,2.43966
CurlCurl_0,11083,11083,113343,1,2.29089,2.23149,2.13321,2.32122,2.16299,2.12402,2.19789,2.48353
CurlCurl_1,226451,226451,2472071,1,2.13838,2.23835,2.06321,2.30767,2.18212,2.19138,2.29273,2.39728
CurlCurl_2,806529,806529,8921789,1,1.7634,2.12565,1.77472,2.1399,2.07605,2.06488,2.26726,2.33994
CurlCurl_3,1219574,1219574,13544618,1,1.61057,2.12628,1.78361,2.12246,2.06766,2.08073,2.27902,2.34689
CurlCurl_4,2380515,2380515,26515867,1,1.37516,2.10378,1.58797,2.11402,2.07563,2.06474,2.29387,2.37841
Dubcova1,16129,16129,253009,1,2.56954,2.51679,2.4824,2.50979,2.46123,,2.61045,2.37378
