matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,2.49488,2.64969,2.68473,2.69366,3.00294,2.8652,2.89569,2.44205
144,144649,144649,2148786,1,13.8153,13.1839,13.8519,13.4715,13.0323,14.0742,15.3918,11.0517
2cubes_sphere,101492,101492,1647264,1,15.4896,16.6196,16.7472,16.2748,16.2474,16.3989,18.7711,15.5381
333SP,3712815,3712815,22217266,1,3.57688,4.09291,3.21713,3.90923,3.9408,3.87731,4.21933,3.01743
3dtube,45330,45330,3213618,1,16.5215,18.6984,10.8564,17.8926,17.8811,15.8267,17.9601,13.3647
3elt,4720,4720,27444,1,7.9895,8.54959,7.57076,7.00103,8.61662,7.90895,8.58978,7.48816
3elt_dual,9000,9000,26556,1,4.91319,7.18697,5.80458,7.44912,6.84432,6.98847,9.35067,7.14834
494_bus,494,494,1666,1,1.37129,1.25738,1.165,1.38256,1.30158,1.23412,1.22054,1.22503
598a,110971,110971,1483868,1,12.9442,12.6313,13.3016,13.6259,13.7058,12.8919,14.7508,10.48
662_bus,662,662,2474,1,1.76713,1.96355,1.76083,1.76083,1.34823,1.81249,1.89576,1.97138
685_bus,685,685,3249,1,2.3207,2.27994,2.38027,2.50887,2.38893,2.15895,2.44299,2.48011
ACTIVSg70K,69999,69999,238627,1,4.46662,5.00891,4.36722,5.23241,5.18298,5.25777,5.45115,5.20282
AS365,3799275,3799275,22736152,1,3.28144,4.1541,3.29571,4.00234,4.20675,4.29012,4.26074,2.15844
Alemdar,6245,6245,42581,1,9.25667,8.15727,8.76154,8.10297,8.92683,,9.76631,9.00241
Andrews,60000,60000,760154,1,11.6362,10.9785,12.0822,11.3353,11.8745,11.856,12.2044,12.177
BenElechi1,245874,245874,13150496,1,6.07796,5.65668,5.84637,6.13013,5.78315,5.79018,5.87628,5.9353
Binaryalphadigs_10NN,1404,1404,19392,1,8.75518,8.87506,8.30492,8.9569,9.39065,9.3682,9.01971,9.01971
Bump_2911,2911419,2911419,127729899,1,5.25973,5.66565,5.30726,5.81426,5.60809,5.60601,5.70278,5.76753
CO,221119,221119,7666057,1,6.34491,5.76749,7.08668,6.09056,6.08075,5.65941,6.11,6.6446
Chem97ZtZ,2541,2541,7361,1,4.44784,4.4211,4.58641,5.41264,4.85865,4.38158,4.43443,2.66705
Cube_Coup_dt0,2164760,2164760,127206144,1,5.51043,5.91575,5.54492,5.78363,5.56752,5.89346,5.83826,5.90832
Cube_Coup_dt6,2164760,2164760,127206144,1,5.46756,5.66179,5.39543,5.78084,5.85726,5.89361,5.76672,5.87853
CurlCurl_0,11083,11083,113343,1,13.8477,13.6393,11.6369,13.8468,13.3975,12.8288,15.9413,16.5104
CurlCurl_1,226451,226451,2472071,1,15.1874,18.8175,15.2146,19.576,18.0218,18.7392,20.0834,21.6477
CurlCurl_2,806529,806529,8921789,1,4.6889,4.90746,4.76272,5.25841,5.20773,5.01644,5.25198,5.6278
CurlCurl_3,1219574,1219574,13544618,1,4.52843,4.80273,4.76411,4.89627,4.75892,5.05799,5.04035,5.08684
CurlCurl_4,2380515,2380515,26515867,1,3.95449,4.82083,4.30171,4.70598,4.91462,4.81245,5.03699,4.7676
Dubcova1,16129,16129,253009,1,17.8237,16.2654,16.349,16.6071,17.8931,,19.189,11.5345
Dubcova2,65025,65025,1030225,1,21.3802,19.6927,18.3934,19.9095,20.7518,20.8886,23.9362,13.6435
Dubcova3,146689,146689,3636649,1,17.1563,18.5784,17.6591,18.7348,19.7691,18.9734,17.8127,10.8737
EX1,560,560,8736,1,5.78579,5.74724,6.37676,5.23121,5.582,5.90275,5.94295,6.02454
EX2,560,560,8736,1,4.73509,6.1959,5.98371,6.10939,5.98371,6.17373,6.1089,5.76623
EX3,2600,2600,71760,1,15.2683,15.8935,14.154,13.4759,15.4323,15.6169,14.9811,14.4678
EX4,2600,2600,71760,1,14.9968,15.6153,15.2989,15.044,14.69,15.2521,15.8408,15.4323
EX5,6545,6545,295680,1,18.5264,19.1379,18.8872,18.5322,18.7435,,12.617,18.7613
EX6,6545,6545,295680,1,18.7906,19.3952,18.9114,19.2438,18.6543,,19.0939,19.0087
Ecoli_10NN,336,336,4560,1,3.59062,3.83194,3.64797,3.753,3.70736,3.53489,3.64814,3.57652
Emilia_923,923136,923136,41005206,1,5.47425,5.65282,5.3364,5.45328,5.49921,5.53532,5.76658,5.81655
Erdos02,6927,6927,16944,1,3.24254,4.62953,2.66206,4.34465,4.35576,4.1026,2.95193,2.95967
Erdos971,472,472,2628,1,,2.12795,2.11936,2.19916,2.18089,2.02152,2.14524,2.00616
Erdos972,5488,5488,14170,1,3.40617,4.16149,2.79763,4.49132,4.74706,3.42274,4.69995,3.02777
Erdos981,485,485,2762,1,,2.11654,2.19213,2.19203,2.15784,1.69455,2.26387,2.16631
Erdos982,5822,5822,14750,1,2.88089,4.60942,3.24178,4.71246,4.61656,3.82622,3.81631,2.96781
Erdos991,492,492,2834,1,2.05364,2.35195,1.93451,2.10706,2.54164,2.0914,2.37154,2.43268
Erdos992,6100,6100,15030,1,3.20134,3.79068,3.32852,4.28208,4.49333,3.75288,3.63927,3.00605
F1,343791,343791,26837113,1,5.27954,5.72689,5.8808,5.75505,5.70865,5.67641,5.91701,5.55288
F2,71505,71505,5294285,1,9.13296,9.26775,9.3465,7.92778,9.0136,8.73761,9.21728,8.31449
Fashion_MNIST_norm_10NN,10000,10000,158304,1,12.3627,12.9228,13.0238,12.1259,13.1046,13.2583,13.4956,13.4899
Fault_639,638802,638802,28614564,1,5.64816,5.7524,5.72623,5.79348,5.40235,5.75597,5.92001,5.76825
Flan_1565,1564794,1564794,117406044,1,5.893,5.77926,5.7389,5.83465,5.93947,6.05881,5.93261,5.92954
G1,800,800,38352,1,12.3715,13.6482,13.0671,12.9786,12.9109,12.8915,13.0451,13.4801
G10,800,800,38352,1,13.1116,13.1792,13.3167,13.1795,12.8912,13.5762,13.2705,12.0225
G11,800,800,3200,1,2.34437,2.49029,2.45219,2.50003,2.58065,2.31048,1.92707,2.17691
G12,800,800,3200,1,2.25347,2.26144,2.34437,2.70044,2.14046,2.67782,2.19938,2.70044
G13,800,800,3200,1,2.44271,2.61229,2.27755,2.31048,2.26956,1.77283,2.48062,2.45208
G14,800,800,9388,1,5.0744,6.38624,4.92803,5.94181,5.24469,5.68945,5.18667,4.10853
G15,800,800,9322,1,4.72003,6.13299,4.80515,5.32699,5.80825,5.22242,5.40429,4.3359
G16,800,800,9344,1,5.46425,5.78586,4.74305,5.89529,5.78565,5.76612,5.49643,3.76775
G17,800,800,9334,1,4.40299,6.14088,4.89969,5.52307,5.94509,5.5556,5.10073,4.15756
G18,800,800,9388,1,5.23006,5.79514,5.28889,5.63834,5.86746,6.07612,5.74212,4.26724
G19,800,800,9322,1,4.90628,5.82621,4.83007,5.75419,5.63257,4.52505,5.40393,4.00077
G2,800,800,38352,1,11.8739,11.7105,10.0384,11.6749,12.6157,12.4722,13.0668,11.2965
G20,800,800,9344,1,5.03604,6.20857,4.90508,4.85406,4.11633,5.51266,5.98943,4.51405
G21,800,800,9334,1,5.15717,5.88898,4.64372,5.90764,5.90764,5.64001,4.83614,4.31113
G22,2000,2000,39980,1,10.8055,13.173,12.0969,12.1704,12.6118,12.4744,13.0655,11.7244
G23,2000,2000,39980,1,12.189,12.4355,13.0419,12.4939,13.3491,12.7327,12.812,11.1364
G24,2000,2000,39980,1,12.2639,12.7124,13.1947,12.8345,12.9175,12.9389,12.632,13.3266
G25,2000,2000,39980,1,11.1055,13.2166,11.4555,11.4391,12.8761,13.4841,12.2451,11.1676
G26,2000,2000,39980,1,12.416,12.8759,13.0439,12.8347,13.3936,13.3044,13.0436,11.9702
G27,2000,2000,39980,1,11.5717,12.4937,11.3258,12.8554,12.9385,12.8764,12.0062,11.5383
G28,2000,2000,39980,1,10.8938,12.8139,12.8969,11.4065,12.7528,12.9595,11.1989,11.7414
G29,2000,2000,39980,1,12.3565,11.5383,11.6222,12.6499,13.4161,12.7327,12.3397,13.3712
G2_circuit,150102,150102,726674,1,9.04661,15.5755,9.99482,14.5248,15.7083,16.027,17.2607,16.4331
G3,800,800,38352,1,12.5746,12.9566,12.9788,13.1118,12.8678,13.134,11.5866,13.1346
G30,2000,2000,39980,1,11.6054,12.8761,13.0869,12.2263,12.8759,13.0016,12.7525,13.1515
G31,2000,2000,39980,1,12.2076,11.3904,12.5329,12.5329,12.2263,12.8972,13.3915,12.4746
G32,2000,2000,8000,1,4.1345,5.16125,4.03023,4.93816,4.06095,4.28961,4.6783,5.26304
G33,2000,2000,8000,1,4.69203,5.7554,3.93989,4.65122,3.90241,4.13425,4.58466,4.71974
G34,2000,2000,8000,1,4.31262,4.4818,4.54539,4.55835,3.84617,4.02009,4.53265,5.73475
G35,2000,2000,23556,1,6.77871,9.11072,7.02122,7.78697,8.72457,7.49008,6.80813,5.44654
