matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,2.46068,2.66113,2.61891,2.0316,2.57324,2.57972,2.70443,1.54053
144,144649,144649,2148786,1,24.6207,25.8818,24.6719,25.6886,21.0921,25.5872,26.5848,20.8025
2cubes_sphere,101492,101492,1647264,1,25.3712,27.5126,29.275,28.3011,28.0847,29.1747,28.2177,27.0589
333SP,3712815,3712815,22217266,1,5.0293,4.82117,4.83379,4.7864,4.54077,5.16717,4.91915,4.81683
3dtube,45330,45330,3213618,1,23.6731,25.3814,23.7236,26.8649,25.8297,24.3471,26.4718,22.1179
3elt,4720,4720,27444,1,11.1607,11.6141,8.18734,7.53025,7.52917,12.1673,12.5371,12.2875
3elt_dual,9000,9000,26556,1,9.12895,6.74874,6.94909,7.18029,6.85141,10.667,6.79609,10.4079
494_bus,494,494,1666,1,1.18999,1.13488,1.13183,1.09101,1.21433,1.17408,1.14661,0.988727
598a,110971,110971,1483868,1,23.916,24.5647,23.725,23.7624,25.4952,25.2326,26.1042,15.9105
662_bus,662,662,2474,1,1.57781,1.62126,1.67111,1.63738,1.64104,1.62386,1.43214,1.68355
685_bus,685,685,3249,1,2.1474,2.22079,2.23216,2.34566,2.42642,1.86506,2.08134,1.57338
ACTIVSg70K,69999,69999,238627,1,10.1688,10.4546,10.2582,10.5419,10.6821,10.6158,10.6203,10.7604
AS365,3799275,3799275,22736152,1,4.83964,4.86948,4.83201,4.84006,4.73829,4.92299,4.72649,4.72229
Alemdar,6245,6245,42581,1,13.6674,9.85552,14.706,7.82308,8.66975,,11.1555,10.1868
Andrews,60000,60000,760154,1,15.5424,21.9735,22.6719,23.5047,23.2364,12.0947,24.0232,22.9172
BenElechi1,245874,245874,13150496,1,5.07349,5.12304,5.53029,5.19827,5.06308,5.14206,5.15278,5.11708
