matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,5.16058,3.35165,3.2515,3.46366,3.50691,5.08671,5.52054,4.61484
144,144649,144649,2148786,1,13.0871,13.1429,13.1596,13.2415,13.1692,13.3051,13.4344,11.7868
2cubes_sphere,101492,101492,1647264,1,15.9316,15.8411,16.7452,16.278,16.16,16.0849,16.7341,16.1663
333SP,3712815,3712815,22217266,1,4.41696,5.07976,4.25719,4.90154,4.94712,4.91828,4.89076,3.80675
3dtube,45330,45330,3213618,1,11.8841,10.9336,11.27,11.7306,11.1817,11.7529,11.2453,11.1733
3elt,4720,4720,27444,1,12.8835,5.52141,12.4101,13.0043,13.1245,5.29306,12.6444,9.64654
3elt_dual,9000,9000,26556,1,10.8461,6.11239,9.37816,7.28427,4.51425,10.7866,8.26621,10.7237
494_bus,494,494,1666,1,2.19357,2.1195,2.12959,2.09713,2.19021,2.48797,2.07765,1.90608
598a,110971,110971,1483868,1,12.8789,13.2688,12.9398,13.2021,13.1835,13.4485,13.5901,11.5232
662_bus,662,662,2474,1,3.28056,3.29378,3.28971,3.3754,2.79111,3.23168,2.61075,2.61976
685_bus,685,685,3249,1,4.47111,4.1792,4.0994,2.9945,3.16067,4.26347,3.41433,3.15924
ACTIVSg70K,69999,69999,238627,1,5.18506,5.23295,5.3798,5.61073,5.59343,5.51078,5.13048,5.42557
AS365,3799275,3799275,22736152,1,4.32762,4.9089,4.19128,4.96132,4.91726,5.04453,5.2546,2.79805
Alemdar,6245,6245,42581,1,13.9959,10.6427,10.0342,10.8446,12.4998,,13.0,11.9595
Andrews,60000,60000,760154,1,12.4097,12.692,12.6636,12.6462,12.6632,12.686,13.0502,12.2475
BenElechi1,245874,245874,13150496,1,7.12519,7.34391,7.2388,7.19976,7.53606,6.95536,6.77931,6.97544
Binaryalphadigs_10NN,1404,1404,19392,1,13.0117,13.0016,12.6751,13.0935,5.52088,13.6762,14.0098,13.1701
Bump_2911,2911419,2911419,127729899,1,6.52991,6.6268,6.4132,6.78209,6.77137,6.66694,6.59228,6.34905
CO,221119,221119,7666057,1,7.79313,7.74051,7.75783,7.69307,7.6054,7.72165,7.66038,8.01459
Chem97ZtZ,2541,2541,7361,1,3.72733,3.77676,3.72163,3.79444,7.15277,6.99298,6.53343,4.40938
Cube_Coup_dt0,2164760,2164760,127206144,1,6.43313,6.46432,6.7599,6.83314,6.55403,6.94155,6.47644,6.88151
Cube_Coup_dt6,2164760,2164760,127206144,1,6.6896,6.49808,6.62026,6.95262,6.60597,6.74328,6.63292,6.45587
CurlCurl_0,11083,11083,113343,1,17.207,18.4284,17.3728,18.6173,18.0686,17.8127,18.7232,20.5204
CurlCurl_1,226451,226451,2472071,1,13.5773,13.5645,13.2159,12.2862,12.2484,13.4301,12.933,13.4088
CurlCurl_2,806529,806529,8921789,1,6.32969,6.52503,6.60118,6.80156,6.49761,6.30895,6.74825,6.35013
CurlCurl_3,1219574,1219574,13544618,1,6.25804,6.26198,6.15774,6.10991,6.11495,6.292,6.2309,5.91533
CurlCurl_4,2380515,2380515,26515867,1,5.85043,5.71413,5.70298,5.86002,5.90472,5.65971,5.91198,5.52599
Dubcova1,16129,16129,253009,1,20.2755,21.3873,20.2717,20.6277,21.3339,,21.8136,13.7084
Dubcova2,65025,65025,1030225,1,21.1564,21.6579,21.0079,22.0034,22.3944,22.1373,21.3006,13.96
Dubcova3,146689,146689,3636649,1,10.1702,9.87902,9.6907,9.84571,10.2505,9.99032,9.83259,7.50467
EX1,560,560,8736,1,7.07673,7.69658,8.58993,7.40056,5.14336,4.81592,7.28277,9.40136
EX2,560,560,8736,1,6.91628,8.0396,9.19628,4.9908,4.78033,5.16034,8.36026,9.18053
EX3,2600,2600,71760,1,18.0375,18.2717,18.7508,18.3511,17.5777,17.636,18.8379,16.3609
EX4,2600,2600,71760,1,18.1651,18.3533,18.6216,16.1348,18.3293,18.0798,18.6082,17.9003
EX5,6545,6545,295680,1,17.7039,17.566,17.8132,17.735,17.5811,,17.7683,17.6336
EX6,6545,6545,295680,1,17.6667,17.5207,17.8287,17.5466,17.6194,,17.8347,17.4607
Ecoli_10NN,336,336,4560,1,5.85327,6.004,3.92958,4.01745,6.18801,3.91544,6.09746,3.88284
Emilia_923,923136,923136,41005206,1,6.76247,6.58831,6.78817,6.71255,6.529,6.84724,6.71957,6.52112
Erdos02,6927,6927,16944,1,3.96221,4.7906,3.41533,4.08086,5.64664,4.94489,3.90921,3.48568
Erdos971,472,472,2628,1,,2.96096,2.24219,2.62553,2.69255,2.20195,3.07552,2.83954
Erdos972,5488,5488,14170,1,3.77144,7.80352,3.84288,3.4456,4.15,4.3743,6.25485,3.50999
Erdos981,485,485,2762,1,,2.9746,3.32848,2.73776,3.23587,3.79606,3.90992,3.53899
