matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,1.26452,0.949752,0.978521,1.28458,0.770723,0.863659,1.14133,1.07192
144,144649,144649,2148786,1,1.8226,1.81897,1.8453,1.81324,1.82544,1.81357,1.83759,1.62464
2cubes_sphere,101492,101492,1647264,1,2.12491,2.1195,2.16703,2.13087,2.12325,2.14043,2.17909,2.1197
333SP,3712815,3712815,22217266,1,1.04157,1.17989,0.787618,1.15287,1.2102,1.1991,1.31096,0.861913
3dtube,45330,45330,3213618,1,2.12838,2.26734,2.16793,2.20813,2.18761,2.24108,2.23837,2.28255
3elt,4720,4720,27444,1,1.80922,1.76093,1.77804,1.72811,1.70719,1.74914,1.78387,1.66965
3elt_dual,9000,9000,26556,1,1.71605,1.63663,1.66438,1.59764,1.58472,1.63356,1.62209,1.59142
494_bus,494,494,1666,1,1.52567,1.49758,1.5327,1.47763,1.3098,1.52567,1.53262,1.4982
598a,110971,110971,1483868,1,1.77929,1.76037,1.7466,1.74894,1.78309,1.76055,1.7802,1.62502
662_bus,662,662,2474,1,1.42714,1.46522,0.71472,1.65704,1.48726,1.70859,1.66261,1.6191
685_bus,685,685,3249,1,1.8424,1.13778,1.6298,1.77694,1.60922,1.52607,1.65468,1.72959
ACTIVSg70K,69999,69999,238627,1,0.67983,0.646133,0.640538,0.651061,0.658313,0.653653,0.636328,0.666726
AS365,3799275,3799275,22736152,1,0.953338,0.951746,0.618555,0.960026,1.02107,1.00033,1.18562,0.342548
Alemdar,6245,6245,42581,1,2.03541,1.38795,1.42424,1.26654,1.26863,,1.45494,1.61684
Andrews,60000,60000,760154,1,1.69815,1.73998,1.75151,1.75266,1.73405,1.75849,1.7317,1.70219
BenElechi1,245874,245874,13150496,1,2.3947,2.38847,2.40008,2.39593,2.39173,2.39088,2.40725,2.41526
Binaryalphadigs_10NN,1404,1404,19392,1,1.95296,1.92484,1.57103,1.9336,1.96494,1.57677,1.56022,1.70083
Bump_2911,2911419,2911419,127729899,1,2.02418,2.34741,2.15763,2.3608,2.35373,2.33463,2.38852,2.38698
CO,221119,221119,7666057,1,2.09511,2.13854,2.19087,2.25573,2.22366,2.06259,2.27326,2.25785
Chem97ZtZ,2541,2541,7361,1,0.89052,1.15792,0.994128,1.11565,1.05557,1.109,1.13116,1.15151
Cube_Coup_dt0,2164760,2164760,127206144,1,2.12858,2.38562,2.30671,2.40651,2.38748,2.3827,2.44061,2.44415
Cube_Coup_dt6,2164760,2164760,127206144,1,2.13323,2.37882,2.29971,2.41219,2.38553,2.38395,2.44025,2.44044
CurlCurl_0,11083,11083,113343,1,2.15805,2.16839,2.0047,2.19256,2.05344,2.01273,2.06981,2.3521
