matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,8,7.93926,8.55735,8.33724,9.26637,8.78912,8.1181,8.31583,8.40211
144,144649,144649,2148786,8,23.4187,23.5787,24.3828,23.3142,23.5537,26.1688,26.3625,16.4371
2cubes_sphere,101492,101492,1647264,8,24.2664,26.2772,25.5567,26.2748,27.5951,27.1658,28.7194,24.3296
333SP,3712815,3712815,22217266,8,8.96731,11.2231,8.17202,10.892,10.3646,10.2932,14.9021,3.89975
3dtube,45330,45330,3213618,8,26.3306,27.4713,25.9815,26.887,27.2977,27.0516,27.6829,26.6653
3elt,4720,4720,27444,8,14.9153,17.3353,15.3581,15.9269,19.3268,18.0472,19.3013,15.9032
3elt_dual,9000,9000,26556,8,11.0188,14.0787,9.68312,15.3392,14.3837,15.1527,18.073,13.6799
494_bus,494,494,1666,8,5.84563,5.74473,5.85849,5.54173,5.40694,5.85849,6.02942,5.57655
598a,110971,110971,1483868,8,23.1351,22.0378,22.4363,22.0039,23.1894,24.0911,27.2511,14.7448
662_bus,662,662,2474,8,6.8013,6.73195,6.87223,7.04348,6.68641,6.96885,7.27666,6.34373
685_bus,685,685,3249,8,8.16074,8.21237,8.49402,8.63528,8.2645,8.53607,8.53607,8.18647
ACTIVSg70K,69999,69999,238627,8,11.5825,18.3057,12.893,18.6599,19.16,19.0017,18.5584,16.0205
AS365,3799275,3799275,22736152,8,8.32388,10.3941,8.44766,10.226,10.0518,10.0785,15.0732,3.63081
Alemdar,6245,6245,42581,8,17.0833,15.2757,15.601,15.4206,17.7467,,17.9241,12.9917
Andrews,60000,60000,760154,8,17.178,18.4432,17.2599,18.6018,17.566,18.4315,15.569,15.1441
BenElechi1,245874,245874,13150496,8,26.6753,28.3226,27.9685,28.3123,27.9594,28.3701,28.6446,28.6222
Binaryalphadigs_10NN,1404,1404,19392,8,19.1288,18.8959,18.3485,18.316,18.7588,17.7197,18.7477,17.266
Bump_2911,2911419,2911419,127729899,8,20.9489,24.8734,21.2489,27.1936,27.6017,27.0871,25.2852,26.4043
CO,221119,221119,7666057,8,21.053,24.8367,22.4026,25.6426,25.4851,23.5176,22.4994,25.4295
Chem97ZtZ,2541,2541,7361,8,15.4967,16.825,16.0675,16.9218,16.29,16.2677,15.5582,8.13306
Cube_Coup_dt0,2164760,2164760,127206144,8,23.3712,27.6727,24.2497,27.7167,27.6233,27.6195,26.8748,26.7857
Cube_Coup_dt6,2164760,2164760,127206144,8,23.4017,27.4517,23.994,27.716,27.6402,27.5365,26.7727,26.8292
CurlCurl_0,11083,11083,113343,8,20.7493,24.0513,20.0849,23.2079,23.9496,23.4025,28.863,24.4274
CurlCurl_1,226451,226451,2472071,8,19.0993,29.0584,21.166,27.1213,29.5948,28.5238,32.2475,31.1183
CurlCurl_2,806529,806529,8921789,8,12.0464,19.135,14.2585,19.0562,19.7256,19.2341,20.1403,18.4942
CurlCurl_3,1219574,1219574,13544618,8,10.8132,18.4911,15.3234,18.9109,18.9312,19.4804,19.8697,18.2807
CurlCurl_4,2380515,2380515,26515867,8,9.37292,18.1878,12.2263,18.8264,19.9755,18.7337,17.9986,16.7535
Dubcova1,16129,16129,253009,8,26.2371,24.5251,25.6714,24.214,26.0614,,29.4837,15.4603
Dubcova2,65025,65025,1030225,8,27.5608,28.2392,27.1857,28.09,28.9063,28.3939,31.0196,15.9324
Dubcova3,146689,146689,3636649,8,26.4098,26.4684,26.5844,27.3177,27.7394,27.6649,30.3761,13.2086
EX1,560,560,8736,8,16.8813,16.8201,17.0044,17.0252,16.6203,16.5418,17.2346,17.1084
EX2,560,560,8736,8,16.581,17.1927,16.8607,17.2773,16.6996,16.4443,16.7799,16.9222
EX3,2600,2600,71760,8,23.2657,25.2615,23.2369,25.4181,23.806,23.2139,23.9695,27.1754
EX4,2600,2600,71760,8,23.3646,24.6598,23.6827,26.763,23.5516,22.5169,24.4758,26.8764
EX5,6545,6545,295680,8,24.2708,26.394,23.5213,26.6062,24.83,,24.8966,26.7599
EX6,6545,6545,295680,8,24.2482,26.0366,23.961,26.8219,24.3457,,24.774,26.8463
Ecoli_10NN,336,336,4560,8,13.7144,12.6449,13.7403,13.5866,13.7141,12.9595,13.612,13.2898
Emilia_923,923136,923136,41005206,8,22.2893,25.1115,22.6457,26.4501,26.6372,26.5847,26.5837,26.2558
Erdos02,6927,6927,16944,8,4.42388,7.31132,4.35152,7.59184,8.94733,4.03062,4.62872,3.35982
Erdos971,472,472,2628,8,,7.53546,6.8819,7.32547,7.70111,7.38977,6.33244,8.34291
Erdos972,5488,5488,14170,8,4.68129,7.55959,4.4031,6.64672,8.64684,4.21327,6.90171,3.68585
Erdos981,485,485,2762,8,,7.13935,7.17403,7.69899,7.9055,7.52859,7.45232,7.83566
Erdos982,5822,5822,14750,8,4.68525,7.58598,5.18225,7.89534,8.72457,5.45916,5.93412,3.54833
Erdos991,492,492,2834,8,6.53373,7.68537,7.07388,7.60806,8.27442,6.96534,7.58258,8.01115
Erdos992,6100,6100,15030,8,4.27444,7.42201,4.89079,7.15714,8.58858,4.80576,7.71754,3.63922
F1,343791,343791,26837113,8,19.9179,25.5926,24.3269,25.1576,26.0748,26.1274,26.9352,16.2748
F2,71505,71505,5294285,8,19.5993,26.0077,25.6002,26.3956,26.5426,25.5652,27.0653,19.4939
Fashion_MNIST_norm_10NN,10000,10000,158304,8,19.7078,19.8343,21.2008,18.628,20.6984,20.4163,21.9733,17.961
Fault_639,638802,638802,28614564,8,22.9463,26.0947,22.5356,27.216,26.9874,27.0289,26.7698,26.7657
Flan_1565,1564794,1564794,117406044,8,24.7843,28.0098,24.6103,28.0865,28.0566,28.0786,27.7569,27.6851
G1,800,800,38352,8,21.189,24.0735,22.9567,23.583,23.9513,24.633,24.1967,24.3406
G10,800,800,38352,8,21.5075,23.5831,24.4183,24.064,23.8489,24.0547,24.3119,24.7133
G11,800,800,3200,8,7.75752,10.4918,9.14279,11.8795,8.70762,7.86489,11.1062,11.877
G12,800,800,3200,8,7.8168,11.1546,8.28491,10.4705,7.21121,7.76958,8.96682,10.6889
G13,800,800,3200,8,8.28476,8.21834,7.63033,7.66451,7.71087,7.71073,8.66303,9.27545
G14,800,800,9388,8,10.9085,15.0963,10.2252,13.7051,14.0643,13.793,12.1223,9.42923
G15,800,800,9322,8,11.0647,14.8115,10.8238,14.4247,14.7821,11.847,12.2848,9.13373
G16,800,800,9344,8,11.4125,14.3066,10.7946,14.8612,14.7151,12.1154,12.8331,9.20595
G17,800,800,9334,8,11.2204,14.8897,11.1202,14.816,15.8877,13.417,11.7501,9.05115
G18,800,800,9388,8,11.1846,14.0513,11.1183,12.8493,14.457,14.3738,12.6225,8.9891
G19,800,800,9322,8,10.6988,14.4247,10.5558,14.6662,15.1577,11.8001,12.0773,9.02855
G2,800,800,38352,8,21.5008,23.5559,23.8388,24.064,23.7383,23.8109,23.5559,24.6835
G20,800,800,9344,8,10.8024,14.6573,10.5062,14.4868,15.209,12.944,12.4586,9.29174
G21,800,800,9334,8,11.409,14.2777,10.5024,14.7573,14.7573,13.5265,11.6041,8.82646
G22,2000,2000,39980,8,18.748,19.5441,19.8412,19.7432,19.6341,19.4432,19.4019,19.1178
G23,2000,2000,39980,8,18.2975,19.6516,19.6155,19.1573,19.592,19.0722,19.349,18.9699
G24,2000,2000,39980,8,17.8577,19.4906,20.4109,19.7311,19.5562,19.25,19.7738,19.5197
G25,2000,2000,39980,8,18.6822,19.6758,20.1221,19.4965,19.4491,19.5143,19.6221,19.7304
G26,2000,2000,39980,8,18.131,19.1006,20.0779,19.7371,19.5143,19.7061,19.2849,19.3024
G27,2000,2000,39980,8,18.2759,19.2033,19.8535,19.6035,19.3725,19.2553,19.4905,19.6221
G28,2000,2000,39980,8,18.8584,19.5501,20.0458,19.6523,19.5621,19.461,19.586,19.5143
G29,2000,2000,39980,8,19.135,19.1751,20.1919,19.3778,19.7061,18.9704,19.6697,19.3024
G2_circuit,150102,150102,726674,8,13.7925,25.4014,15.4647,24.5627,24.8334,25.372,28.2697,17.7222
G3,800,800,38352,8,21.3958,23.8026,23.4023,23.9418,23.6285,24.283,24.0264,23.8025
