matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,8,2.13025,2.03176,2.07431,2.08378,2.06388,2.08479,2.04987,2.06863
144,144649,144649,2148786,8,2.45443,2.41692,2.4387,2.39424,2.3966,2.4174,2.46812,2.39061
2cubes_sphere,101492,101492,1647264,8,3.08694,2.967,3.10202,3.04531,2.92828,2.95981,2.9633,2.9859
333SP,3712815,3712815,22217266,8,1.00522,1.1246,0.911654,1.11875,1.12397,1.11207,1.14153,0.604751
3dtube,45330,45330,3213618,8,3.09188,3.14915,3.12437,3.16252,3.18003,3.13342,3.10735,3.05331
3elt,4720,4720,27444,8,3.2777,3.22106,3.22446,3.44844,3.10532,3.19602,3.23878,3.0363
3elt_dual,9000,9000,26556,8,2.95736,3.38002,3.20909,2.98028,3.15894,3.06589,3.08629,3.10245
494_bus,494,494,1666,8,2.05791,1.98644,2.0012,2.00921,1.97306,2.02893,2.03622,1.9574
598a,110971,110971,1483868,8,2.80076,2.87295,2.76838,2.91731,2.83828,2.76584,2.81372,2.38555
662_bus,662,662,2474,8,2.25319,2.16223,2.16023,2.19935,2.18975,2.18806,2.24298,2.36931
685_bus,685,685,3249,8,2.34088,2.23415,2.21614,2.27722,2.19479,2.2821,2.2953,2.2768
ACTIVSg70K,69999,69999,238627,8,2.24715,2.23933,2.20396,2.23295,2.23865,2.24196,2.18936,2.24479
AS365,3799275,3799275,22736152,8,0.983334,1.05509,0.90041,1.06128,1.0693,1.07712,1.10855,0.431033
Alemdar,6245,6245,42581,8,3.28849,3.10258,3.06548,3.07765,3.00075,,2.96328,3.13345
Andrews,60000,60000,760154,8,2.52548,3.09181,3.14738,3.24097,3.22714,2.78157,3.17091,2.87067
BenElechi1,245874,245874,13150496,8,2.21391,2.23655,2.2765,2.31048,2.23553,2.26765,2.2494,2.28456
Binaryalphadigs_10NN,1404,1404,19392,8,3.1743,3.15304,3.22767,3.16581,3.22726,3.21362,3.15378,3.21545
Bump_2911,2911419,2911419,127729899,8,2.01045,2.0544,1.9643,2.09949,2.12543,2.07094,2.09658,2.09316
CO,221119,221119,7666057,8,2.15995,2.17434,2.16992,2.09481,2.15964,2.17099,2.1732,2.07446
Chem97ZtZ,2541,2541,7361,8,2.94971,2.67557,2.8756,2.89269,3.01257,2.94683,2.92053,3.09587
Cube_Coup_dt0,2164760,2164760,127206144,8,2.06133,2.18758,2.09012,2.11287,2.1737,2.23444,2.16411,2.14836
Cube_Coup_dt6,2164760,2164760,127206144,8,2.09523,2.13406,2.0972,2.1412,2.16299,2.11431,2.11914,2.17983
CurlCurl_0,11083,11083,113343,8,3.50696,3.48557,3.43025,3.26232,3.44054,3.44699,3.37999,3.55169
CurlCurl_1,226451,226451,2472071,8,2.08586,2.07555,2.04242,2.06429,2.09651,2.10262,2.06614,2.02521
CurlCurl_2,806529,806529,8921789,8,1.14536,1.54863,1.32955,1.53934,1.58693,1.56405,1.279,1.27363
CurlCurl_3,1219574,1219574,13544618,8,1.0801,1.45157,1.32056,1.48557,1.51014,1.48246,1.23783,1.35799
CurlCurl_4,2380515,2380515,26515867,8,0.97216,1.37846,1.20929,1.36746,1.45841,1.42896,1.22777,1.39472
Dubcova1,16129,16129,253009,8,3.75798,3.90262,3.85634,3.70264,3.86622,,3.87403,3.8119
Dubcova2,65025,65025,1030225,8,3.72585,3.81909,3.78214,3.66954,3.7194,3.7633,3.74026,3.65839
Dubcova3,146689,146689,3636649,8,2.33267,2.40483,2.35086,2.40664,2.41619,2.41292,2.3146,2.51552
EX1,560,560,8736,8,3.35323,3.33802,3.5116,3.37402,3.39409,3.36544,3.45544,3.42361
EX2,560,560,8736,8,3.36721,3.35058,3.42445,3.36623,3.41174,3.36016,3.412,3.40926
EX3,2600,2600,71760,8,3.89562,3.9028,3.99117,3.92599,3.97383,3.93157,3.89962,3.97908
EX4,2600,2600,71760,8,3.89588,3.92196,3.94272,3.92551,3.78793,3.92858,3.90553,3.77412
EX5,6545,6545,295680,8,3.92782,3.93451,3.91792,3.93304,3.93117,,3.87091,3.93173
EX6,6545,6545,295680,8,3.83126,3.93501,3.9301,3.83337,3.92117,,3.90927,3.93166
Ecoli_10NN,336,336,4560,8,3.06916,3.1386,3.08891,3.0948,3.12128,3.11238,3.07473,3.27718
Emilia_923,923136,923136,41005206,8,2.02499,2.11766,2.02377,2.14005,2.15316,2.12887,2.12213,2.11341
Erdos02,6927,6927,16944,8,2.3973,2.32783,2.3986,2.22326,1.98789,1.97833,2.33773,2.06593
Erdos971,472,472,2628,8,,2.41253,2.54191,2.43757,2.48526,2.53333,2.41724,2.47138
Erdos972,5488,5488,14170,8,2.3856,2.06942,2.3165,2.08776,1.95622,2.10372,2.5394,2.12504
Erdos981,485,485,2762,8,,2.50195,2.55239,2.5296,2.58222,2.54138,2.41196,2.45563
Erdos982,5822,5822,14750,8,2.40416,2.1751,2.20441,2.1866,1.98546,2.07003,2.49828,2.10502
Erdos991,492,492,2834,8,2.46207,2.44637,2.50117,2.50024,2.45848,2.59391,2.49968,2.63537
Erdos992,6100,6100,15030,8,2.3432,2.18087,2.29979,2.17038,2.01851,2.01721,2.44527,2.03968
F1,343791,343791,26837113,8,2.27685,2.25707,2.26568,2.25055,2.31008,2.2551,2.24368,2.14222
F2,71505,71505,5294285,8,2.54038,2.5069,2.54647,2.53039,2.50437,2.54197,2.43042,2.49648
Fashion_MNIST_norm_10NN,10000,10000,158304,8,3.42792,3.44493,3.45096,3.4167,3.44413,3.42485,3.44671,3.38929
Fault_639,638802,638802,28614564,8,2.04784,2.1136,2.01971,2.13085,2.19041,2.16202,2.07951,2.1387
Flan_1565,1564794,1564794,117406044,8,2.17585,2.1698,2.1627,2.20191,2.17394,2.243,2.20735,2.32158
G1,800,800,38352,8,3.69689,3.70121,3.7732,3.76808,3.77179,3.76885,3.76746,3.68028
G10,800,800,38352,8,3.77827,3.69867,3.77093,3.7659,3.77042,3.69013,3.76799,3.77035
G11,800,800,3200,8,3.29899,3.25699,3.28036,3.29323,3.0657,3.32033,3.29452,3.296
G12,800,800,3200,8,3.11607,3.25184,3.28964,3.15485,3.27153,3.26449,3.27867,3.27997
G13,800,800,3200,8,3.24893,3.30382,3.23191,3.28752,3.1115,3.32727,3.28752,2.94882
G14,800,800,9388,8,3.0388,3.03549,3.07349,3.06409,3.0568,3.05872,3.10977,3.11557
G15,800,800,9322,8,3.03426,3.03278,3.06506,3.03975,3.06406,3.02418,3.08765,3.11812
G16,800,800,9344,8,3.04068,3.01899,3.04899,3.05086,3.07438,3.05147,3.09142,3.02204
G17,800,800,9334,8,3.0428,2.98593,3.06347,3.0622,3.06743,3.04337,3.07748,3.12462
G18,800,800,9388,8,3.02942,3.03948,3.07357,3.06684,3.00524,3.03543,3.11119,3.10295
G19,800,800,9322,8,3.03858,3.03865,3.06462,3.04287,3.0807,3.02123,3.10332,3.12648
G2,800,800,38352,8,3.75662,3.76768,3.72275,3.76552,3.77374,3.77095,3.76681,3.76463
G20,800,800,9344,8,3.04161,3.06518,3.0668,3.05472,3.06109,3.05122,3.07982,3.11298
G21,800,800,9334,8,3.02059,2.99815,3.06787,3.03804,3.04983,3.04374,3.07989,3.13275
G22,2000,2000,39980,8,3.44551,3.40103,3.44646,3.44694,3.40301,3.4502,3.45057,3.44631
G23,2000,2000,39980,8,3.39908,3.38754,3.45077,3.40277,3.4523,3.38244,3.41054,3.44757
G24,2000,2000,39980,8,3.38437,3.38767,3.3942,3.3867,3.45101,3.40426,3.39501,3.43641
G25,2000,2000,39980,8,3.39697,3.40056,3.4499,3.40092,3.44798,3.39977,3.39618,3.44414
G26,2000,2000,39980,8,3.40301,3.39349,3.44992,3.40139,3.44551,3.40279,3.40205,3.44891
G27,2000,2000,39980,8,3.39915,3.38389,3.44964,3.3943,3.4467,3.38851,3.39639,3.4459
G28,2000,2000,39980,8,3.40215,3.39184,3.44568,3.39735,3.44484,3.39884,3.40786,3.66178
G29,2000,2000,39980,8,3.39933,3.38813,3.45018,3.40654,3.45072,3.39818,3.41057,3.44672
G2_circuit,150102,150102,726674,8,2.62001,2.5303,2.62229,2.64832,2.83586,2.95747,2.69791,2.85754
G3,800,800,38352,8,3.77946,3.69289,3.72942,3.76574,3.76205,3.77065,3.6794,3.76935
G30,2000,2000,39980,8,3.39948,3.40037,3.44958,3.39389,3.44832,3.4061,3.40292,3.44622
G31,2000,2000,39980,8,3.40152,3.40225,3.45202,3.4011,3.44819,3.40304,3.3949,3.44116
G32,2000,2000,8000,8,3.36638,3.38634,3.38912,3.39251,3.34623,3.40953,3.39037,3.40183
G33,2000,2000,8000,8,3.36037,3.36285,3.39657,3.34265,3.27592,3.40788,3.38472,3.40118
G34,2000,2000,8000,8,3.37224,3.35246,3.27072,3.36284,3.37393,3.24741,3.41507,3.36637
G35,2000,2000,23556,8,3.07377,3.09408,3.07061,3.04789,3.11268,3.09421,3.12665,3.14864
G36,2000,2000,23532,8,2.81399,3.10781,3.08918,3.09042,3.12264,3.0754,3.08791,3.14967
G37,2000,2000,23570,8,3.06007,3.09214,3.1108,3.09193,3.11713,3.07439,3.12822,3.1395
G38,2000,2000,23558,8,3.06668,3.07397,3.10797,3.105,3.11475,3.06817,3.12642,3.17812
G39,2000,2000,23556,8,3.07884,3.08219,3.11397,3.0473,3.08083,3.07665,3.12504,3.14334
G3_circuit,1585478,1585478,7660826,8,0.819929,1.17082,0.867885,1.14528,1.1498,1.17158,1.05516,0.881377
G4,800,800,38352,8,3.77601,3.76766,3.77436,3.76411,3.75839,3.77123,3.7636,3.77332
G40,2000,2000,23532,8,3.04365,3.09905,3.07407,3.08875,3.07676,3.07688,3.10011,3.17702
G41,2000,2000,23570,8,3.06188,3.09475,3.11168,3.08492,3.11834,3.08039,3.11943,3.17377
G42,2000,2000,23558,8,3.06515,3.08487,3.11295,3.08328,3.0794,3.06276,3.13586,3.14005
G43,1000,1000,19980,8,3.37062,3.36254,3.4321,3.36693,3.43056,3.36459,3.35975,3.41298
G44,1000,1000,19980,8,3.37664,3.34344,3.42508,3.35837,3.42681,3.38716,3.36325,3.4289
G45,1000,1000,19980,8,3.36548,3.37102,3.42516,3.36729,3.43038,3.36516,3.38211,3.41783
G46,1000,1000,19980,8,3.36746,3.36367,3.43173,3.37077,3.43141,3.36286,3.36987,3.42927
G47,1000,1000,19980,8,3.37162,3.37486,3.42688,3.37247,3.43524,3.37742,3.3775,3.43225
G48,3000,3000,12000,8,,3.38834,3.44624,3.3899,3.25623,3.3909,3.34273,3.42833
G49,3000,3000,12000,8,,3.38892,3.44079,3.21033,3.33652,3.40552,3.24138,3.43366
G5,800,800,38352,8,3.77736,3.68552,3.77325,3.76367,3.76732,3.69149,3.7672,3.77457
G50,3000,3000,12000,8,3.39799,3.24433,3.4398,3.39007,3.25126,3.40245,3.40167,3.27494
G51,1000,1000,11818,8,3.03463,3.07765,3.02217,3.07046,3.08624,3.05774,2.99916,3.15925
G52,1000,1000,11832,8,3.0257,3.04111,3.09399,3.07675,3.09596,3.0103,3.06548,3.13638
G53,1000,1000,11828,8,3.06018,3.00079,3.09411,3.05574,3.07475,3.06583,3.02637,3.15444
G54,1000,1000,11832,8,3.0103,3.00004,3.09602,3.06911,3.10008,3.01457,3.0714,3.17631
G55,5000,5000,24996,8,2.30016,2.3267,2.39869,2.30869,2.34074,2.30004,2.37804,2.34239
G56,5000,5000,24996,8,2.49138,2.32267,2.40459,2.31981,2.3426,2.31674,2.38258,2.34425
G57,5000,5000,20000,8,3.23546,3.17744,3.36512,3.37087,3.0937,3.41702,3.18515,3.11982
G58,5000,5000,59140,8,3.22118,3.26761,3.26231,3.30075,3.262,3.24114,3.31846,3.35846
G59,5000,5000,59140,8,3.26977,3.25656,3.25217,3.29678,3.26171,3.28954,3.35573,3.34821
G6,800,800,38352,8,3.78423,3.77292,3.76699,3.77137,3.7644,3.76813,3.77174,3.77114
