matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,64,13.2406,13.2541,13.2888,13.243,13.0131,13.2829,12.906,12.5093
144,144649,144649,2148786,64,11.2591,11.3114,12.5446,11.1918,12.2078,12.2516,14.3388,6.82232
2cubes_sphere,101492,101492,1647264,64,11.483,13.5041,12.9587,13.7962,14.1479,13.9179,14.4268,12.874
333SP,3712815,3712815,22217266,64,10.0321,9.9521,8.63751,10.0936,8.65476,9.19019,12.4068,4.6877
3dtube,45330,45330,3213618,64,17.0318,17.3027,17.2356,17.3177,17.3473,17.2911,17.6854,17.3023
3elt,4720,4720,27444,64,15.5464,16.034,15.3794,15.9133,15.8411,15.8691,15.1181,15.7589
3elt_dual,9000,9000,26556,64,14.2379,14.4858,13.7039,14.4551,14.4683,14.8057,14.5849,14.0444
494_bus,494,494,1666,64,14.7596,14.439,14.4017,14.6674,14.3981,14.3972,14.3041,13.8683
598a,110971,110971,1483868,64,11.3938,10.2307,12.1846,10.0577,11.8218,11.8114,14.2467,5.41354
662_bus,662,662,2474,64,13.5876,13.7631,13.8019,13.7342,13.5806,13.8412,13.5319,13.1915
685_bus,685,685,3249,64,14.5093,14.5761,14.574,14.6167,14.54,14.4792,14.195,14.4485
ACTIVSg70K,69999,69999,238627,64,8.4121,9.21885,8.62075,9.15359,9.18062,9.19865,9.54968,8.78415
AS365,3799275,3799275,22736152,64,9.82796,8.34297,8.09641,8.47385,6.96223,7.32898,12.8155,3.15425
Alemdar,6245,6245,42581,64,15.1219,14.0575,14.6639,14.2613,14.9445,,14.7243,11.296
Andrews,60000,60000,760154,64,10.5584,9.60557,10.8828,9.5778,11.1817,10.964,11.4611,6.29408
BenElechi1,245874,245874,13150496,64,17.1814,17.7371,17.5426,17.7285,17.6728,16.9867,17.7934,17.7336
Binaryalphadigs_10NN,1404,1404,19392,64,16.5303,16.5886,16.328,16.5411,16.5715,16.3524,15.718,15.7375
Bump_2911,2911419,2911419,127729899,64,14.557,16.7714,15.156,17.091,17.0947,17.0384,16.0789,16.6912
CO,221119,221119,7666057,64,11.3431,14.8203,13.6936,14.966,15.0742,14.2613,13.2383,13.9657
Chem97ZtZ,2541,2541,7361,64,14.4141,14.6127,14.1173,14.6681,13.951,14.3998,14.7056,13.7164
Cube_Coup_dt0,2164760,2164760,127206144,64,15.8385,16.2544,16.1843,17.1717,17.252,17.2546,16.7424,16.7656
Cube_Coup_dt6,2164760,2164760,127206144,64,15.8248,17.1944,16.1765,17.1674,17.2344,17.2848,16.7343,16.8227
CurlCurl_0,11083,11083,113343,64,15.2663,16.1662,15.6258,16.124,16.19,15.9729,15.9997,15.9938
CurlCurl_1,226451,226451,2472071,64,10.0791,14.1208,10.9567,13.9174,14.1682,14.0665,14.5255,14.012
CurlCurl_2,806529,806529,8921789,64,9.43968,14.0624,11.129,13.7769,14.1852,13.9511,14.0011,13.3536
CurlCurl_3,1219574,1219574,13544618,64,9.22607,13.8638,11.567,13.7728,14.1147,13.8787,13.6254,13.1674
CurlCurl_4,2380515,2380515,26515867,64,8.9622,13.8434,10.6373,13.7836,14.0039,13.8019,13.3116,12.9062
Dubcova1,16129,16129,253009,64,16.6267,14.7932,16.4342,15.6921,15.8707,,16.7612,14.2962
Dubcova2,65025,65025,1030225,64,14.5104,13.9411,14.2403,14.0614,14.4401,14.2508,16.2557,12.1309
Dubcova3,146689,146689,3636649,64,15.6526,15.2564,15.3288,15.3128,15.5206,15.2325,16.3067,13.2071
EX1,560,560,8736,64,16.8738,16.8509,16.7228,16.2707,16.2466,16.2144,16.1897,16.3672
EX2,560,560,8736,64,16.6971,16.9097,16.7411,16.9003,16.4928,16.0556,16.8242,17.1362
EX3,2600,2600,71760,64,14.6671,15.6686,14.4422,15.9554,14.9345,13.797,15.3626,16.009
EX4,2600,2600,71760,64,14.5679,15.7584,14.414,15.9072,14.8625,13.5812,15.3692,15.9886
EX5,6545,6545,295680,64,13.4439,15.3428,13.1571,15.5076,13.9585,,14.1633,15.7236
EX6,6545,6545,295680,64,13.4186,15.2756,13.3485,15.581,14.0052,,14.1694,15.6848
Ecoli_10NN,336,336,4560,64,19.8079,20.2234,20.3095,19.7303,19.7979,20.3656,20.0432,19.8082
Emilia_923,923136,923136,41005206,64,15.1319,16.3558,15.4425,16.6706,16.8166,16.7487,16.5534,16.6669
Erdos02,6927,6927,16944,64,12.3521,11.9335,12.081,12.0616,11.3546,10.2715,12.4454,9.93971
Erdos971,472,472,2628,64,,16.3493,16.5908,16.6462,16.1715,16.253,16.2951,15.4437
Erdos972,5488,5488,14170,64,12.3446,11.888,12.2308,11.6367,11.5043,10.7417,12.2049,9.99736
Erdos981,485,485,2762,64,,16.6611,16.2733,16.6794,16.0188,16.4214,16.6447,15.7076
Erdos982,5822,5822,14750,64,12.4684,11.9298,11.8824,11.8253,11.2342,10.7211,12.4494,9.96706
Erdos991,492,492,2834,64,16.9422,16.3132,16.7359,16.6071,16.1288,16.7082,16.5587,15.7834
Erdos992,6100,6100,15030,64,11.8449,12.0431,12.1094,11.842,11.3124,10.4391,12.3314,9.85585
F1,343791,343791,26837113,64,16.316,16.0721,16.373,16.1277,16.3464,16.0553,16.8714,13.1359
F2,71505,71505,5294285,64,16.8262,16.4943,16.7239,16.4393,16.8033,16.4146,17.0379,15.1621
Fashion_MNIST_norm_10NN,10000,10000,158304,64,15.6655,14.2747,15.7822,13.8877,15.5244,15.1022,14.9246,9.76441
Fault_639,638802,638802,28614564,64,15.3238,16.6981,15.2822,16.8253,16.8937,16.8694,16.6101,16.6537
Flan_1565,1564794,1564794,117406044,64,16.8867,17.6475,16.4933,17.6798,17.6308,17.6873,17.6572,17.5356
G1,800,800,38352,64,15.3299,15.4115,15.7432,15.4383,15.2818,15.3272,15.4874,15.2372
G10,800,800,38352,64,15.3438,15.3772,15.7421,12.2876,15.4047,15.321,15.3851,15.3265
G11,800,800,3200,64,16.0891,16.6287,15.6153,16.6152,15.9162,16.2644,16.2577,16.7513
G12,800,800,3200,64,15.8485,16.3463,16.2113,16.3511,15.9024,16.1898,16.1006,16.1616
G13,800,800,3200,64,15.6947,16.1494,15.714,16.027,15.2649,16.0906,15.9142,16.1039
G14,800,800,9388,64,16.2922,15.4366,16.5247,15.8596,15.0753,15.4907,15.324,15.0096
G15,800,800,9322,64,16.2643,15.8628,16.3829,15.5444,15.4302,14.6333,15.5385,14.9272
G16,800,800,9344,64,16.1829,15.7569,16.474,15.775,15.1653,15.5586,15.5883,15.131
G17,800,800,9334,64,15.8641,16.0077,16.283,15.5325,15.2716,15.3559,15.5534,15.1156
G18,800,800,9388,64,15.7927,15.7993,16.3812,15.8275,15.3338,15.4345,15.4299,15.0363
G19,800,800,9322,64,16.1674,15.9003,16.5314,15.897,15.3704,15.1631,15.4452,15.1046
G2,800,800,38352,64,15.2663,15.4574,15.7822,15.3841,15.3139,15.3227,15.5162,15.4421
G20,800,800,9344,64,15.2875,15.9573,16.4365,15.6981,15.1756,15.5125,15.4221,15.2466
G21,800,800,9334,64,16.3363,16.1449,16.5793,15.6554,15.418,15.4038,15.4225,15.1952
G22,2000,2000,39980,64,13.4743,13.0404,13.9659,13.3478,13.0248,13.4156,13.3934,12.3517
G23,2000,2000,39980,64,13.6349,12.6766,13.7729,13.2834,13.609,12.7025,13.0912,12.9604
G24,2000,2000,39980,64,13.6078,13.3614,13.712,13.2124,13.5384,13.4054,13.4712,13.0382
G25,2000,2000,39980,64,13.6628,12.6905,13.7496,13.2495,12.9448,12.9253,13.5293,13.1741
G26,2000,2000,39980,64,13.7375,13.3131,13.8805,12.8866,13.1358,12.9895,13.1888,13.2294
G27,2000,2000,39980,64,13.6929,13.1687,13.7918,13.2023,13.5106,13.1128,13.4957,12.7134
G28,2000,2000,39980,64,13.4404,12.6229,13.746,13.3324,13.5667,13.1782,13.2785,13.1997
G29,2000,2000,39980,64,13.4072,13.1266,12.8108,13.1398,13.5224,13.2221,13.2817,13.1954
G2_circuit,150102,150102,726674,64,8.9075,12.3688,9.86397,11.8564,12.3645,12.2926,12.4751,12.142
G3,800,800,38352,64,15.2491,15.4694,15.6756,15.448,15.3959,15.0913,15.4639,15.3838
G30,2000,2000,39980,64,13.5766,13.3536,13.8004,13.1541,13.3159,13.4027,13.2991,12.9999
G31,2000,2000,39980,64,13.0851,13.2409,13.6428,13.3145,13.4881,13.0204,12.9827,13.071
G32,2000,2000,8000,64,15.2225,15.6072,15.1818,16.4779,15.7405,16.0087,16.0448,16.4936
G33,2000,2000,8000,64,15.3062,16.7784,15.998,15.8858,15.4312,15.8976,15.4576,16.6336
G34,2000,2000,8000,64,15.5433,15.8372,15.6584,16.0313,15.9516,15.567,16.209,16.3102
G35,2000,2000,23556,64,14.6911,13.8323,14.9034,14.3424,14.3242,13.6419,13.7173,13.2075
G36,2000,2000,23532,64,14.3557,14.0516,14.6622,14.1291,14.4581,13.7854,13.9402,13.3768
G37,2000,2000,23570,64,14.6217,14.2085,14.3843,13.8164,14.6056,13.9015,13.7422,13.1479
G38,2000,2000,23558,64,14.5861,14.1497,14.9439,14.1387,14.5148,13.7981,13.367,13.1899
G39,2000,2000,23556,64,14.4992,14.0651,14.6798,13.8634,14.4819,13.5395,13.7039,12.4686
G3_circuit,1585478,1585478,7660826,64,7.92693,12.4432,8.27352,12.4394,12.5479,12.5724,11.9816,11.7458
G4,800,800,38352,64,15.3727,15.3099,15.7253,15.3589,15.1407,15.3737,15.3649,15.3106
G40,2000,2000,23532,64,14.5099,14.079,14.6318,14.1503,14.6736,13.4574,14.05,13.0205
G41,2000,2000,23570,64,14.6468,14.1146,14.8473,13.8277,14.4933,13.7966,13.8568,13.238
G42,2000,2000,23558,64,14.3745,14.0708,14.7801,14.2857,14.4723,13.8199,13.858,12.9512
G43,1000,1000,19980,64,15.2437,14.7846,15.3071,14.9634,15.0783,14.8002,14.9031,14.8661
G44,1000,1000,19980,64,15.044,14.8506,15.1917,14.9195,14.6353,14.8855,14.9844,14.8259
G45,1000,1000,19980,64,14.3673,14.7704,15.3729,14.7896,14.9478,14.5639,14.9018,14.7118
G46,1000,1000,19980,64,15.1884,14.8147,15.183,14.7219,15.074,14.825,14.8591,14.802
G47,1000,1000,19980,64,15.1774,14.9065,15.2761,14.8481,15.011,14.782,14.9396,14.782
G48,3000,3000,12000,64,,15.3353,15.671,15.9286,15.5919,16.335,15.8228,15.0621
G49,3000,3000,12000,64,,15.6406,15.2603,15.8437,15.9399,16.0672,15.8738,14.7667
G5,800,800,38352,64,15.386,15.3772,15.737,15.4227,15.345,15.3456,15.3838,15.2937
G50,3000,3000,12000,64,15.2064,15.5933,14.6904,15.7915,15.7226,15.4343,15.9448,14.7939
G51,1000,1000,11818,64,15.9232,15.6523,15.7783,15.0952,15.5778,14.8397,14.7279,14.7253
G52,1000,1000,11832,64,15.7314,15.7753,16.2893,15.64,15.4834,14.8665,14.8946,14.8024
G53,1000,1000,11828,64,15.8297,15.9099,16.0295,15.6147,15.7884,15.1067,15.0288,14.6165
G54,1000,1000,11832,64,15.587,15.7781,15.4637,15.5933,15.0205,14.6441,15.1657,14.7702
G55,5000,5000,24996,64,11.2019,10.9261,11.0893,10.9887,11.1566,10.4089,11.1944,9.87849
G56,5000,5000,24996,64,11.1719,10.9749,11.056,10.9805,11.2428,10.4283,11.2496,9.8898
G57,5000,5000,20000,64,15.1457,14.6863,14.7777,16.073,15.6815,15.8538,15.8364,15.1974
G58,5000,5000,59140,64,13.1088,12.5907,13.4277,12.4547,12.9143,11.8921,12.0467,11.1979
G59,5000,5000,59140,64,13.1369,11.7692,13.1004,12.309,13.0084,11.872,12.0054,11.246
G6,800,800,38352,64,15.3005,15.4059,15.6919,15.4618,15.403,15.3188,15.4092,15.375
G60,7000,7000,34296,64,10.8024,10.5791,10.3847,10.6534,10.8741,9.42465,10.8665,9.43544
G61,7000,7000,34296,64,10.8289,10.29,10.6856,10.5886,10.8955,10.0424,10.8324,9.4587
G62,7000,7000,28000,64,15.0675,16.0525,14.8909,15.9558,15.1967,16.054,15.7128,14.756
G63,7000,7000,82918,64,12.7613,12.134,12.9153,11.9649,12.4586,11.3654,11.6627,10.6775
G64,7000,7000,82918,64,12.7143,12.1949,12.9623,12.0506,12.4155,11.3759,11.6383,10.704
G65,8000,8000,32000,64,15.1317,15.5992,14.7538,15.9529,16.0658,15.9184,16.2083,14.6155
G66,9000,9000,36000,64,14.7013,15.9573,15.2355,15.7456,15.7926,15.9252,15.6311,14.8949
G67,10000,10000,40000,64,15.2094,15.476,14.9302,15.8671,15.3465,15.8898,15.6702,14.7491
G7,800,800,38352,64,15.4297,15.391,15.7553,15.3414,15.3109,15.3722,15.4704,15.0757
G8,800,800,38352,64,15.3813,15.4533,15.718,15.2681,14.897,15.3742,15.4278,15.3177
G9,800,800,38352,64,15.3295,15.4326,15.7401,15.4642,15.2384,15.3915,15.4678,15.2544
GAP-road,23947347,23947347,57708624,64,6.82214,6.74753,5.80465,6.48983,5.27235,4.91221,7.85926,5.06367
GD06_theory,101,101,380,64,16.9954,16.0328,16.2751,15.3203,15.4907,17.0787,16.5668,16.5327
