matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,64,18.3141,16.5417,18.2043,17.0141,18.1027,17.4144,13.7162,14.1005
144,144649,144649,2148786,64,76.8544,89.2588,94.2695,90.7141,148.825,124.14,77.7424,36.8109
2cubes_sphere,101492,101492,1647264,64,81.1035,132.148,98.1197,138.978,164.767,129.25,87.0841,109.082
333SP,3712815,3712815,22217266,64,43.165,41.8518,40.5371,45.1488,32.4301,32.1645,45.0872,21.0422
3dtube,45330,45330,3213618,64,262.837,399.47,297.333,327.237,498.878,443.394,323.353,271.93
3elt,4720,4720,27444,64,40.4345,51.4316,38.7452,46.3581,47.7728,46.9667,32.057,35.7508
3elt_dual,9000,9000,26556,64,28.5863,45.5384,21.0734,43.3617,40.1541,27.6139,20.4721,33.6705
494_bus,494,494,1666,64,12.0937,10.8368,12.2746,10.8811,10.4487,11.1724,9.73205,8.87532
598a,110971,110971,1483868,64,71.5274,74.5873,83.4333,70.0688,103.575,104.269,70.7276,30.9116
662_bus,662,662,2474,64,13.8442,12.0959,13.1969,12.6678,11.8911,13.0227,12.3705,9.9264
685_bus,685,685,3249,64,16.5304,16.1009,16.3806,15.2318,15.3277,16.0445,14.0274,14.3379
ACTIVSg70K,69999,69999,238627,64,46.955,102.558,47.5778,93.7985,101.392,94.2887,25.9978,49.5376
AS365,3799275,3799275,22736152,64,42.8127,31.3761,40.6945,36.3069,23.07,23.4996,49.8799,17.1282
Alemdar,6245,6245,42581,64,48.3501,32.5527,45.3024,36.0546,45.2422,,33.5775,21.8338
Andrews,60000,60000,760154,64,50.3179,46.5808,56.6644,47.9693,72.6662,68.8844,43.5998,27.2476
BenElechi1,245874,245874,13150496,64,670.926,744.94,607.215,774.12,453.532,738.45,700.799,697.135
Binaryalphadigs_10NN,1404,1404,19392,64,36.8773,31.5875,33.7477,32.9752,31.9415,29.7727,27.3624,31.3874
Bump_2911,2911419,2911419,127729899,64,147.061,198.821,168.464,240.855,276.733,271.292,194.309,202.178
CO,221119,221119,7666057,64,75.5864,146.984,131.083,78.144,167.97,132.025,67.7389,70.0537
Chem97ZtZ,2541,2541,7361,64,28.9625,32.5854,28.1643,32.608,23.1222,23.2019,33.0658,15.6054
Cube_Coup_dt0,2164760,2164760,127206144,64,187.744,291.159,210.421,287.151,331.466,327.819,256.724,255.671
Cube_Coup_dt6,2164760,2164760,127206144,64,186.9,302.572,209.639,284.24,332.164,326.812,256.819,255.658
CurlCurl_0,11083,11083,113343,64,56.4853,62.1539,63.1045,64.0565,69.8103,67.6637,57.9408,57.6754
CurlCurl_1,226451,226451,2472071,64,54.143,114.022,81.4581,127.274,163.927,125.817,79.9043,75.4213
CurlCurl_2,806529,806529,8921789,64,47.134,84.5358,63.6538,74.5653,86.3555,81.4267,65.9982,39.7059
CurlCurl_3,1219574,1219574,13544618,64,44.3597,77.3201,66.605,81.9925,87.5034,64.0855,64.6671,62.4846
CurlCurl_4,2380515,2380515,26515867,64,48.8701,83.1665,63.1371,80.7628,91.6865,86.5112,63.1993,65.6695
Dubcova1,16129,16129,253009,64,92.3749,75.1239,110.528,78.2274,108.908,,100.817,55.427
Dubcova2,65025,65025,1030225,64,107.476,96.4305,130.087,101.842,140.342,121.686,137.756,55.7653
Dubcova3,146689,146689,3636649,64,182.652,151.508,176.755,160.67,247.718,205.035,191.481,68.8442
EX1,560,560,8736,64,24.3947,24.0578,23.9599,23.1403,23.8222,22.684,24.2514,24.7025
EX2,560,560,8736,64,21.1978,24.1832,21.9266,25.1199,23.9599,21.7005,22.0519,23.5106
EX3,2600,2600,71760,64,51.3506,52.4163,49.0798,57.1476,48.6166,46.7639,52.8789,55.1868
EX4,2600,2600,71760,64,45.0696,54.6701,48.0457,54.778,47.8079,41.43,50.3521,55.5579
EX5,6545,6545,295680,64,76.4397,87.7083,78.0718,90.9804,78.1283,,81.3521,93.0467
EX6,6545,6545,295680,64,78.6406,85.3001,79.09,89.8167,78.3129,,80.3534,88.433
Ecoli_10NN,336,336,4560,64,22.6241,19.1755,22.4579,19.3349,17.8261,18.9575,19.264,15.5226
Emilia_923,923136,923136,41005206,64,144.803,214.827,174.332,214.455,261.438,260.177,201.101,204.801
Erdos02,6927,6927,16944,64,15.6113,19.9581,13.0213,20.0393,23.2558,11.9048,10.6152,12.5582
Erdos971,472,472,2628,64,,11.3847,12.7611,11.6776,10.8514,10.2797,12.021,11.6011
Erdos972,5488,5488,14170,64,15.8448,18.28,14.586,19.4195,21.6773,12.054,16.2037,11.4734
Erdos981,485,485,2762,64,,12.3248,10.8938,10.9177,11.0129,12.076,11.4673,10.4767
Erdos982,5822,5822,14750,64,16.2068,18.7294,14.007,18.6681,24.2017,12.4784,15.6171,12.2442
Erdos991,492,492,2834,64,12.429,12.5364,12.6592,11.3958,11.9645,11.6155,12.8249,10.3682
Erdos992,6100,6100,15030,64,15.7105,20.5934,14.5565,18.7642,22.4499,12.0174,15.607,11.8527
F1,343791,343791,26837113,64,216.757,198.086,258.319,199.953,297.331,235.493,295.465,101.166
F2,71505,71505,5294285,64,304.549,281.019,362.946,269.757,447.411,303.298,419.44,137.003
Fashion_MNIST_norm_10NN,10000,10000,158304,64,66.5919,55.9074,69.95,54.6076,69.7956,65.6644,52.8855,31.2981
Fault_639,638802,638802,28614564,64,144.808,203.746,151.666,221.436,251.896,238.068,181.3,190.461
Flan_1565,1564794,1564794,117406044,64,261.091,375.289,243.413,341.802,397.917,401.629,312.722,313.926
G1,800,800,38352,64,62.9205,60.4361,59.7368,62.3117,62.8392,56.5384,62.4553,58.7982
G10,800,800,38352,64,63.5073,59.8168,62.3674,61.9572,62.4951,62.6395,61.3908,62.5111
G11,800,800,3200,64,14.7477,17.6444,14.1701,15.497,11.9889,12.8923,15.254,16.7684
G12,800,800,3200,64,15.544,14.59,11.8532,13.0446,11.7983,12.0524,12.6136,14.4709
G13,800,800,3200,64,14.7902,13.9672,11.8017,13.7371,11.6304,12.6019,12.5095,13.1072
G14,800,800,9388,64,18.4175,21.5166,17.1091,20.6217,18.9412,19.5494,17.5548,17.7551
G15,800,800,9322,64,16.9597,20.9524,19.7628,18.9517,20.1,16.2208,18.5648,16.9188
G16,800,800,9344,64,19.3661,20.2159,20.1437,17.573,19.063,18.7164,19.5599,17.2205
G17,800,800,9334,64,18.4874,20.5737,19.7689,19.0639,17.9775,19.1744,19.2643,17.4717
G18,800,800,9388,64,19.1253,20.4982,17.3491,18.4121,17.0097,19.0041,18.1143,16.3088
G19,800,800,9322,64,16.0071,20.3857,17.2672,17.9194,19.7828,16.8614,16.6609,16.8829
G2,800,800,38352,64,61.0396,59.6201,61.8166,61.7779,58.3287,62.0749,60.2434,60.2138
G20,800,800,9344,64,19.4832,20.2944,19.0785,21.6644,20.0458,18.7135,19.5309,16.4811
G21,800,800,9334,64,18.9097,20.8654,18.9187,20.5527,19.8708,18.3202,17.6137,16.9815
G22,2000,2000,39980,64,33.0332,33.1683,32.5409,33.9758,34.0688,32.2551,33.585,32.4394
G23,2000,2000,39980,64,34.4667,31.472,32.1193,32.5117,32.4911,31.3888,33.1793,32.3676
G24,2000,2000,39980,64,33.2461,32.5574,32.3778,33.0032,34.7858,32.6114,32.9246,32.5865
G25,2000,2000,39980,64,33.9916,31.8568,34.1349,33.078,34.339,32.4067,34.4966,30.5844
G26,2000,2000,39980,64,34.0801,34.5409,35.1015,33.2807,34.3485,32.9032,32.4478,33.3176
G27,2000,2000,39980,64,32.2795,33.488,34.3137,32.1233,34.4083,32.192,33.7582,32.4517
G28,2000,2000,39980,64,33.9578,33.852,33.8408,32.4538,32.1476,32.7913,34.1097,33.1061
G29,2000,2000,39980,64,34.5341,34.8,34.1167,33.6778,33.7022,32.6551,32.997,31.2068
G2_circuit,150102,150102,726674,64,40.572,81.8112,53.0627,107.043,117.523,116.964,40.3043,57.695
G3,800,800,38352,64,57.915,62.5509,53.4192,60.7669,65.0768,58.2042,62.4553,63.1804
G30,2000,2000,39980,64,31.8727,32.6551,34.6489,33.5165,33.1748,33.5982,33.346,34.0029
G31,2000,2000,39980,64,32.6321,31.4372,33.9758,33.7849,34.03,34.2723,33.6313,32.2775
G32,2000,2000,8000,64,21.9507,23.0449,18.6606,22.3884,22.2764,18.4083,19.2401,23.7521
G33,2000,2000,8000,64,22.079,21.8569,18.3853,23.2971,21.2921,17.685,19.6131,19.9268
G34,2000,2000,8000,64,21.5847,20.5227,18.2995,24.2361,21.3855,18.8183,18.708,18.93
G35,2000,2000,23556,64,21.0533,24.8463,22.6371,22.7964,28.3768,23.2923,21.2481,19.5884
G36,2000,2000,23532,64,21.7328,26.0172,21.4124,22.2408,29.0294,24.1918,19.0682,18.3333
