matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,5.35418,5.61852,4.92554,5.04544,5.14229,5.4823,5.97112,5.5223
144,144649,144649,2148786,1,13.0076,13.3323,13.435,13.3976,13.1586,13.266,13.5108,11.3977
2cubes_sphere,101492,101492,1647264,1,16.243,16.1393,16.5454,15.8375,16.2546,16.2462,16.8168,16.2726
333SP,3712815,3712815,22217266,1,4.17359,5.08509,3.88568,4.86116,4.95242,4.99065,4.86171,3.76301
3dtube,45330,45330,3213618,1,12.2265,11.4584,11.8013,11.8103,11.1456,12.133,11.4922,11.7886
3elt,4720,4720,27444,1,13.4618,13.2439,13.698,12.7829,13.1245,13.235,14.0775,12.8414
3elt_dual,9000,9000,26556,1,11.4423,11.4,11.4034,11.4069,11.6492,11.2471,11.9707,11.3682
494_bus,494,494,1666,1,2.3717,2.3445,2.23747,2.58412,2.60481,2.50015,2.07885,2.34835
598a,110971,110971,1483868,1,13.0226,13.1548,13.0071,13.4162,13.3782,13.567,13.3615,10.6369
662_bus,662,662,2474,1,3.80306,3.70364,2.94016,3.74674,3.28056,3.51613,3.97373,3.7127
685_bus,685,685,3249,1,4.3854,4.77562,4.34309,4.75771,4.92391,4.42714,5.15301,4.9944
ACTIVSg70K,69999,69999,238627,1,5.21811,5.27842,5.44485,5.62953,5.68748,5.47636,5.59816,5.47911
AS365,3799275,3799275,22736152,1,4.13291,4.8783,3.96126,4.8947,5.00028,5.1512,5.3208,2.70122
Alemdar,6245,6245,42581,1,14.2411,11.3143,13.8948,12.3088,13.7652,,13.5259,13.405
Andrews,60000,60000,760154,1,12.4907,12.7762,12.7234,12.6196,12.9026,12.893,13.2112,12.3943
BenElechi1,245874,245874,13150496,1,7.18083,7.32534,7.2267,7.26851,7.65545,7.04656,6.84457,6.97363
Binaryalphadigs_10NN,1404,1404,19392,1,13.523,13.8169,14.031,13.3603,14.031,14.0737,14.1694,14.1454
Bump_2911,2911419,2911419,127729899,1,6.44377,6.5573,6.30919,6.80121,6.78974,6.646,6.61592,6.37538
CO,221119,221119,7666057,1,7.84373,7.79426,7.7464,7.76298,7.62481,7.77317,7.65903,8.07231
Chem97ZtZ,2541,2541,7361,1,7.0918,7.20822,7.26787,7.49532,7.29807,7.32513,7.43189,4.71236
Cube_Coup_dt0,2164760,2164760,127206144,1,6.32827,6.46378,6.68069,6.83799,6.54158,6.92364,6.50176,6.87876
Cube_Coup_dt6,2164760,2164760,127206144,1,6.54598,6.47164,6.60822,6.93655,6.61208,6.74445,6.64056,6.45759
CurlCurl_0,11083,11083,113343,1,17.9183,19.1814,18.2714,19.4457,19.0806,18.5471,19.8485,20.7133
CurlCurl_1,226451,226451,2472071,1,14.2262,13.9327,14.0425,12.9262,13.1642,13.8169,12.7144,14.2481
CurlCurl_2,806529,806529,8921789,1,6.39587,6.55725,6.56629,6.76739,6.51637,6.30685,6.75555,6.28618
CurlCurl_3,1219574,1219574,13544618,1,5.99169,6.21096,5.81578,6.06199,6.08515,6.19587,6.16238,5.81034
CurlCurl_4,2380515,2380515,26515867,1,5.37542,5.64503,5.27688,5.77462,5.87795,5.63578,5.83094,5.46509
Dubcova1,16129,16129,253009,1,20.1537,21.6847,20.4645,21.0402,21.5151,,16.7223,14.0115
Dubcova2,65025,65025,1030225,1,21.1001,21.8134,20.0318,22.1076,22.5492,22.1278,21.0036,14.0759
Dubcova3,146689,146689,3636649,1,10.2926,9.96323,10.0889,9.94499,10.1157,10.2661,10.046,7.60902
EX1,560,560,8736,1,8.45635,8.36771,8.75428,9.03899,9.30807,9.0216,9.18278,9.6853
EX2,560,560,8736,1,8.61953,8.88698,9.98426,8.91443,9.82735,9.60595,8.99996,9.66036
EX3,2600,2600,71760,1,18.3577,18.57,18.8344,18.4798,18.5644,17.8754,18.846,18.0481
EX4,2600,2600,71760,1,18.362,18.2198,18.7656,18.5835,18.288,18.4235,18.4445,18.2847
EX5,6545,6545,295680,1,17.4908,17.7534,17.7934,17.6304,17.7034,,17.9799,17.6901
EX6,6545,6545,295680,1,17.7959,17.7294,17.8728,17.7012,17.6436,,17.9692,17.7346
Ecoli_10NN,336,336,4560,1,6.37742,6.49587,6.08799,6.32592,6.2934,5.96923,6.45519,5.42823
Emilia_923,923136,923136,41005206,1,6.6062,6.44109,6.64925,6.66525,6.4617,6.77979,6.6435,6.50328
Erdos02,6927,6927,16944,1,4.06037,7.79916,3.45309,7.68387,8.33703,5.20148,3.94268,3.48568
Erdos971,472,472,2628,1,,4.05576,3.53719,4.26575,3.58551,4.18819,3.87343,4.02108
Erdos972,5488,5488,14170,1,4.12328,8.03534,3.92592,8.18667,8.02369,4.87306,6.77876,3.59054
Erdos981,485,485,2762,1,,3.79606,3.59258,4.23971,3.44146,3.72455,4.08214,4.2171
Erdos982,5822,5822,14750,1,4.1596,8.26602,5.27527,8.02518,8.78773,4.91739,5.92839,3.50353
Erdos991,492,492,2834,1,3.43646,3.89253,3.20398,3.98036,3.33478,3.62368,4.1373,4.16847
Erdos992,6100,6100,15030,1,4.32808,6.93004,4.67642,7.37163,8.69288,5.51691,5.45445,3.40705
F1,343791,343791,26837113,1,6.72961,6.87929,6.91902,7.13956,6.84678,6.92764,6.99225,6.07627
