matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,0.723156,0.711731,0.680029,0.666557,0.70986,0.696974,0.686998,0.673251
144,144649,144649,2148786,1,26.3729,32.9794,29.849,31.0301,40.9051,42.5102,42.1967,19.5975
2cubes_sphere,101492,101492,1647264,1,24.5569,36.9085,31.7365,41.3766,43.6853,32.2528,48.4981,30.9389
333SP,3712815,3712815,22217266,1,14.4867,28.6091,9.81569,47.9921,30.647,35.1232,49.3244,7.26324
3dtube,45330,45330,3213618,1,66.7238,100.973,83.1274,99.3943,92.8481,91.0813,106.364,94.8376
3elt,4720,4720,27444,1,4.04596,4.33421,3.7014,4.29986,4.24008,4.27344,4.13782,3.91303
3elt_dual,9000,9000,26556,1,3.62835,3.92374,3.47592,3.90643,3.71228,3.79454,4.12556,3.76495
494_bus,494,494,1666,1,0.290953,0.298808,0.281134,0.297207,0.285691,0.297739,0.293258,0.283047
598a,110971,110971,1483868,1,22.9347,27.3224,24.2531,25.0956,35.4564,30.9287,34.9709,15.3719
662_bus,662,662,2474,1,0.4143,0.32967,0.43625,0.419609,0.432821,0.427213,0.415693,0.393823
685_bus,685,685,3249,1,0.568903,0.580597,0.557672,0.561521,0.570893,0.569403,0.556721,0.562988
ACTIVSg70K,69999,69999,238627,1,9.77897,15.3557,10.5106,14.6925,15.8356,15.9739,15.2722,12.4632
AS365,3799275,3799275,22736152,1,10.4876,34.5568,9.7625,42.5689,29.2059,27.865,26.7814,6.01217
Alemdar,6245,6245,42581,1,5.86195,5.09589,5.36923,5.30237,5.77012,,5.78623,4.17889
Andrews,60000,60000,760154,1,17.8916,20.05,17.8494,19.6602,22.88,21.1042,18.7239,15.1285
BenElechi1,245874,245874,13150496,1,147.965,139.949,148.483,143.398,73.076,143.649,149.049,154.851
Binaryalphadigs_10NN,1404,1404,19392,1,2.96172,2.86948,3.0431,3.02882,2.99371,2.88443,2.89519,2.77089
Bump_2911,2911419,2911419,127729899,1,13.8222,14.7978,13.8562,14.9617,14.9321,14.8916,14.9096,14.9491
CO,221119,221119,7666057,1,48.0745,87.85,65.6203,71.8196,83.2435,62.8548,66.8092,77.9277
Chem97ZtZ,2541,2541,7361,1,1.28554,1.18689,1.29571,1.27322,1.32737,1.16241,1.27552,1.12168
Cube_Coup_dt0,2164760,2164760,127206144,1,14.4591,15.2195,14.542,15.2409,15.2082,15.1494,15.1714,15.1812
Cube_Coup_dt6,2164760,2164760,127206144,1,14.4729,15.1196,14.6224,15.1754,15.2614,15.1655,15.1641,15.2636
CurlCurl_0,11083,11083,113343,1,12.0668,12.9884,11.8399,13.0332,13.2852,12.1514,14.2034,13.6871
CurlCurl_1,226451,226451,2472071,1,22.476,51.2313,28.0839,47.4118,50.1236,44.1063,60.8465,49.8598
CurlCurl_2,806529,806529,8921789,1,23.1593,79.0434,33.5498,68.0574,76.6187,63.6543,81.6977,70.0408
CurlCurl_3,1219574,1219574,13544618,1,22.3445,77.2334,41.078,64.6018,74.0459,74.5482,82.7354,72.3711
CurlCurl_4,2380515,2380515,26515867,1,12.3183,37.4382,13.5952,28.1737,32.2508,29.1047,27.0323,14.5073
Dubcova1,16129,16129,253009,1,24.2229,19.2248,22.8533,21.2202,23.2738,,29.7429,17.1433
Dubcova2,65025,65025,1030225,1,40.2204,37.2893,37.2145,39.0148,47.2971,37.3297,67.8473,22.9492
Dubcova3,146689,146689,3636649,1,97.1536,66.4829,66.1558,75.974,92.3453,73.7433,122.727,31.6586
EX1,560,560,8736,1,1.44111,1.43062,1.47543,1.44709,1.42246,1.46787,1.46663,1.46049
EX2,560,560,8736,1,1.4593,1.54197,1.46787,1.40746,1.37414,1.45807,1.33833,1.50725
EX3,2600,2600,71760,1,7.53507,9.9542,9.9542,10.0455,10.1449,9.67895,9.99649,8.99756
EX4,2600,2600,71760,1,9.65288,10.0308,9.22375,9.93351,10.0028,7.97998,9.69867,10.2317
EX5,6545,6545,295680,1,26.6835,27.2867,26.6354,28.349,27.4783,,26.7546,25.0099
EX6,6545,6545,295680,1,28.1588,29.0039,26.1851,30.1436,24.7264,,27.3892,27.2239
Ecoli_10NN,336,336,4560,1,0.761072,0.811967,0.804083,0.750443,0.735907,0.762992,0.786067,0.759817
Emilia_923,923136,923136,41005206,1,13.7388,15.0396,15.4811,18.4421,17.6074,16.759,19.0227,19.2481
Erdos02,6927,6927,16944,1,2.46528,2.21359,1.84525,2.41939,2.23404,1.75069,1.84014,1.7849
Erdos971,472,472,2628,1,,0.428258,0.442686,0.447588,0.418303,0.417676,0.435353,0.417013
Erdos972,5488,5488,14170,1,1.9346,2.03198,1.74809,1.91124,2.02182,1.56272,2.02039,1.5776
Erdos981,485,485,2762,1,,0.476127,0.475259,0.466833,0.447869,0.479432,0.478185,0.461759
Erdos982,5822,5822,14750,1,2.01254,2.12291,1.77049,2.11211,2.18908,1.65506,2.05905,1.62758
Erdos991,492,492,2834,1,0.471433,0.471817,0.488499,0.491935,0.458834,0.487238,0.464095,0.471822
Erdos992,6100,6100,15030,1,2.14609,2.13086,1.93436,1.99482,2.20447,1.59588,2.07054,1.58578
F1,343791,343791,26837113,1,48.4288,46.8421,53.1484,56.6158,55.8508,25.2029,28.4978,25.7974
F2,71505,71505,5294285,1,69.3682,73.4363,91.6742,72.5141,93.6394,81.7026,100.2,39.4144
Fashion_MNIST_norm_10NN,10000,10000,158304,1,15.3247,14.4887,14.7595,14.2603,12.8765,14.9055,14.4821,13.2939
Fault_639,638802,638802,28614564,1,35.1571,31.1477,29.501,51.2219,42.5132,40.4916,39.2557,36.716
Flan_1565,1564794,1564794,117406044,1,15.1827,15.4853,14.9051,15.5864,15.4105,15.4558,15.3846,15.4264
G1,800,800,38352,1,6.11969,6.09534,6.06639,6.23457,6.47678,5.96684,6.00896,5.92536
G10,800,800,38352,1,5.79064,6.16389,5.85756,6.1393,5.9906,6.07125,6.22444,6.05691
G11,800,800,3200,1,0.56279,0.592537,0.600931,0.57699,0.537228,0.57184,0.578611,0.566823
G12,800,800,3200,1,0.564779,0.556422,0.563286,0.573882,0.53498,0.550681,0.589266,0.561308
G13,800,800,3200,1,0.553007,0.54879,0.567777,0.565767,0.53904,0.54969,0.552102,0.545468
G14,800,800,9388,1,1.47561,1.5198,1.37091,1.48368,1.15965,1.59756,1.51983,1.50642
G15,800,800,9322,1,1.47686,1.456,1.49822,1.50066,1.48748,1.51171,1.55198,1.50683
G16,800,800,9344,1,1.5066,1.54906,1.52504,1.54664,1.54014,1.52505,1.54522,1.46515
G17,800,800,9334,1,1.56047,1.47165,1.59938,1.54243,1.55012,1.52977,1.48928,1.46947
G18,800,800,9388,1,1.55906,1.53237,1.56169,1.53347,1.19814,1.58141,1.49681,1.51126
G19,800,800,9322,1,1.58092,1.5379,1.49825,1.57029,1.51652,1.57559,1.51158,1.52519
G2,800,800,38352,1,5.89804,6.13919,5.98549,5.83971,6.23918,5.86654,5.88445,5.99066
G20,800,800,9344,1,1.20259,1.55563,1.49457,1.53384,1.4898,1.57265,1.57002,1.45602
G21,800,800,9334,1,1.52352,1.50378,1.52468,1.50743,1.49534,1.54626,1.48348,1.49896
G22,2000,2000,39980,1,5.57292,5.82082,4.54213,5.62426,5.85526,5.87685,5.85531,5.80852
G23,2000,2000,39980,1,5.75378,5.56903,5.80385,5.70455,5.9291,5.82967,5.70451,5.88546
G24,2000,2000,39980,1,5.61639,5.43275,5.79543,5.88108,5.83779,5.76624,5.63177,5.71676
G25,2000,2000,39980,1,5.7455,5.59671,5.95563,5.73724,5.78294,5.99582,5.75373,5.64408
G26,2000,2000,39980,1,5.9291,5.54968,5.64808,5.77914,5.84674,5.69226,5.79964,6.01836
G27,2000,2000,39980,1,5.7208,5.82541,5.86391,5.66008,6.11502,5.7249,5.8123,5.53814
G28,2000,2000,39980,1,5.82502,5.8596,5.90718,5.82541,5.90281,5.99127,5.58071,5.62817
G29,2000,2000,39980,1,5.76662,5.85102,5.78703,5.61639,5.7704,5.72901,5.58497,5.75792
G2_circuit,150102,150102,726674,1,12.6399,25.8751,14.2981,24.6569,24.1275,24.2124,29.8037,23.2685
G3,800,800,38352,1,6.07612,6.09534,5.99017,6.26516,6.53251,6.11429,6.06644,5.91164
G30,2000,2000,39980,1,5.98229,5.77458,5.9291,5.80434,6.11078,5.9116,5.72906,5.26779
G31,2000,2000,39980,1,5.7455,5.57328,5.79172,5.66008,5.91593,5.79543,5.54198,5.73724
G32,2000,2000,8000,1,1.30146,1.3947,1.33636,1.07685,1.30889,1.36136,1.4082,1.44001
G33,2000,2000,8000,1,1.36951,1.33079,1.31654,1.30685,1.32858,1.333,1.37788,1.0263
G34,2000,2000,8000,1,1.39349,1.29934,1.26643,1.41443,1.28991,1.31427,1.36494,1.37552
G35,2000,2000,23556,1,3.4934,3.28834,3.40728,2.75299,3.42487,3.33726,3.51451,3.55968
G36,2000,2000,23532,1,3.43609,3.31255,3.41617,3.30318,3.454,3.34096,3.28728,3.56653
G37,2000,2000,23570,1,3.53477,3.48512,3.3204,3.31339,3.4877,3.54542,3.39234,3.40188
G38,2000,2000,23558,1,3.51713,3.32553,3.48335,3.47027,3.3234,3.49116,3.43487,3.47053
G39,2000,2000,23556,1,3.51946,3.45245,3.62813,3.54338,3.47027,3.2676,3.44992,3.33464
G3_circuit,1585478,1585478,7660826,1,15.2743,66.5803,18.7278,43.1313,60.5486,65.8608,80.3455,34.3212
G4,800,800,38352,1,5.82154,6.16896,6.00896,5.98081,5.98592,5.98081,6.03731,5.89351
G40,2000,2000,23532,1,3.22179,3.36001,3.47436,3.23282,3.36007,3.40624,3.29626,3.27334
G41,2000,2000,23570,1,3.4319,3.56176,3.59165,3.53477,3.51398,3.5245,3.46719,3.37026
G42,2000,2000,23558,1,3.55164,3.22957,3.33045,3.46545,3.41521,3.36135,3.22535,3.38547
G43,1000,1000,19980,1,3.09171,3.19068,3.2717,3.05854,3.0703,3.18559,3.24507,3.1477
G44,1000,1000,19980,1,3.09405,3.20343,3.13806,3.07503,3.18051,3.20346,3.20603,3.20346
G45,1000,1000,19980,1,3.09433,3.19579,3.07267,3.16789,3.17041,3.28806,3.27701,3.17798
G46,1000,1000,19980,1,3.19318,3.20864,2.49734,3.1231,3.13806,2.58472,3.1477,3.05389
G47,1000,1000,19980,1,3.08216,3.1479,3.19835,3.14796,3.07741,3.16766,3.05386,3.18814
G48,3000,3000,12000,1,,1.83542,1.90704,1.83555,1.92398,1.898,2.08298,1.98774
G49,3000,3000,12000,1,,1.95218,2.04725,1.88769,1.98627,1.96031,1.98281,1.9539
G5,800,800,38352,1,6.13439,5.72165,5.79992,5.99017,6.0905,6.0905,5.80431,5.93914
G50,3000,3000,12000,1,2.04028,1.85829,1.96173,1.96495,1.77173,1.8583,2.0615,1.90718
G51,1000,1000,11818,1,1.79522,1.48187,1.86346,1.87527,1.89328,1.82307,1.85744,1.81327
G52,1000,1000,11832,1,1.85092,1.925,1.89552,1.85396,1.85542,1.82664,1.88198,1.92642
G53,1000,1000,11828,1,1.91035,1.98077,1.91795,1.91948,1.9133,1.86063,2.00084,1.8232
G54,1000,1000,11832,1,1.95038,2.00489,2.0017,1.87753,1.84528,1.83797,1.85688,1.8895
G55,5000,5000,24996,1,2.75363,3.08382,3.13625,3.10491,2.88586,3.13213,2.52256,3.14001
G56,5000,5000,24996,1,3.03684,3.17005,2.72958,3.10106,3.09146,3.08575,3.14217,2.85767
G57,5000,5000,20000,1,3.00842,2.92483,2.86594,2.76666,2.78976,2.8076,2.94637,3.15111
G58,5000,5000,59140,1,6.78485,6.25257,6.46157,6.55842,6.34004,6.00771,6.36431,5.34912
G59,5000,5000,59140,1,6.38491,6.96876,5.82085,6.81964,7.13736,6.89564,6.30961,5.84994
G6,800,800,38352,1,6.16891,5.82196,6.12452,6.16394,6.21388,6.0094,5.98592,5.71733
G60,7000,7000,34296,1,3.7719,3.72865,3.52876,2.70815,3.80963,3.83752,3.47513,3.19761
G61,7000,7000,34296,1,3.75313,3.42824,3.38576,3.34922,3.7329,3.67667,3.13607,3.37062
G62,7000,7000,28000,1,4.07955,3.90024,3.08812,3.947,3.95846,4.09748,4.38358,4.44302
G63,7000,7000,82918,1,7.91202,7.62391,7.96903,7.43894,7.70903,7.59951,8.22234,6.48048
G64,7000,7000,82918,1,6.88517,7.04336,7.76352,7.603,7.26585,8.39761,7.99596,7.16199
G65,8000,8000,32000,1,4.21359,4.34219,4.52358,4.2247,4.20776,4.26124,4.9174,4.96703
G66,9000,9000,36000,1,5.327,5.00069,4.94911,4.98373,4.61538,4.01472,5.26469,5.32705
G67,10000,10000,40000,1,5.36624,5.24248,5.34832,5.40247,5.42444,5.1414,6.03093,6.09015
G7,800,800,38352,1,6.07601,6.32191,6.10031,6.13382,5.82154,6.06644,5.73016,6.13925
G8,800,800,38352,1,6.3115,6.164,5.98081,5.743,6.08566,5.87548,6.3063,5.98598
G9,800,800,38352,1,6.30111,6.12458,6.20884,6.14904,6.04734,5.99485,5.92084,6.07125
GAP-road,23947347,23947347,57708624,1,6.22653,8.13011,6.67438,8.13326,7.66096,7.69386,8.19705,6.2296
GD06_theory,101,101,380,1,0.0628409,0.0637422,0.0709557,0.0643904,0.0665384,0.0681492,0.0641733,0.0661326
GD96_c,65,65,250,1,0.0439671,0.0435083,0.0450821,0.0434291,0.044715,0.0437753,0.0425784,0.0336293
GD97_a,84,84,332,1,0.0596,0.0600315,0.0559298,0.0566891,0.0564959,0.057629,0.0598143,0.0555972
