machine,matrix_name,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
AMD-Desktop,144,27.7564,30.87605,33.229150000000004,30.9691,42.6318,42.5509,31.29275,15.396450000000002
AMD-Desktop,2cubes_sphere,30.986,42.88355,38.4639,45.9123,48.52095,43.1073,35.021950000000004,41.5346
AMD-Desktop,333SP,17.258000000000003,13.06275,16.2965,13.47875,11.68745,11.7456,15.23305,9.43532
AMD-Desktop,3dtube,117.287,128.2855,118.62,116.644,129.619,132.259,120.495,116.8965
AMD-Desktop,3elt_dual,102.6405,102.498,106.719,102.843,116.2565,102.841,116.4585,102.5351
AMD-Desktop,598a,25.34785,24.11385,32.3967,25.37845,39.4804,31.7825,29.8959,12.64045
AMD-Desktop,ACTIVSg70K,11.8482,12.94835,12.5755,13.140149999999998,13.50305,13.1737,11.156,9.08547
AMD-Desktop,AS365,17.18,9.48874,17.07955,9.7333,8.733415,8.822714999999999,14.32075,7.69529
AMD-Desktop,Alemdar,146.42700000000002,118.8215,139.288,116.4285,150.3035,,126.085,120.9585
AMD-Desktop,Andrews,25.0551,27.1576,28.4381,23.65335,36.0812,36.7423,25.638,15.21565
AMD-Desktop,BenElechi1,134.361,147.625,126.197,151.83249999999998,148.7725,148.209,149.1725,149.278
AMD-Desktop,Bump_2911,59.01305,80.5283,63.69875,85.9272,88.66114999999999,86.92835,61.9714,81.08015
AMD-Desktop,CO,27.3948,35.39125,50.27265,30.1599,64.20095,43.6324,21.6401,28.554
AMD-Desktop,Cube_Coup_dt0,77.78215,102.0825,81.03135,103.102,111.499,109.842,98.53215,92.5886
AMD-Desktop,Cube_Coup_dt6,77.13300000000001,102.305,81.75735,101.4465,112.1,106.2085,97.608,96.8153
AMD-Desktop,CurlCurl_0,145.661,153.07600000000002,157.33499999999998,142.2405,132.87099999999998,136.41899999999998,142.25349999999997,135.2015
AMD-Desktop,CurlCurl_1,22.091,32.75755,29.27895,31.6348,34.96825,34.773,25.6447,28.9321
AMD-Desktop,CurlCurl_2,20.24475,31.103050000000003,27.89325,29.87245,34.4243,33.543949999999995,25.5449,28.526000000000003
AMD-Desktop,CurlCurl_3,20.19395,30.6825,27.6737,29.0754,31.8598,30.1238,24.5905,28.4202
AMD-Desktop,CurlCurl_4,20.2001,31.1884,26.5516,28.78735,28.80075,28.02435,24.11015,28.1832
AMD-Desktop,Dubcova1,141.1865,134.52,149.33350000000002,135.9315,148.34699999999998,,148.904,127.842
AMD-Desktop,Dubcova2,41.4558,36.8601,46.23715,47.2237,51.2669,48.9108,51.60475,26.5924
AMD-Desktop,Dubcova3,52.5353,49.0366,60.126450000000006,50.46335,67.7664,65.28455,62.9312,30.51915
AMD-Desktop,EX5,124.76,118.5595,120.035,130.608,118.301,,132.1295,126.186
AMD-Desktop,EX6,120.494,131.3585,124.253,125.9865,124.632,,128.1275,124.33
AMD-Desktop,Emilia_923,59.4054,85.21665,71.84909999999999,76.83279999999999,100.802,97.55485,78.97455,63.6744
AMD-Desktop,Erdos02,100.4795,79.40795,28.4548,77.4584,85.02510000000001,88.05645000000001,98.22605,87.37375
