matrix_name,reordering,m,k,nnz,nth,median_GFLOPS_yax_basic,median_GFLOPS_yax_flushed_basic,median_GFLOPS_yax_xyp_basic,median_GFLOPS_cg_basic_spmv,median_GFLOPS_cg_basic_all
Sandi_authors,baseline,86,86,248,1,0.312853,0.553755,0.6499524999999999,0.650976,0.4843065
Sandi_authors,baseline,86,86,248,2,0.3792535,0.3847825,0.3508595,0.422847,0.24498799999999998
Sandi_authors,baseline,86,86,248,4,0.367296,0.31450599999999995,0.3252005,0.380888,0.18607600000000002
Sandi_authors,baseline,86,86,248,8,0.226972,0.2094675,0.23610799999999998,0.26180499999999995,0.12137
Sandi_authors,baseline,86,86,248,9,0.202819,0.2019685,0.222434,0.2304775,0.10841999999999999
Sandi_authors,baseline,86,86,248,14,0.14339849999999998,0.1543475,0.1597445,0.1746935,0.07863239999999999
Sandi_authors,baseline,86,86,248,15,0.133641,0.145923,0.15385300000000002,0.1751615,0.07421915
Sandi_authors,baseline,86,86,248,16,0.1221485,0.140513,0.1471205,0.1514385,0.06837860000000001
Sandi_authors,baseline,86,86,248,17,0.124731,0.14032899999999998,0.14673599999999998,0.143227,0.06617075
Sandi_authors,baseline,86,86,248,18,0.1268135,0.127571,0.1336755,0.1376255,0.06337960000000001
bcsstm12,baseline,1473,1473,19659,1,2.00984,2.0708349999999998,2.08727,2.1526300000000003,2.164265
bcsstm12,baseline,1473,1473,19659,2,3.9475249999999997,3.960915,3.95312,4.06955,3.078195
bcsstm12,baseline,1473,1473,19659,4,6.994120000000001,7.01622,6.851765,7.108525,4.03315
bcsstm12,baseline,1473,1473,19659,8,10.1197,10.00765,9.456365,10.3462,3.78794
bcsstm12,baseline,1473,1473,19659,9,10.64355,10.53435,9.860925,10.6268,3.716765
bcsstm12,baseline,1473,1473,19659,14,10.5397,10.750250000000001,6.78752,10.2609,2.9647
bcsstm12,baseline,1473,1473,19659,15,10.77755,10.8721,7.92866,10.5186,2.870795
bcsstm12,baseline,1473,1473,19659,16,10.7493,10.5765,7.17879,10.461,2.757495
bcsstm12,baseline,1473,1473,19659,17,10.4159,11.04505,7.95197,7.541685,2.58869
