k_bin,nth,pearson_yax_cg,pearson_xyp_cg,subset_count_beforeNAdrop,yax_cg_subset_count,xyp_cg_subset_count
"[2, 4)",1,,,1,0,0
"[2, 4)",2,,,1,0,0
"[2, 4)",4,,,1,0,0
"[2, 4)",8,,,1,0,0
"[2, 4)",9,,,1,0,0
"[2, 4)",14,,,1,0,0
"[2, 4)",15,,,1,0,0
"[2, 4)",16,,,1,0,0
"[2, 4)",17,,,1,0,0
"[2, 4)",18,,,1,0,0
"[4, 8)",1,,,1,0,0
"[4, 8)",2,,,1,0,0
"[4, 8)",4,,,1,0,0
"[4, 8)",8,,,1,0,0
"[4, 8)",9,,,1,0,0
"[4, 8)",14,,,1,0,0
"[4, 8)",15,,,1,0,0
"[4, 8)",16,,,1,0,0
"[4, 8)",17,,,1,0,0
"[4, 8)",18,,,1,0,0
"[8, 16)",1,0.9834972063384866,0.9998069071606105,3,3,3
"[8, 16)",2,0.9997958419713006,0.9868081164855292,3,3,3
"[8, 16)",4,0.9912144772817886,0.9967080535896781,3,3,3
"[8, 16)",8,0.9981130943865393,0.9999976540371251,3,3,3
"[8, 16)",9,0.9999424544410547,0.9998749752634661,3,3,3
"[8, 16)",14,0.9994459229453266,0.9980073812756806,3,3,3
"[8, 16)",15,0.9979017342076888,0.997257520906321,3,3,3
"[8, 16)",16,0.9990556571157668,0.9987105412891737,3,3,3
"[8, 16)",17,0.9999682669476895,0.9987105930694781,3,3,3
"[8, 16)",18,0.9995483713715622,0.9978657001261919,3,3,3
"[16, 32)",1,0.8796254976227151,0.9940814433966866,7,7,7
"[16, 32)",2,0.9876968161556676,0.972017860680689,7,7,7
"[16, 32)",4,0.9947412636491922,0.9877375412467349,7,7,7
"[16, 32)",8,0.9969201997842537,0.9930679961740586,7,7,7
"[16, 32)",9,0.9879338897031641,0.9948775399718517,7,7,7
"[16, 32)",14,0.9987882299564699,0.9981380132296737,7,7,7
"[16, 32)",15,0.9958079458544055,0.9991678958875791,7,7,7
"[16, 32)",16,0.9949307046888624,0.9976087060868913,7,7,7
"[16, 32)",17,0.9855042391828085,0.9890417677975978,7,7,7
"[16, 32)",18,0.9923700895656273,0.9973725998176683,7,7,7
"[32, 64)",1,0.9071214550230675,0.9946672753642769,17,17,17
"[32, 64)",2,0.9320368283894958,0.9512646688646349,17,17,17
"[32, 64)",4,0.9907289471007736,0.9846229123339416,17,17,17
"[32, 64)",8,0.9853343283950506,0.9872618285818427,17,17,17
"[32, 64)",9,0.993937322041856,0.9860874839350989,17,17,17
"[32, 64)",14,0.997454332483074,0.9946676154149527,17,17,17
"[32, 64)",15,0.9898870549062158,0.9912003922533229,17,17,17
"[32, 64)",16,0.9933678050707233,0.9953662481824536,17,17,17
"[32, 64)",17,0.9934601606643116,0.9950369699135372,17,17,17
"[32, 64)",18,0.984730912700835,0.9911057950777602,17,17,17
"[64, 128)",1,0.9418758989666941,0.9891695328463693,26,26,26
"[64, 128)",2,0.9724556124178423,0.9870876149630506,26,26,26
"[64, 128)",4,0.9972035254976117,0.9797234965108946,26,26,26
"[64, 128)",8,0.997110817684198,0.9862841078724279,26,26,26
"[64, 128)",9,0.9960349128045084,0.973835550038719,26,26,26
"[64, 128)",14,0.99829645987753,0.9946363468441105,26,26,26
"[64, 128)",15,0.999057637821061,0.9950900902055717,26,26,26
"[64, 128)",16,0.9984794403161625,0.997934071894777,26,26,26
"[64, 128)",17,0.9988495700349564,0.9979204889195783,26,26,26
"[64, 128)",18,0.997616486946113,0.9998177477665223,26,26,26
"[128, 256)",1,0.9233953810086878,0.9710387072687593,31,31,31
"[128, 256)",2,0.9733330041884439,0.9678527926385037,31,31,31
"[128, 256)",4,0.9943102536357153,0.9297647043713528,31,31,31
"[128, 256)",8,0.9972709238566324,0.9760848329235675,31,31,31
"[128, 256)",9,0.9963042585393234,0.9892989352968345,31,31,31
"[128, 256)",14,0.992432858696774,0.9975309008862768,31,31,31
"[128, 256)",15,0.9969022374411078,0.9979155254344624,31,31,31
"[128, 256)",16,0.9978366199162707,0.9981619369725834,31,31,31
"[128, 256)",17,0.9922100786112619,0.9959632029701071,31,31,31
"[128, 256)",18,0.9969014055042521,0.9970611265196702,31,31,31
"[256, 512)",1,0.9144821786029091,0.9558964820737365,58,58,58
"[256, 512)",2,0.9433462328843042,0.8576263412402311,58,58,58
"[256, 512)",4,0.9862793671518215,0.8931647759528817,58,58,58
"[256, 512)",8,0.9939214226426801,0.953236669036149,58,58,58
"[256, 512)",9,0.9946385154010692,0.9842424248921722,58,58,58
"[256, 512)",14,0.994894090945039,0.9928111810093105,58,58,58
"[256, 512)",15,0.9979973151735767,0.9979455096897445,58,58,58
"[256, 512)",16,0.9973474309762723,0.9980434677011045,58,58,58
"[256, 512)",17,0.9977650508114064,0.9983991897715608,58,58,58
"[256, 512)",18,0.9977299983053521,0.996796748592611,58,58,58
"[512, 1024)",1,0.9130156983478702,0.8982482774342365,91,91,91
"[512, 1024)",2,0.9299769517879133,0.9435168485051527,91,91,91
"[512, 1024)",4,0.9825174879836667,0.8784284985040351,91,91,91
"[512, 1024)",8,0.9962918727063357,0.9536932323724826,91,91,91
"[512, 1024)",9,0.9971939583654069,0.9414044455099265,91,91,91
"[512, 1024)",14,0.9877607043649617,0.9507344919631318,91,91,91
"[512, 1024)",15,0.997460540791367,0.9733200803427994,91,91,91
"[512, 1024)",16,0.9948508795585006,0.9749617733351913,91,91,91
"[512, 1024)",17,0.9972125217474704,0.9881081639257601,91,91,91
"[512, 1024)",18,0.9951431080287026,0.9915036483499743,91,91,91
"[1024, 2048)",1,0.9495493031862193,0.9531008500167176,108,108,108
"[1024, 2048)",2,0.9513890949042325,0.9678480098346977,108,108,108
"[1024, 2048)",4,0.9740598333027013,0.9601125878919546,108,108,108
"[1024, 2048)",8,0.9912956684558977,0.9058788507994227,108,108,108
"[1024, 2048)",9,0.994438619755465,0.9047986322886701,108,108,108
"[1024, 2048)",14,0.9964754784313927,0.8906925374994207,108,108,108
"[1024, 2048)",15,0.9945152760394752,0.8975994570832941,108,108,108
"[1024, 2048)",16,0.9955656298797579,0.8996914610172336,108,108,108
"[1024, 2048)",17,0.9921441191414966,0.9139737823610009,108,108,108
"[1024, 2048)",18,0.9896980045312098,0.9237980150007404,108,108,108
"[2048, 4096)",1,0.9528597386546722,0.9388027590714328,78,78,78
"[2048, 4096)",2,0.9301697666404948,0.9555058479758145,78,78,78
"[2048, 4096)",4,0.9475637424164038,0.9438335704733352,78,78,78
