k_bin,nth,pearson_yax_cg,pearson_xyp_cg,subset_count_beforeNAdrop,yax_cg_subset_count,xyp_cg_subset_count
"[2, 4)",2,,,1,0,0
"[4, 8)",2,,,1,0,0
"[8, 16)",2,,,1,0,0
"[16, 32)",2,,,1,0,0
"[32, 64)",2,1.0,-1.0,2,2,2
"[32, 64)",4,,,1,0,0
"[64, 128)",2,0.9735654124624218,0.9719390550797469,8,8,8
"[64, 128)",4,0.9936501981392333,0.990013580996334,3,3,3
"[64, 128)",8,,,1,0,0
"[64, 128)",9,,,1,0,0
"[64, 128)",15,,,1,0,0
"[128, 256)",2,0.983237549904949,0.906685717896401,7,7,7
"[128, 256)",4,0.993915963067685,0.9479465121837547,24,24,24
"[128, 256)",8,0.9969372917212127,0.9920044125223847,9,9,9
"[128, 256)",9,1.0,1.0,2,2,2
"[128, 256)",14,,,1,0,0
"[256, 512)",2,0.9227107667902674,0.7306857901008129,18,18,18
"[256, 512)",4,0.9669139374526996,0.7314635991541045,39,39,39
"[256, 512)",8,0.9855481402745032,0.9432098677948093,33,33,33
"[256, 512)",9,0.9932134508055438,0.9805788768228828,12,12,12
"[256, 512)",14,0.8623173231594942,0.8928895053585298,5,5,5
"[256, 512)",16,,,1,0,0
"[256, 512)",18,,,1,0,0
"[512, 1024)",2,0.7893449462843869,0.6831086338044944,4,4,4
"[512, 1024)",4,0.961115286517108,0.7681109775869409,31,31,31
"[512, 1024)",8,0.9875799081208714,0.9318874388240639,51,51,51
"[512, 1024)",9,0.9932510416665589,0.920772523815163,39,39,39
"[512, 1024)",14,0.9924156101497137,0.9628758519953968,39,39,39
"[512, 1024)",15,0.9950137650840835,0.9583606589514828,22,22,22
"[512, 1024)",16,0.9709521992651281,0.9619935547397941,15,15,15
"[512, 1024)",17,0.9905243111208165,0.9727875646473094,11,11,11
"[512, 1024)",18,0.9882590483282392,0.9385239498254468,8,8,8
"[1024, 2048)",2,0.9934012593663156,0.985209991307334,3,3,3
"[1024, 2048)",4,0.9700291938257697,0.8489420973025051,20,20,20
"[1024, 2048)",8,0.9904080990949047,0.8819511893670934,48,48,48
"[1024, 2048)",9,0.9947005969579512,0.8442347721716593,37,37,37
"[1024, 2048)",14,0.9960912032441211,0.9202279216484778,71,71,71
"[1024, 2048)",15,0.9951443179201863,0.9342458123289028,56,56,56
"[1024, 2048)",16,0.9952286612333053,0.9382843135565653,61,61,61
"[1024, 2048)",17,0.9843657377238442,0.9420815131392217,53,53,53
"[1024, 2048)",18,0.9778120786421403,0.9180659647778374,58,58,58
"[2048, 4096)",2,,,1,0,0
"[2048, 4096)",4,0.9720716103954835,0.721227405928755,10,10,10
"[2048, 4096)",8,0.9684422170005148,0.8801664639172558,23,23,23
"[2048, 4096)",9,0.9786713669884016,0.911349594140506,29,29,29
"[2048, 4096)",14,0.9947847025913534,0.9166652520453915,37,37,37
"[2048, 4096)",15,0.9952517390780321,0.9058303857122039,34,34,34
"[2048, 4096)",16,0.9936136863193699,0.9036334841833804,33,33,33
"[2048, 4096)",17,0.9943490959273098,0.9371787787095178,34,34,34
"[2048, 4096)",18,0.9957874091460693,0.9223139282625814,39,39,39
"[4096, 8192)",2,,,1,0,0
"[4096, 8192)",4,0.8592564441820821,0.9457693860378964,5,5,5
"[4096, 8192)",8,0.9639134800823235,0.7944520477867227,12,12,12
"[4096, 8192)",9,0.9808358519649724,0.7597921599447164,22,22,22
"[4096, 8192)",14,0.9873726891135387,0.7773324128684626,27,27,27
"[4096, 8192)",15,0.9753216869754203,0.7847120321948546,22,22,22
"[4096, 8192)",16,0.9883647514788167,0.8150527474186061,29,29,29
"[4096, 8192)",17,0.9828581558755166,0.8981775289644031,34,34,34
"[4096, 8192)",18,0.9895133975635666,0.36459064832064053,34,34,34
"[8192, 16384)",2,,,1,0,0
"[8192, 16384)",4,0.9396502496039776,0.8893853696645144,3,3,3
"[8192, 16384)",8,0.9684386999508071,0.9926596646825868,6,6,6
"[8192, 16384)",9,0.957433948659337,0.961870074103162,10,10,10
"[8192, 16384)",14,0.9906559545874193,0.9943423910387983,7,7,7
"[8192, 16384)",15,0.97492496797777,0.9088049066784236,12,12,12
"[8192, 16384)",16,0.9681861194506091,0.3212528690367025,11,11,11
"[8192, 16384)",17,0.9735436354585569,0.35325626637573504,13,13,13
"[8192, 16384)",18,0.9843803106894147,0.8531641700546684,16,16,16
"[16384, 32768)",2,0.647964768442512,0.9522958934945291,7,7,7
"[16384, 32768)",4,0.8574140716998189,0.9756268726585524,12,12,12
"[16384, 32768)",8,0.8911214365490114,0.9765028602188548,15,15,15
"[16384, 32768)",9,0.8569010163106847,0.9768412614274201,18,18,18
"[16384, 32768)",14,0.9208478379925659,0.8428385072981133,18,18,18
