k_bin,nth,n,pearson_median_GFLOPs_spmm_basic_vs_median_GFLOPs_spmm_GCN,pearson_median_GFLOPs_spmm_basic_xyp_vs_median_GFLOPs_spmm_GCN,subset_count_beforeNAdrop,median_GFLOPs_spmm_basic_vs_median_GFLOPs_spmm_GCN_count,median_GFLOPs_spmm_basic_xyp_vs_median_GFLOPs_spmm_GCN_count
"[2, 4)",1,8,,,1,0,0
"[2, 4)",1,64,,,1,0,0
"[2, 4)",9,8,,,1,0,0
"[2, 4)",9,64,,,1,0,0
"[2, 4)",17,8,,,1,0,0
"[2, 4)",17,64,,,1,0,0
"[2, 4)",18,8,,,1,0,0
"[2, 4)",18,64,,,1,0,0
"[4, 8)",1,8,,,1,0,0
"[4, 8)",1,64,,,1,0,0
"[4, 8)",9,8,,,1,0,0
"[4, 8)",9,64,,,1,0,0
"[4, 8)",17,8,,,1,0,0
"[4, 8)",17,64,,,1,0,0
"[4, 8)",18,8,,,1,0,0
"[4, 8)",18,64,,,1,0,0
"[8, 16)",1,8,0.9453372702324134,0.9998539191211114,3,3,3
"[8, 16)",1,64,0.9999591854820332,0.9983146692502569,3,3,3
"[8, 16)",9,8,0.9993864528959495,0.9979633912224084,3,3,3
"[8, 16)",9,64,0.9852309265999484,0.9998887023961923,3,3,3
"[8, 16)",17,8,0.9999103915376484,0.9992798237428221,3,3,3
"[8, 16)",17,64,0.9999999416780607,0.9992679657847078,3,3,3
"[8, 16)",18,8,0.9998512315106799,0.9983862256515895,3,3,3
"[8, 16)",18,64,0.9987055934128874,0.9975748554737847,3,3,3
"[16, 32)",1,8,0.957446063584824,0.9324056984392256,7,7,7
"[16, 32)",1,64,0.9908727797907547,0.9633411590877597,7,7,7
"[16, 32)",9,8,0.9825610203862324,0.9890441626561519,7,7,7
"[16, 32)",9,64,0.9650337205669848,0.978837996423167,7,7,7
"[16, 32)",17,8,0.9937694383937916,0.9940452009869383,7,7,7
"[16, 32)",17,64,0.9810714793349273,0.9964758204766738,7,7,7
"[16, 32)",18,8,0.978726123902843,0.9888503519321149,7,7,7
"[16, 32)",18,64,0.9945895613528709,0.9891248331196266,7,7,7
"[32, 64)",1,8,0.9229305542809654,0.6386727366529713,17,17,17
"[32, 64)",1,64,0.9759409995920558,0.9827635617909012,17,17,17
"[32, 64)",9,8,0.9931795982164341,0.9933185920326507,17,17,17
"[32, 64)",9,64,0.9801679196768047,0.9918607643454385,17,17,17
"[32, 64)",17,8,0.996184981209822,0.9980917623665013,17,17,17
"[32, 64)",17,64,0.9932537330078269,0.9961729179557787,17,17,17
"[32, 64)",18,8,0.9980240722999478,0.9977522672370946,17,17,17
"[32, 64)",18,64,0.9932897957339076,0.9981952784893644,17,17,17
"[64, 128)",1,8,0.9545095619065372,0.8909799009406785,26,26,26
"[64, 128)",1,64,0.9881497490942043,0.9813466009361472,26,26,26
"[64, 128)",9,8,0.9980056773784429,0.9794852968686331,26,26,26
"[64, 128)",9,64,0.9859367010631532,0.9837724888046878,26,26,26
"[64, 128)",17,8,0.9977137842594689,0.9980284476513681,26,26,26
"[64, 128)",17,64,0.9700962555630512,0.9914864166605659,26,26,26
"[64, 128)",18,8,0.9997602119444703,0.9998785449207676,26,26,26
"[64, 128)",18,64,0.9977436607228876,0.9924563278784805,26,26,26
"[128, 256)",1,8,0.9908823729894985,0.9671938786513532,31,31,31
"[128, 256)",1,64,0.9764022903675659,0.9787124549557066,31,31,31
"[128, 256)",9,8,0.9913546652828056,0.9390417308741866,31,31,31
"[128, 256)",9,64,0.9189113388218432,0.9565244744189867,31,31,31
"[128, 256)",17,8,0.9884626832835959,0.9934120054915465,31,31,31
"[128, 256)",17,64,0.9094421520111309,0.9793098291256834,31,31,31
"[128, 256)",18,8,0.9903219574420141,0.9968198916709738,31,31,31
"[128, 256)",18,64,0.9653674446281674,0.9704062643648661,31,31,31
"[256, 512)",1,8,0.9106392509089606,0.9240830726372502,58,58,58
"[256, 512)",1,64,0.9360566953101439,0.8579944137173966,58,58,58
"[256, 512)",9,8,0.9835732878461956,0.9328429581542395,58,58,58
