k_bin,nth,pearson_median_GFLOPS_yax_spmv_basic_vs_median_GFLOPS_cg_basic_spmv,pearson_median_GFLOPS_yax_xyp_spmv_basic_vs_median_GFLOPS_cg_basic_spmv,subset_count_beforeNAdrop,median_GFLOPS_yax_spmv_basic_vs_median_GFLOPS_cg_basic_spmv_count,median_GFLOPS_yax_xyp_spmv_basic_vs_median_GFLOPS_cg_basic_spmv_count
"[2, 4)",1,,,1,0,0
"[2, 4)",9,,,1,0,0
"[2, 4)",17,,,1,0,0
"[2, 4)",18,,,1,0,0
"[4, 8)",1,,,1,0,0
"[4, 8)",9,,,1,0,0
"[4, 8)",17,,,1,0,0
"[4, 8)",18,,,1,0,0
"[8, 16)",1,0.9999944213747239,0.9999835692720552,3,3,3
"[8, 16)",9,0.9923776558871245,0.9975465303528116,3,3,3
"[8, 16)",17,0.9999469588479077,0.9984043424080595,3,3,3
"[8, 16)",18,0.9992813759502231,0.9975774571611409,3,3,3
"[16, 32)",1,0.9971120892917643,0.9092131889917514,7,7,7
"[16, 32)",9,0.9944796993215331,0.9962332736745808,7,7,7
"[16, 32)",17,0.9924204023362246,0.9953697458341806,7,7,7
"[16, 32)",18,0.9971114475691911,0.9976193399786777,7,7,7
"[32, 64)",1,0.9947768247421371,0.9771945229377085,17,17,17
"[32, 64)",9,0.9928236485733855,0.993712094592824,17,17,17
"[32, 64)",17,0.9966811081924212,0.9932813471257141,17,17,17
"[32, 64)",18,0.9932079116789112,0.9915843909203145,17,17,17
"[64, 128)",1,0.9967222024186952,0.9983909249643783,26,26,26
"[64, 128)",9,0.9993568561137387,0.9945944450709174,26,26,26
"[64, 128)",17,0.9995184567494558,0.9991469705035224,26,26,26
"[64, 128)",18,0.9995481021080787,0.9990719322177453,26,26,26
"[128, 256)",1,0.9944656317614469,0.99733108111011,31,31,31
"[128, 256)",9,0.9981985936610949,0.9853726657544151,31,31,31
"[128, 256)",17,0.9979518138944389,0.9969605419306447,31,31,31
"[128, 256)",18,0.9970143998562782,0.9970261612273426,31,31,31
"[256, 512)",1,0.9662565065773984,0.9839817686932977,58,58,58
"[256, 512)",9,0.9973315013682308,0.9612597698962715,58,58,58
"[256, 512)",17,0.9985208290391473,0.9881856212188727,58,58,58
"[256, 512)",18,0.9987456267146201,0.9987795870727678,58,58,58
"[512, 1024)",1,0.9732623831346886,0.9946701487487201,91,91,91
"[512, 1024)",9,0.9965656491675343,0.9467425268666336,91,91,91
"[512, 1024)",17,0.9964402769130847,0.9804071267527061,91,91,91
"[512, 1024)",18,0.9979612180011062,0.9990134657855071,91,91,91
"[1024, 2048)",1,0.9874445889556652,0.9957332805567753,108,108,108
"[1024, 2048)",9,0.9957423123691194,0.9472321933488358,108,108,108
"[1024, 2048)",17,0.9959220864354246,0.9302915851233313,108,108,108
"[1024, 2048)",18,0.9967511183718035,0.9830192264765327,108,108,108
"[2048, 4096)",1,0.9984119055133963,0.9993538252101345,78,78,78
"[2048, 4096)",9,0.9881586191628559,0.9685739718529294,78,78,78
"[2048, 4096)",17,0.9973198181332261,0.9597195831260016,78,78,78
"[2048, 4096)",18,0.9982392299394307,0.9955430774124505,78,78,78
"[4096, 8192)",1,0.9991847197138733,0.9995398107279216,104,104,104
"[4096, 8192)",9,0.9923529845971558,0.9941752852287865,104,104,104
"[4096, 8192)",17,0.995753137429951,0.9849523437502283,104,104,104
"[4096, 8192)",18,0.9962726512469797,0.9996120488056932,104,104,104
"[8192, 16384)",1,0.9977514203889348,0.9991168282576119,123,123,123
"[8192, 16384)",9,0.9924285979747012,0.9996008786097886,123,123,123
"[8192, 16384)",17,0.994272711945523,0.9987740041743862,123,123,123
"[8192, 16384)",18,0.9947741229942574,0.9997564403973904,123,123,123
"[16384, 32768)",1,0.994727920842951,0.998949023566733,118,118,118
"[16384, 32768)",9,0.9703711626169321,0.9996025449405285,118,118,118
"[16384, 32768)",17,0.9798963832640151,0.9997123726766066,118,118,118
"[16384, 32768)",18,0.9808432742074354,0.9996808606830853,118,118,118
"[32768, 65536)",1,0.9971920176816191,0.9991650277680739,97,97,97
"[32768, 65536)",9,0.9596042248693589,0.9994943014387014,97,97,97
"[32768, 65536)",17,0.9617024453695782,0.9991124451202638,97,97,97
"[32768, 65536)",18,0.957028907403237,0.999631162420089,97,97,97
"[65536, 131072)",1,0.9965959407485293,0.9986359202297761,85,85,85
"[65536, 131072)",9,0.9907307206939096,0.9994363812494279,85,85,85
"[65536, 131072)",17,0.9873606697833043,0.9991542274287257,85,85,85
"[65536, 131072)",18,0.9877660384736873,0.999199048553103,85,85,85
"[131072, 262144)",1,0.9938670358961927,0.9935320620908492,71,71,71
"[131072, 262144)",9,0.9947898172204439,0.9950426085461769,71,71,71
"[131072, 262144)",17,0.9916809354051114,0.9982090187163285,71,71,71
"[131072, 262144)",18,0.992783372605472,0.9983940769925532,71,71,71
"[262144, 524288)",1,0.9791326089271484,0.974922358637647,50,50,50
"[262144, 524288)",9,0.9719250512491204,0.9807596613881476,50,50,50
"[262144, 524288)",17,0.9532236799453919,0.9777120958723309,50,50,50
"[262144, 524288)",18,0.9601546160318133,0.9820593023706179,50,50,50
"[524288, 1048576)",1,0.9765020048986461,0.9910136544047575,24,24,24
"[524288, 1048576)",9,0.9261714360192794,0.945739874349879,24,24,24
"[524288, 1048576)",17,0.9305803381269867,0.967133556322143,24,24,24
"[524288, 1048576)",18,0.934710375691054,0.9608632033357017,24,24,24
"[1048576, 2097152)",1,0.9805458616129221,0.8628918972361961,26,26,26
"[1048576, 2097152)",9,0.9754358143459901,0.9809717465922208,26,26,26
"[1048576, 2097152)",17,0.9357637825645965,0.925653484999007,26,26,26
"[1048576, 2097152)",18,0.9329098076188739,0.919220944535395,26,26,26
"[2097152, 4194304)",1,0.9962771658315507,0.9932375562859651,18,18,18
"[2097152, 4194304)",9,0.9945848727442006,0.9990209701519509,18,18,18
"[2097152, 4194304)",17,0.9970095674855084,0.9990552692907563,18,18,18
"[2097152, 4194304)",18,0.9975319720695209,0.9986797943415111,18,18,18
"[4194304, 8388608)",1,0.9987894709829749,0.9973647922431723,11,11,11
"[4194304, 8388608)",9,0.9917566198069213,0.9964115493369151,11,11,11
"[4194304, 8388608)",17,0.9808714482922174,0.9962544536555294,11,11,11
"[4194304, 8388608)",18,0.9651246637493038,0.993295840486056,11,11,11
"[8388608, 16777216)",1,0.994706333222403,0.993102111713341,8,8,8
"[8388608, 16777216)",9,0.9813585758938673,0.9837479866049893,8,8,8
"[8388608, 16777216)",17,0.9834113329696013,0.9935885424375396,8,8,8
"[8388608, 16777216)",18,0.9837165747952474,0.992452525876818,8,8,8
"[16777216, 33554432)",1,0.9993377467621849,0.9993318455009722,8,8,8
"[16777216, 33554432)",9,0.9996545676619284,0.9994102598468564,8,8,8
"[16777216, 33554432)",17,0.9998799297308477,0.9999060117056157,8,8,8
"[16777216, 33554432)",18,0.9998231915940263,0.9999086473285453,8,8,8
"[33554432, 67108864)",1,0.999917568116946,0.9998795945227091,3,3,3
"[33554432, 67108864)",9,0.9989298658501504,0.9992695148417894,3,3,3
"[33554432, 67108864)",17,0.9999444192486013,0.9999781907506111,3,3,3
"[33554432, 67108864)",18,0.9999686363168305,0.999947679967035,3,3,3
