k_bin,nth,n,pearson_median_GFLOPs_spmm_basic_vs_median_GFLOPs_spmm_GCN,pearson_median_GFLOPs_spmm_basic_xyp_vs_median_GFLOPs_spmm_GCN,subset_count_beforeNAdrop,median_GFLOPs_spmm_basic_vs_median_GFLOPs_spmm_GCN_count,median_GFLOPs_spmm_basic_xyp_vs_median_GFLOPs_spmm_GCN_count
"[2, 4)",1,8,,,1,0,0
"[2, 4)",1,64,,,1,0,0
"[2, 4)",4,8,,,1,0,0
"[2, 4)",4,64,,,1,0,0
"[2, 4)",7,8,,,1,0,0
"[2, 4)",7,64,,,1,0,0
"[2, 4)",8,8,,,1,0,0
"[2, 4)",8,64,,,1,0,0
"[4, 8)",1,8,,,1,0,0
"[4, 8)",1,64,,,1,0,0
"[4, 8)",4,8,,,1,0,0
"[4, 8)",4,64,,,1,0,0
"[4, 8)",7,8,,,1,0,0
"[4, 8)",7,64,,,1,0,0
"[4, 8)",8,8,,,1,0,0
"[4, 8)",8,64,,,1,0,0
"[8, 16)",1,8,0.8723419528723135,0.9923248182830159,3,3,3
"[8, 16)",1,64,0.9982498995737261,0.9965407555663439,3,3,3
"[8, 16)",4,8,0.9291615419459749,0.9965871707394176,3,3,3
"[8, 16)",4,64,0.9854251738207145,0.9997762276033232,3,3,3
"[8, 16)",7,8,0.991666813434654,0.9937665977951379,3,3,3
"[8, 16)",7,64,0.9995383084718572,0.9979424117527755,3,3,3
"[8, 16)",8,8,0.9995967443743222,0.9992698719591858,3,3,3
"[8, 16)",8,64,0.9953038859150999,0.9999877745394472,3,3,3
"[16, 32)",1,8,0.06470421246523915,0.9499382673685501,7,7,7
"[16, 32)",1,64,0.9404757147899655,0.9648623837819943,7,7,7
"[16, 32)",4,8,0.9731088344462924,0.9866762033120088,7,7,7
"[16, 32)",4,64,0.9187132745104462,0.9799777566465641,7,7,7
"[16, 32)",7,8,0.9493744275239658,0.9775658951895047,7,7,7
"[16, 32)",7,64,0.9762630346489437,0.9857108166449459,7,7,7
"[16, 32)",8,8,0.9877027743731644,0.9926163880085045,7,7,7
"[16, 32)",8,64,0.9855249178898016,0.9967095164507258,7,7,7
"[32, 64)",1,8,0.9324452176597247,0.9387153383759749,17,17,17
"[32, 64)",1,64,0.9513035835563871,0.9939035594552486,17,17,17
"[32, 64)",4,8,0.981561041992815,0.8759518316133186,17,17,17
"[32, 64)",4,64,0.8860162732218668,0.9901335356408892,17,17,17
"[32, 64)",7,8,0.9773175946751375,0.9883622153445748,17,17,17
"[32, 64)",7,64,0.8945177096236572,0.9919353017986617,17,17,17
"[32, 64)",8,8,0.9864856649086314,0.971264270054935,17,17,17
"[32, 64)",8,64,0.9581868557573178,0.9936489045998066,17,17,17
"[64, 128)",1,8,0.8487884353209397,0.9531584793072102,26,26,26
"[64, 128)",1,64,0.9817766948246438,0.9474446921379271,26,26,26
"[64, 128)",4,8,0.9678029068366013,0.9653965373577855,26,26,26
"[64, 128)",4,64,0.9258095416594584,0.9858159547150182,26,26,26
"[64, 128)",7,8,0.9915790392466225,0.986835041059613,26,26,26
"[64, 128)",7,64,0.9703607856477929,0.9830942408598566,26,26,26
"[64, 128)",8,8,0.9885515232779224,0.994593891290752,26,26,26
"[64, 128)",8,64,0.9745511099110123,0.9890278155497638,26,26,26
"[128, 256)",1,8,0.9575332787956218,0.9826529314299369,31,31,31
"[128, 256)",1,64,0.9740908082387264,0.9375346794436109,31,31,31
"[128, 256)",4,8,0.923094304699266,0.9555930528580511,31,31,31
"[128, 256)",4,64,0.9366783341739392,0.9701946858737974,31,31,31
"[128, 256)",7,8,0.9798263213063994,0.9836651970644289,31,31,31
"[128, 256)",7,64,0.9377247745435671,0.963855470986518,31,31,31
"[128, 256)",8,8,0.9795268167255176,0.9933441822651469,31,31,31
"[128, 256)",8,64,0.930064742577744,0.973577601269443,31,31,31
"[256, 512)",1,8,0.9198761428915682,0.9394897483014776,58,58,58
"[256, 512)",1,64,0.9333475170483724,0.8329362512999328,58,58,58
"[256, 512)",4,8,0.8894921024020083,0.9791597682374743,58,58,58
